publishedAt,title,description
2018-01-01,交通运输行业2018年度投资策略：交运板块或将迎来涨价周期,交通运输行业2018年度投资策略：交运板块或将迎来涨价周期
2018-01-02,"交通运输行业:交通运输价格改革进入密集期,持续推介航空和铁路","交通运输行业:交通运输价格改革进入密集期,持续推介航空和铁路"
2018-01-02,申万宏源交运行业一周天地汇：吉祥航空高成长低估值当前性价比最优,申万宏源交运行业一周天地汇：吉祥航空高成长低估值当前性价比最优
2018-01-02,交通运输行业周报：铁路货运价格改革方案出台白云机场旅客量突破6500万,交通运输行业周报：铁路货运价格改革方案出台白云机场旅客量突破6500万
2018-01-02,交通运输行业周报：货运市场化更进一步铁路改革再提速,交通运输行业周报：货运市场化更进一步铁路改革再提速
2018-01-02,交通运输：东航与阿里达成战略合作 荐12股,交通运输：东航与阿里达成战略合作 荐12股
2018-01-02,"招商“交”点之周报篇:铁路货运市场化再进一步,民航18年工作会议召开","招商“交”点之周报篇:铁路货运市场化再进一步,民航18年工作会议召开"
2018-01-02,交通运输行业研究周报：铁路改革继续深入民航18年客运增速11.4%,交通运输行业研究周报：铁路改革继续深入民航18年客运增速11.4%
2018-01-02,交通运输：交运板块或将迎来涨价周期,交通运输：交运板块或将迎来涨价周期
2018-01-02,交通运输行业周报：铁路货运市场化改革再进一步,交通运输行业周报：铁路货运市场化改革再进一步
2018-01-02,[强于大市评级]交通运输行业研究周报：铁路改革继续深入 民航18年客运增速11.4%,[强于大市评级]交通运输行业研究周报：铁路改革继续深入 民航18年客运增速11.4%
2018-01-03,快递行业专题报告：整合进程中优势企业有望崛起,快递行业专题报告：整合进程中优势企业有望崛起
2018-01-03,民营快递上市竞跑资本助力业绩多元化,民营快递上市竞跑资本助力业绩多元化
2018-01-04,民营快递公司抢滩资本市场差异化竞争是关键,民营快递公司抢滩资本市场差异化竞争是关键
2018-01-04,交通运输行业日报：2018年或将迎来油船市场转折,交通运输行业日报：2018年或将迎来油船市场转折
2018-01-04,【招商交运常涛团队】德邦股份新股分析-零担龙头地位稳固，打造综合物流服务商,【招商交运常涛团队】德邦股份新股分析-零担龙头地位稳固，打造综合物流服务商
2018-01-04,快递企业集体抢滩2018快递行业充满想象空间,快递企业集体抢滩2018快递行业充满想象空间
2018-01-04,韵达募资39亿获得批复4亿投资同城配被砍,韵达募资39亿获得批复4亿投资同城配被砍
2018-01-06,"交通运输行业周报:航空价改落地,景气度高,关注机场航空","交通运输行业周报:航空价改落地,景气度高,关注机场航空"
2018-01-07,【招商交运常涛团队】周观点-民航票价改革大超预期，铁总18年工作会议召开,【招商交运常涛团队】周观点-民航票价改革大超预期，铁总18年工作会议召开
2018-01-08,[强于大市评级]交通运输行业研究周报：票价改革远超预期 航空主升浪在即,[强于大市评级]交通运输行业研究周报：票价改革远超预期 航空主升浪在即
2018-01-08,【天风交运姜明团队】周报（1.02-1.07）：票价改革远超预期，航空主升浪在即,【天风交运姜明团队】周报（1.02-1.07）：票价改革远超预期，航空主升浪在即
2018-01-08,招商“交”点之周报篇：民航票价改革大超预期铁总18年工作会议召开,招商“交”点之周报篇：民航票价改革大超预期铁总18年工作会议召开
2018-01-08,中金交运行业双周报：民航价改稳步推进,中金交运行业双周报：民航价改稳步推进
2018-01-08,"交通运输行业月报:受益供给侧改革,航空板块领涨","交通运输行业月报:受益供给侧改革,航空板块领涨"
2018-01-08,交通运输行业研究周报：票价改革远超预期航空主升浪在即,交通运输行业研究周报：票价改革远超预期航空主升浪在即
2018-01-09,申万宏源交运行业一周天地汇：民航提价符合预期打开航空长期利润空间,申万宏源交运行业一周天地汇：民航提价符合预期打开航空长期利润空间
2018-01-09,交通运输行业周报：民航票价新政出台航司有望打开盈利天花板,交通运输行业周报：民航票价新政出台航司有望打开盈利天花板
2018-01-11,外资北上扫货，影响A股定价逻辑,外资北上扫货，影响A股定价逻辑
2018-01-13,交通运输：集运运费持续回升 荐4股,交通运输：集运运费持续回升 荐4股
2018-01-14,交通运输行业周报：布油逼近70美元/桶2017年快递业务量增速28%,交通运输行业周报：布油逼近70美元/桶2017年快递业务量增速28%
2018-01-14,交通运输：铁路改革持续深化 荐12股,交通运输：铁路改革持续深化 荐12股
2018-01-14,快递行业专题报告：美国快递行业发展历程,快递行业专题报告：美国快递行业发展历程
2018-01-15,交通运输行业周报：出口增速较快集运运价强劲,交通运输行业周报：出口增速较快集运运价强劲
2018-01-15,交通运输行业深度报告：铁路改革步伐加快量价共振推升航空景气,交通运输行业深度报告：铁路改革步伐加快量价共振推升航空景气
2018-01-15,12月快递行业数据点评：单价环比连续2月上涨,12月快递行业数据点评：单价环比连续2月上涨
2018-01-15,交通运输：17年快递单量突破400亿件 荐1股,交通运输：17年快递单量突破400亿件 荐1股
2018-01-16,交通运输：快递行业转型步伐已经开始 荐3股,交通运输：快递行业转型步伐已经开始 荐3股
2018-01-18,韵达股份：12月快递服务业务收入逾10亿元 同比增三成,韵达股份：12月快递服务业务收入逾10亿元 同比增三成
2018-01-19,资本市场快递“七星”连珠 韵达股份发力智能化取得新进展,资本市场快递“七星”连珠 韵达股份发力智能化取得新进展
2018-01-19,韵达股份(002120-CN)2017年12月快递服务业务收入同比增31%,韵达股份(002120-CN)2017年12月快递服务业务收入同比增31%
2018-01-19,韵达控股股份有限公司2017年12月份快递服务主要经营指标快报,韵达控股股份有限公司2017年12月份快递服务主要经营指标快报
2018-01-19,国金晨讯 | *ST一重业绩反转趋势确立/新股德邦股份零担快运市占率第一，12月经济数据点评/粤高速A业绩符合预期,国金晨讯 | *ST一重业绩反转趋势确立/新股德邦股份零担快运市占率第一，12月经济数据点评/粤高速A业绩符合预期
2018-01-21,【招商交运常涛团队】周观点--“手机禁令”松绑，空中互联再起航,【招商交运常涛团队】周观点--“手机禁令”松绑，空中互联再起航
2018-01-22,"韵达股份:业务量维持高增长,单价环比持续提升","韵达股份:业务量维持高增长,单价环比持续提升"
2018-01-22,"交通运输行业:民航客座率再创新高,17年快递破400亿件","交通运输行业:民航客座率再创新高,17年快递破400亿件"
2018-01-23,韵达申通齐增资，丰巢最新融资20.7亿,韵达申通齐增资，丰巢最新融资20.7亿
2018-01-24,丰巢再获20.7亿元融资 累计获融资超55亿元,丰巢再获20.7亿元融资 累计获融资超55亿元
2018-01-24,电商与物流协同获政策支持，新零售推进智能物流,电商与物流协同获政策支持，新零售推进智能物流
2018-01-24,巨丰热点前瞻：市场指数行情望延续 结构性分化呈现,巨丰热点前瞻：市场指数行情望延续 结构性分化呈现
2018-01-24,【交运丨韩振国 许可（联系人）】客座率数据持续向好，关注机场航空,【交运丨韩振国 许可（联系人）】客座率数据持续向好，关注机场航空
2018-01-24,早安！方正最新观点20180124,早安！方正最新观点20180124
2018-01-24,上市快递公司增持丰巢科技 智能快递柜大战在即,上市快递公司增持丰巢科技 智能快递柜大战在即
2018-01-25,新年不打烊快递板块人气旺 五股值得关注,新年不打烊快递板块人气旺 五股值得关注
