publishedAt,title,description
1978-01-01,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss
1999-01-01,099 price tag isn&apos;t deterring buyers.	https://finance.yahoo.com/news/droves-customers-choosing-apple-apos-001600921.html?.tsrc=rss,099 price tag isn&apos;t deterring buyers.	https://finance.yahoo.com/news/droves-customers-choosing-apple-apos-001600921.html?.tsrc=rss
2009-01-01,2009 stock market bottom. Here are several lessons I learned since that fateful day.	https://finance.yahoo.com/news/what-i-learned-about-investing-since-the-march-2009-stock-market-bottom-145520198.html?.tsrc=rss,2009 stock market bottom. Here are several lessons I learned since that fateful day.	https://finance.yahoo.com/news/what-i-learned-about-investing-since-the-march-2009-stock-market-bottom-145520198.html?.tsrc=rss
2009-01-01,2009 and is heading closer to a record trillion-dollar market capitalization.	https://finance.yahoo.com/news/6-top-ranked-etfs-apple-145702378.html?.tsrc=rss,2009 and is heading closer to a record trillion-dollar market capitalization.	https://finance.yahoo.com/news/6-top-ranked-etfs-apple-145702378.html?.tsrc=rss
2017-01-01,2017.  It is no secret that the information technology sector has been one of the favorites with investors.  The sector has been leading the market higher and strong revenue and earnings growth rates from IT continue to draw attention.	https://finance.yahoo.com/m/3246173e-02d6-3f34-b996-09b473a0f219/google-and-apple-rank-amongst.html?.tsrc=rss,2017.  It is no secret that the information technology sector has been one of the favorites with investors.  The sector has been leading the market higher and strong revenue and earnings growth rates from IT continue to draw attention.	https://finance.yahoo.com/m/3246173e-02d6-3f34-b996-09b473a0f219/google-and-apple-rank-amongst.html?.tsrc=rss
2017-01-01,2017.  It is no secret that the information technology sector has been one of the favorites with investors.  The sector has been leading the market higher and strong revenue and earnings growth rates from IT continue to draw attention.	https://finance.yahoo.com/m/3246173e-02d6-3f34-b996-09b473a0f219/google-and-apple-rank-among.html?.tsrc=rss,2017.  It is no secret that the information technology sector has been one of the favorites with investors.  The sector has been leading the market higher and strong revenue and earnings growth rates from IT continue to draw attention.	https://finance.yahoo.com/m/3246173e-02d6-3f34-b996-09b473a0f219/google-and-apple-rank-among.html?.tsrc=rss
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383
2017-01-01,2017.	https://finance.yahoo.com/news/qualcomm-incorporated-qcom-q1-2018-040100740.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/qualcomm-incorporated-qcom-q1-2018-040100740.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/apple-inc-aapl-q1-2018-034700296.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/apple-inc-aapl-q1-2018-034700296.html?.tsrc=rss
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383
2017-01-01,2017.	https://finance.yahoo.com/news/shaw-communications-inc-sjr-q1-015900789.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/shaw-communications-inc-sjr-q1-015900789.html?.tsrc=rss
2018-01-01,2018	Wall Street ended on a positive note on Thursday as a series of robust U S economic reports lifted investor confidence Strong economic fundamentals have once again aided market participants appetite for relatively risky assets like equities The broad based market rally helped all three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cAFDE42z82U/stock-market-news-for-sep-28-2018-cm1029713,2018	Wall Street ended on a positive note on Thursday as a series of robust U S economic reports lifted investor confidence Strong economic fundamentals have once again aided market participants appetite for relatively risky assets like equities The broad based market rally helped all three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cAFDE42z82U/stock-market-news-for-sep-28-2018-cm1029713
2018-01-01,2018	Wall Street closed sharply higher on Friday buoyed by a strong rebound in tech stocks This also enabled U S stock markets to partially recover from the rout it faced over the past two days All three major stock indexes ended in positive territory but closed in the red for the week	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PsRNtIDeNP4/stock-market-news-for-oct-15-2018-cm1037332,2018	Wall Street closed sharply higher on Friday buoyed by a strong rebound in tech stocks This also enabled U S stock markets to partially recover from the rout it faced over the past two days All three major stock indexes ended in positive territory but closed in the red for the week	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PsRNtIDeNP4/stock-market-news-for-oct-15-2018-cm1037332
2018-01-01,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K36eGt1rEzk/stock-market-news-for-sep-14-2018-cm1022977,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K36eGt1rEzk/stock-market-news-for-sep-14-2018-cm1022977
