publishedAt,title,description
2018-01-02,In trading on Tuesday shares of American Electric Power Company Inc Symbol AEP entered into oversold territory changing hands as low as 72 54 per share We define oversold territory using the Relative Strength Index or RSI which is a technical analysis indicator used to measure,AEP Crosses Critical Technical Indicator
2018-01-03,Is this a short-term pullback and potential buying opportunity or should we worry that a more significant decline or rotation has started?,Weakness in American Electric Power Offers a New Strategy
2018-01-09,American Electric Power Company Inc’s (NYSE:AEP) latest earnings update in September 2017 revealed that the business experienced a immense headwind with earnings declining by -65.21%. Today I want to provideRead More...,American Electric Power Company Inc (NYSE:AEP): What Are The Future Prospects?
2018-01-09,American Electric Power Company Inc NYSE:AEP,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-09,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard Utilities ETF Symbol VPU where we have detected an approximate 37 3 million dollar outflow that s a 1 4 decrease week over week from 22 844 069,"VPU, AEP, SRE, PCG: Large Outflows Detected at ETF"
2018-01-10,Electricity consumption tied to Bitcoin and other digital currencies on computer networks could give a boost to some U S utilities and create partnership opportunities for renewable energy developers says a Morgan Stanley report Though the overall impact from increased demand,"Will Bitcoin Boost U.S. Utilities, Renewable Energy Developers?"
2018-01-10,"Bitcoin may seem like an ethereal, invisible concept -- a bunch of numbers being transferred over the Internet that somehow made your neighbor Barry rich even though he never seems to have a job.  It takes an enormous amount of electricity to run the machines that ""mine"" bitcoins.  Miners use modified computers to keep the ledger of all bitcoin transactions, and are paid for their work in Bitcoin.",Even Utilities Can Ride the Bitcoin Wave!
2018-01-10,Electricity consumption tied to Bitcoin and other digital currencies on computer networks could give a boost to some U.S. utilities.,"Will Bitcoin Boost U.S. Utilities, Renewable Energy Developers?"
2018-01-10,"Amazon.com Inc. will get discounted electricity rates from American Electric Power Company Inc. as it expands to 15 Central Ohio data centers from three for its cloud-computing services.  The discount's size, plus Amazon's construction cost and timetable, remain secrets.  The Public Utilities Commission of Ohio on Wednesday approved the joint request from AEP and Amazon's Vadata Inc. affiliate to create a tiered discount on electricity usage as the data center network expands, plus other fee reductions.",Amazon wins discount from AEP to expand Central Ohio data center network
2018-01-11,This could indicate that investors who seek to profit from falling equity prices are not currently targeting AEP.  AEP credit default swap spreads are within the middle of their range for the last three years.,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-12,American Electric Power Company Inc NYSE:AEP,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-16,This could indicate that investors who seek to profit from falling equity prices are not currently targeting AEP.  AEP credit default swap spreads are within the middle of their range for the last three years.,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-18,American Electric Power Company Inc NYSE:AEP,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-18,"Renewables leader NextEra Energy (NEE) will report its 4Q17 and 2017 earnings on January 26, 2018.  According to Wall Street analysts, NEE is expected to report total revenue of $4.1 billion for the quarter ended on December 31, 2017, compared to its revenue of $3.7 billion in the same quarter last year.  The largest utility by market cap, NextEra Energy has been posting stronger earnings over the last several quarters.",Will NextEra Energy Beat 4Q17 Revenue Estimates?
2018-01-19,American Electric Power Company Inc NYSE:AEP,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-19,"COLUMBUS, Ohio , Jan. 19, 2018 /PRNewswire/ -- American Electric Power (NYSE: AEP) has scheduled a quarterly earnings conference call with financial analysts at 9 a.m. EST Thursday , Jan. 25. The call ...",AEP Schedules Live Webcast Of Quarterly Earnings Call
2018-01-19,"Moody's Investors Service, (""Moody's"") has changed the rating outlooks to negative from stable for 24 regulated utilities and utility holding companies; and to stable from positive for one utility ...",Public Service Company of Oklahoma -- Moody's changes outlooks on 25 US regulated utilities primarily impacted by tax reform
2018-01-22,Jim Cramer broke down why he thinks the IPO market has been slim pickings amidst the current bull market.,Cramer Remix: ADT&apos;s IPO was the latest insult to this market
2018-01-22,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares U S Utilities ETF Symbol IDU where we have detected an approximate 151 5 million dollar outflow that s a 19 2 decrease week over week from 6 250,"IDU, EXC, AEP, SRE: ETF Outflow Alert"
2018-01-22,"COLUMBUS, Ohio , Jan. 22, 2018 /PRNewswire/ -- American Electric Power (NYSE: AEP) has been named to Fortune magazine's World's Most Admired Companies list in the electric and gas utilities sector for ...",AEP Named One Of Fortune's World's Most Admired Companies For Fifth Consecutive Year
2018-01-22,Jim Cramer broke down why he thinks the IPO market has been slim pickings amidst the current bull market.,Cramer Remix: ADT's IPO was the latest insult to this market
2018-01-22,American Electric Power Company Inc AEP is set to release fourth quarter and 2017 results on Jan 25 before the market opens Last quarter this electric utility saw a negative earnings surprise of 4 35 Let s see how things are shaping up prior to this announcement Factors,What's in Store for American Electric (AEP) in Q4 Earnings?
2018-01-22,American Electric&apos;s (AEP) improvement in global economic conditions and the softening of the U.S. dollar are expected to help the company deliver improved results in the fourth quarter.,What&apos;s in Store for American Electric (AEP) in Q4 Earnings?
2018-01-22,American Electric Power Company Inc NYSE:AEP,See what the IHS Markit Score report has to say about American Electric Power Company Inc.
2018-01-22,"Broader utilities have largely been falling every day since the beginning of 2018 with just a few exceptions.  Overvaluation concerns, gradually rising interest rates, and tax reforms could mainly be blamed for utilities’ fall.  To add to the woes, citing negative impacts of lower taxes, rating agency Moody’s downgraded 25 US regulated utilities on January 19, 2018.",Moody’s Downgrades Could Fuel a Fall in Utilities
2018-01-23,Jim Cramer broke down why he thinks the IPO market has been slim pickings amidst the current bull market.,Cramer Remix: The latest insult I see in the IPO market
