publishedAt,title,description
2018-01-02,Brixmor Property Group Inc BRX will begin trading ex dividend on January 03 2018 A cash dividend payment of 0 275 per share is scheduled to be paid on January 16 2018 Shareholders who purchased BRX prior to the ex dividend date are eligible for the cash dividend payment This,"Brixmor Property Group Inc. (BRX) Ex-Dividend Date Scheduled for January 03, 2018"
2018-01-02,"American Tower Corporation today announced that Jim Taiclet, its Chairman, President and Chief Executive Officer, is scheduled to deliver a keynote at the Citi 2018 Global TMT West Conference in Las Vegas, Nevada, on Tuesday, January 9, 2018 at 10:15 a.m.",American Tower Corporation to Deliver Keynote at the Citi 2018 Global TMT West Conference
2018-01-03,"American Tower Corp. (AMT) has a highly diversified business model. Apart from United States, the company has a strong foothold in Asia (especially in India), Latin America, Europe and the Middle East.",American Tower (AMT) on Growth Trajectory: Care to Invest
2018-01-03,Urstadt Biddle Properties Inc UBP will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on January 19 2018 Shareholders who purchased UBP prior to the ex dividend date are eligible for the cash dividend payment,"Urstadt Biddle Properties Inc. (UBP) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-03,Boston Properties Inc Symbol BXP has been named a Top Socially Responsible Dividend Stock by Dividend Channel signifying a stock with above average DividendRank statistics including a strong 2 5 yield as well as being recognized by prominent asset managers as being a,Boston Properties a Top Socially Responsible Dividend Stock With 2.5% Yield (BXP)
2018-01-03,Urstadt Biddle Properties Inc UBA will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 27 per share is scheduled to be paid on January 19 2018 Shareholders who purchased UBA prior to the ex dividend date are eligible for the cash dividend payment,"Urstadt Biddle Properties Inc. (UBA) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-03,Kite Realty Group Trust KRG will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 317 per share is scheduled to be paid on January 12 2018 Shareholders who purchased KRG prior to the ex dividend date are eligible for the cash dividend payment This represents,"Kite Realty Group Trust (KRG) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-04,Let’s talk about the popular American Tower Corporation (REIT) (NYSE:AMT). The company’s shares received a lot of attention from a substantial price movement on the NYSE in the over theRead More...,Should You Buy American Tower Corporation (REIT) (NYSE:AMT)?
2018-01-04,Congress labored mightily to produce a compromise version of the House and Senate Tax Cuts and Jobs Act bills The legislators faced two major challenges the narrow GOP majority and the Senate limitation of no more than a 1 5 trillion increase in the budget deficit Here s how the,What's in the Final Version of the Tax Cuts and Jobs Act
2018-01-04,Global Net Lease Inc GNL will begin trading ex dividend on January 05 2018 A cash dividend payment of 0 177 per share is scheduled to be paid on January 16 2018 Shareholders who purchased GNL prior to the ex dividend date are eligible for the cash dividend payment This marks the,"Global Net Lease, Inc. (GNL) Ex-Dividend Date Scheduled for January 05, 2018"
2018-01-04,AT amp T Inc T had a disappointing 2017 We believe that the U S telecom behemoth is currently facing several headwinds However the FirstNet Project may appear as a ray of hope for the company in 2018 Recently AT amp T and the First Responder Network Authority FirstNet,Will AT&T's (T) Fortunes Return With the FirstNet Project?
2018-01-05,Brandywine Realty Trust BDN will begin trading ex dividend on January 08 2018 A cash dividend payment of 0 18 per share is scheduled to be paid on January 23 2018 Shareholders who purchased BDN prior to the ex dividend date are eligible for the cash dividend payment This represents,"Brandywine Realty Trust (BDN) Ex-Dividend Date Scheduled for January 08, 2018"
2018-01-05,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares U S Real Estate ETF Symbol IYR where we have detected an approximate 106 9 million dollar inflow that s a 2 7 increase week over week in,"IYR, AMT, SPG, CCI: ETF Inflow Alert"
2018-01-08,United Dominion Realty Trust Inc UDR will begin trading ex dividend on January 09 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on January 31 2018 Shareholders who purchased UDR prior to the ex dividend date are eligible for the cash dividend payment This,"United Dominion Realty Trust, Inc. (UDR) Ex-Dividend Date Scheduled for January 09, 2018"
2018-01-08,These stable dividend stocks will keep your retirement income humming along.,3 Dividend Stocks That Should Pay You the Rest of Your Life
2018-01-09,Corporate Office Properties Trust OFC has accomplished a build to suit long term lease deal with a Fortune 500 company for the construction of two 149 000 square feet 100 pre leased buildings in Northern Virginia The deal was executed in December 2017 The company has already,Corporate Office Properties Inks Build-to-Suit Lease Deal
2018-01-09,Backed by potency in its global connected platform data Center REIT Digital Realty DLR expects to produce high single digit growth in core funds from operations FFO per share in 2018 Particularly the company projects core FFO per share in the 6 45 6 60 band that denotes an expansion,"Digital Realty Issues 2018 Prelim Outlook, Sees 8% Growth"
2018-01-09,InvestorPlace Stock Market News Stock Advice amp Trading Tips With the start of the New Year finally upon us it can mean only one thing it s tax season And while the new Republican tax bill does hold plenty of promise the reality is most tax analysts have no idea what,The 7 Best Tax-Smart ETFs to Buy Today
2018-01-09,American Tower Corp NYSE:AMT,See what the IHS Markit Score report has to say about American Tower Corp.
2018-01-09,City Office REIT Inc CIO will begin trading ex dividend on January 10 2018 A cash dividend payment of 0 235 per share is scheduled to be paid on January 25 2018 Shareholders who purchased CIO prior to the ex dividend date are eligible for the cash dividend payment This marks the,"City Office REIT, Inc. (CIO) Ex-Dividend Date Scheduled for January 10, 2018"
2018-01-10,Mid America Apartment Communities Inc MAA will begin trading ex dividend on January 11 2018 A cash dividend payment of 0 923 per share is scheduled to be paid on January 31 2018 Shareholders who purchased MAA prior to the ex dividend date are eligible for the cash dividend payment,"Mid-America Apartment Communities, Inc. (MAA) Ex-Dividend Date Scheduled for January 11, 2018"
2018-01-10,Looking at the universe of stocks we cover at Dividend Channel in trading on Wednesday shares of American Tower Corp Symbol AMT were yielding above the 2 mark based on its quarterly dividend annualized to 2 80 with the stock changing hands as low as 136 03 on the day Dividends,American Tower (AMT) Shares Cross 2% Yield Mark
2018-01-11,What&apos;s in the Cards for American Tower?2017 outlook,American Tower Riding High with Strong Organic Growth
2018-01-11,"American Tower (AMT) stated in its 3Q17 earnings call, “According to Cisco, the average U.S. smartphone now consumes more than 4.4 gigabits of data per month, a 33% increase from just one year ago.” The increase is mainly due to video consumption, which has increased due to unlimited data plans offered by all major US wireless carriers.  Data usage is also increasing in international markets due to smartphone penetration.  Data usage is expected on average to increase 50% by 2021 in Mexico, India, Brazil, South Africa, and Nigeria.",These Factors Are Helping American Tower’s Growth
2018-01-11,Wireless tower operators in the United States had a robust 2017 We believe that there are several reasons for this dream run to continue in 2018 the primary being the thrust in the U S public safety network 160 Recently AT amp T Inc T and the First Responder Network,Public Safety Network: A Boon for Tower Operators in 2018
2018-01-11,REIT Industry Stock Outlook - January 2018,REIT Industry Stock Outlook - January 2018
2018-01-11,Life Storage Inc LSI will begin trading ex dividend on January 12 2018 A cash dividend payment of 1 per share is scheduled to be paid on January 26 2018 Shareholders who purchased LSI prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th,"Life Storage, Inc. (LSI) Ex-Dividend Date Scheduled for January 12, 2018"
2018-01-11,Five Oaks Investment Corp OAKS will begin trading ex dividend on January 12 2018 A cash dividend payment of 0 033 per share is scheduled to be paid on January 30 2018 Shareholders who purchased OAKS prior to the ex dividend date are eligible for the cash dividend payment This,"Five Oaks Investment Corp. (OAKS) Ex-Dividend Date Scheduled for January 12, 2018"
2018-01-11,American Tower Corp NYSE:AMT,See what the IHS Markit Score report has to say about American Tower Corp.
2018-01-11,What&apos;s in the Cards for American Tower?,American Tower’s Strong Hold in the International Market
2018-01-11,ARMOUR Residential REIT Inc ARR will begin trading ex dividend on January 12 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on January 29 2018 Shareholders who purchased ARR prior to the ex dividend date are eligible for the cash dividend payment This marks,"ARMOUR Residential REIT, Inc. (ARR) Ex-Dividend Date Scheduled for January 12, 2018"
2018-01-12,What&apos;s in the Cards for American Tower?,What Effect Does Currency Fluctuation Have on American Tower?
2018-01-12,American Tower Corp NYSE:AMT,See what the IHS Markit Score report has to say about American Tower Corp.
2018-01-12,"During 3Q17, American Tower (AMT) strengthened its revenues on higher organic growth in domestic and international markets such as India and Mexico.  REITs are heavily dependent on debt for their routine activities, so they need to maintain a strong balance sheet.  AMT’s debt-to-equity ratio stands at 2.96x, which is much higher than the industry average of 1.03x.",A Look at American Tower’s Well-Built Balance Sheet
2018-01-12,Saul Centers Inc BFS will begin trading ex dividend on January 16 2018 A cash dividend payment of 0 52 per share is scheduled to be paid on January 31 2018 Shareholders who purchased BFS prior to the ex dividend date are eligible for the cash dividend payment This represents an 1,"Saul Centers, Inc. (BFS) Ex-Dividend Date Scheduled for January 16, 2018"
2018-01-12,"Zacks Industry Outlook Highlights: BRT Apartments, American Tower, Terreno Realty and Select Income","Zacks Industry Outlook Highlights: BRT Apartments, American Tower, Terreno Realty and Select Income"
2018-01-12,"American Tower (AMT) deployed $600 million of capital in 3Q17, bringing its year-to-date amount to $3.6 billion.  It spent $488 million on discretionary capex (capital expenditure) for construction and an increase in capacity for its existing sites and acquire land.  It spent $90 million in the form of non-discretionary capex.",American Tower’s Disciplined Capital Allocation
2018-01-12,The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks according to a proprietary formula designed to identify those stocks that combine two important characteristics strong fundamentals and a valuation that looks inexpensive American,American Tower Becomes Oversold
2018-01-15,Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel we have compared the trading price of each holding against the average analyst 12 month forward target price and computed the weighted average implied analyst target price for the ETF itself For the,XLRE's Holdings Could Mean 13% Gain Potential
2018-01-15,Cousins Properties CUZ office assets have been experiencing decent demand from existing tenants Recently the company signed a renewal and expansion lease with Bank of America N A for office space at Fifth Third Center Specifically the bank renewed its 294 000 square foot lease and,Cousins Properties (CUZ) Signs Renewal & Expansion Lease
2018-01-15,Double-digit growth around the world should continue for many years.,How American Tower Corp. Stock Rose 35% in 2017
2018-01-15,What&apos;s in the Cards for American Tower?,Analysts’ Views of American Tower
2018-01-15,What&apos;s in the Cards for American Tower?,American Tower’s Valuation Compared to Its Peers
2018-01-15,"Cousins Properties&apos; (CUZ) renewal and expansion lease with Bank of America, N.A. highlights decent demand for its best-in-class office properties.",Cousins Properties (CUZ) Signs Renewal & Expansion Lease
2018-01-15,Piedmont Office Realty Trust PDM recently announced its leasing of approximately 2 1 million square feet in 2017 of which 900 000 square feet were rented out in the fourth quarter alone Renewal of an existing lease deal and the renting of a new building were the major transactions undertaken,Piedmont Issues Fourth-Quarter Leasing Activities Updates
2018-01-16,American Tower Corp NYSE:AMT,See what the IHS Markit Score report has to say about American Tower Corp.
2018-01-16,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares U S Real Estate ETF Symbol IYR where we have detected an approximate 188 7 million dollar outflow that s a 4 7 decrease week over week,"IYR, AMT, SPG, CCI: Large Outflows Detected at ETF"
2018-01-16,On Jan 15 we issued an updated research report on Mid America Apartment Communities MAA commonly known as MAA The company has a well balanced portfolio and its focus on making strategic investments augur well Further growing demand for residential units in its footprint and balance,Why Hold Strategy is Apt for Mid-America (MAA) Stock Now
2018-01-16,In trading on Tuesday the iShares U S Real Estate ETF IYR is outperforming other ETFs up about 1 2 on the day Components of that ETF showing particular strength include shares of SBA Communications SBAC up about 4 1 and shares of American Tower AMT up about 3 7 on the,"Tuesday's ETF Movers: IYR, XBI"
