publishedAt,title,description
1978-01-01,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss
1989-01-01,089 comments -- including submissions from 46 companies -- on its plans for a multibillion-dollar cloud computing contract in a sign of the intense interest and sharp ...	https://finance.yahoo.com/m/d5be8006-672b-3856-8094-e5d16537a1c7/pentagon-to-respond-on-cloud.html?.tsrc=rss,089 comments -- including submissions from 46 companies -- on its plans for a multibillion-dollar cloud computing contract in a sign of the intense interest and sharp ...	https://finance.yahoo.com/m/d5be8006-672b-3856-8094-e5d16537a1c7/pentagon-to-respond-on-cloud.html?.tsrc=rss
2017-01-01,2017 was a challenging year for food retailers. The competitive grocery market saw grocers sweating as Amazon entered the food retail space.	http://finance.yahoo.com/r/4d4f9b3c-6604-38bc-a918-1cc1342cff52/food-retailing-stocks-fared-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2017 was a challenging year for food retailers. The competitive grocery market saw grocers sweating as Amazon entered the food retail space.	http://finance.yahoo.com/r/4d4f9b3c-6604-38bc-a918-1cc1342cff52/food-retailing-stocks-fared-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2017-01-01,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wapxthlRWdg/stock-market-news-for-jul-16-2017-cm991719,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wapxthlRWdg/stock-market-news-for-jul-16-2017-cm991719
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383
2017-01-01,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dltUCPteV6A/stock-market-news-for-jul-16-2017-cm991719,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dltUCPteV6A/stock-market-news-for-jul-16-2017-cm991719
2018-01-01,2018	Markets roared back to life on Tuesday after Dow rose more than 500 points to end in positive territory Despite persistent volatility the session brought an end to the sell off which had persisted for two consecutive sessions All the major benchmarks ended in the green The market s fear	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QkGnFDsr2HI/stock-market-news-for-feb-7-2018-cm917724,2018	Markets roared back to life on Tuesday after Dow rose more than 500 points to end in positive territory Despite persistent volatility the session brought an end to the sell off which had persisted for two consecutive sessions All the major benchmarks ended in the green The market s fear	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QkGnFDsr2HI/stock-market-news-for-feb-7-2018-cm917724
2018-01-01,2018	The Dow recorded a second straight all time high on Friday led by a rally in industrials However a slump in technology and internet related stocks weighed on the Nasdaq The S amp P 500 also closed lower on Friday ahead of Monday s major sector reshuffle That said trading volumes increased	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ok4SNOftFvY/stock-market-news-for-sep-24-2018-cm1026962,2018	The Dow recorded a second straight all time high on Friday led by a rally in industrials However a slump in technology and internet related stocks weighed on the Nasdaq The S amp P 500 also closed lower on Friday ahead of Monday s major sector reshuffle That said trading volumes increased	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ok4SNOftFvY/stock-market-news-for-sep-24-2018-cm1026962
2018-01-01,2018	The Dow recorded a second straight all time high on Friday led by a rally in industrials However a slump in technology and internet related stocks weighed on the Nasdaq The S amp P 500 also closed lower on Friday ahead of Monday s major sector reshuffle That said trading volumes increased	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gBVS043Em6w/stock-market-news-for-sep-24-2018-cm1026962,2018	The Dow recorded a second straight all time high on Friday led by a rally in industrials However a slump in technology and internet related stocks weighed on the Nasdaq The S amp P 500 also closed lower on Friday ahead of Monday s major sector reshuffle That said trading volumes increased	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gBVS043Em6w/stock-market-news-for-sep-24-2018-cm1026962
