publishedAt,title,description
2018-01-02,"American Water Works Company, Inc. , the largest publicly traded U.S. water and wastewater utility company, has issued a statement related to the Tax Cuts and Jobs Act , and the company’s guidance previously issued on Dec.",American Water Statement on Impact of Tax Cuts and Jobs Act on Prior Guidance
2018-01-02,Toward the end of trading Tuesday the Dow traded up 0 25 percent to 24 779 25 while the NASDAQ climbed 1 24 percent to 6 989 08 The S amp P also rose gaining 0 64 percent to 2 690 83 Leading and Lagging Sectors Tuesday afternoon the basic materials sector proved to be a source,Mid-Afternoon Market Update: Dow Gains 60 Points; Net Element Shares Spike Higher
2018-01-02,In trading on Tuesday insurance brokers shares were relative laggards down on the day by about 1 Helping drag down the group were shares of eHealth EHTH down about 8 5 and shares of Kinsale Capital Group KNSL off about 3 8 on the day Also lagging the market Tuesday are,"Tuesday Sector Laggards: Insurance Brokers, Water Utilities"
2018-01-02,"With arctic weather locked in place across the Commonwealth, Pennsylvania American Water today urged homeowners to act now to prevent frozen and damaged household pipes.","New Year's Icy Blast Reinforces Need to Guard Against Frozen Pipes, Says Pennsylvania American Water"
2018-01-02,Midway through trading Tuesday the Dow traded up 0 17 percent to 24 762 23 while the NASDAQ climbed 1 17 percent to 6 984 41 The S amp P also rose gaining 0 58 percent to 2 689 15 Leading and Lagging Sectors On Tuesday the basic materials sector proved to be a source of,Mid-Day Market Update: NASDAQ Up Over 1%; Merus Shares Plummet
2018-01-02,In afternoon trading on Tuesday Utilities stocks are the worst performing sector showing a 0 9 loss Within that group American Water Works Co Inc Symbol AWK and SCANA Corp Symbol SCG are two large stocks that are lagging showing a loss of 2 8 and 2 2 respectively Among,"Tuesday Sector Laggards: Utilities, Financial"
2018-01-03,"It looks like the subzero temperatures and winter weather are here to stay for a while, so New Jersey American Water is urging homeowners to act now to prevent frozen and damaged household pipes.",Subzero Temperatures & Snow in the Forecast: New Jersey American Water Emphasizes Need to Guard Against Frozen Pipes
2018-01-05,American States Water Company AWR currently draws strength from its sturdy customer base The company provides fresh water wastewater services and electricity to 259 000 customers throughout 10 counties in California It also distributes electricity to nearly 24 000 customers through its,American States Water (AWR) Poised to Gain: Time to Buy?
2018-01-08,"California American Water has launched a new initiative to help customers navigate and better understand the components of their water bills. Starting today, all residential customers on the Monterey Peninsula that have registered an email address with their water account will receive an email notification, including a personalized video of their monthly water bill, along with conservation information....",California American Water Launches Personalized Water Bill Videos
2018-01-08,Outperforming the market shares of Aqua America NYSE WTR rose 31 in 2017 as opposed to the S amp P 500 SNPINDEX GSPC which climbed a not too shabby 19 This comes much to the delight of investors who witnessed a less encouraging 2016 when shares inched a meager 0,"Here's How Aqua America, Inc. Crushed It in 2017"
