publishedAt,title,description
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on November 01 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on November 09 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g4KZb9rE5iI/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-november-01-2018-cm1046750,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on November 01 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on November 09 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g4KZb9rE5iI/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-november-01-2018-cm1046750
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 52 per share is scheduled to be paid on August 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/z8QIe90CIPU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2018-cm1001785,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 52 per share is scheduled to be paid on August 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/z8QIe90CIPU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2018-cm1001785
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on August 10 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wtuF95Byync/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-02-2018-cm1000157,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on August 10 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wtuF95Byync/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-02-2018-cm1000157
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on August 10 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lSj8bQ2_fak/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-02-2018-cm1000157,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on August 10 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lSj8bQ2_fak/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-02-2018-cm1000157
2018-01-01,2018	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on June 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14 29	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AtON-1qrwgA/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2018-cm969818,2018	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on June 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14 29	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AtON-1qrwgA/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2018-cm969818
2018-01-01,2018	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on June 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14 29	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0_ir7K_K9uE/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2018-cm969818,2018	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on June 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14 29	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0_ir7K_K9uE/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2018-cm969818
2018-01-01,2018	Alliance Holdings GP L P AHGP will begin trading ex dividend on May 10 2018 A cash dividend payment of 0 748 per share is scheduled to be paid on May 18 2018 Shareholders who purchased AHGP prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/t3iCwdg7FxY/alliance-holdings-gp-lp-ahgp-ex-dividend-date-scheduled-for-may-10-2018-cm960756,2018	Alliance Holdings GP L P AHGP will begin trading ex dividend on May 10 2018 A cash dividend payment of 0 748 per share is scheduled to be paid on May 18 2018 Shareholders who purchased AHGP prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/t3iCwdg7FxY/alliance-holdings-gp-lp-ahgp-ex-dividend-date-scheduled-for-may-10-2018-cm960756
2018-01-01,2018	Alliance Holdings GP L P AHGP will begin trading ex dividend on May 10 2018 A cash dividend payment of 0 748 per share is scheduled to be paid on May 18 2018 Shareholders who purchased AHGP prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zCF1iGAmMas/alliance-holdings-gp-lp-ahgp-ex-dividend-date-scheduled-for-may-10-2018-cm960756,2018	Alliance Holdings GP L P AHGP will begin trading ex dividend on May 10 2018 A cash dividend payment of 0 748 per share is scheduled to be paid on May 18 2018 Shareholders who purchased AHGP prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zCF1iGAmMas/alliance-holdings-gp-lp-ahgp-ex-dividend-date-scheduled-for-may-10-2018-cm960756
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2018 A cash dividend payment of 0 515 per share is scheduled to be paid on May 15 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/P__t-xbJ-Z0/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2018-cm958514,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2018 A cash dividend payment of 0 515 per share is scheduled to be paid on May 15 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/P__t-xbJ-Z0/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2018-cm958514
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2018 A cash dividend payment of 0 515 per share is scheduled to be paid on May 15 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/HMdyjUN_VIM/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2018-cm958514,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2018 A cash dividend payment of 0 515 per share is scheduled to be paid on May 15 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/HMdyjUN_VIM/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2018-cm958514
