publishedAt,title,description
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on October 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on October 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Wn8ja9070vI/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-october-04-2018-cm1031356,2018	Royal Gold Inc RGLD will begin trading ex dividend on October 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on October 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Wn8ja9070vI/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-october-04-2018-cm1031356
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on October 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on October 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ufA311FjOUw/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-october-04-2018-cm1031356,2018	Royal Gold Inc RGLD will begin trading ex dividend on October 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on October 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ufA311FjOUw/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-october-04-2018-cm1031356
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on July 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on July 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-6fv19uZgVg/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-05-2018-cm986639,2018	Royal Gold Inc RGLD will begin trading ex dividend on July 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on July 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-6fv19uZgVg/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-05-2018-cm986639
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on July 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on July 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tRO-1f3zejY/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-05-2018-cm986639,2018	Royal Gold Inc RGLD will begin trading ex dividend on July 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on July 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tRO-1f3zejY/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-05-2018-cm986639
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on April 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on April 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_2iidb7HYPY/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-05-2018-cm943392,2018	Royal Gold Inc RGLD will begin trading ex dividend on April 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on April 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_2iidb7HYPY/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-05-2018-cm943392
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on April 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on April 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/nieiGJyEQOs/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-05-2018-cm943392,2018	Royal Gold Inc RGLD will begin trading ex dividend on April 05 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on April 20 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/nieiGJyEQOs/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-05-2018-cm943392
2018-01-01,2018	Royal Gold Inc RGLD will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on January 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cwbYiTvq4Fw/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-january-04-2018-cm899514,2018	Royal Gold Inc RGLD will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 25 per share is scheduled to be paid on January 19 2018 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an 4	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cwbYiTvq4Fw/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-january-04-2018-cm899514
2019-01-01,2019	Royal Gold Inc RGLD will begin trading ex dividend on July 03 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on July 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/l9u-O3kZhR4/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-03-2019-cm1171314,2019	Royal Gold Inc RGLD will begin trading ex dividend on July 03 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on July 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/l9u-O3kZhR4/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-03-2019-cm1171314
2019-01-01,2019	Royal Gold Inc RGLD will begin trading ex dividend on July 03 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on July 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-1ER5s--X-w/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-03-2019-cm1171314,2019	Royal Gold Inc RGLD will begin trading ex dividend on July 03 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on July 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-1ER5s--X-w/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-july-03-2019-cm1171314
2019-01-01,2019	Royal Gold Inc RGLD will begin trading ex dividend on April 04 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on April 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4_rfK7m8X4s/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-04-2019-cm1123839,2019	Royal Gold Inc RGLD will begin trading ex dividend on April 04 2019 A cash dividend payment of 0 265 per share is scheduled to be paid on April 19 2019 Shareholders who purchased RGLD prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4_rfK7m8X4s/royal-gold-inc-rgld-ex-dividend-date-scheduled-for-april-04-2019-cm1123839
