publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/citi-wins-securities-lending-services-133100127.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/citi-wins-securities-lending-services-133100127.html?.tsrc=rss
2018-01-01,2018 / Active-Investors.com has just released a free earnings report on Citigroup Inc. (NYSE: C ). If you want access ...	https://finance.yahoo.com/news/free-research-report-citigroup-revenue-123000738.html?.tsrc=rss,2018 / Active-Investors.com has just released a free earnings report on Citigroup Inc. (NYSE: C ). If you want access ...	https://finance.yahoo.com/news/free-research-report-citigroup-revenue-123000738.html?.tsrc=rss
2018-01-01,2018 / Major U.S. equities finished lower Monday on a combination of rising interest rates and global growth concerns. Investors await a flood of corporate earnings ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000825.html?.tsrc=rss,2018 / Major U.S. equities finished lower Monday on a combination of rising interest rates and global growth concerns. Investors await a flood of corporate earnings ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000825.html?.tsrc=rss
2018-01-01,2018 / U.S. equities plunged on Tuesday as market participants digested fresh political drama in Italy. The Dow Jones Industrial Average dropped 1.58 percent to close ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-121000262.html?.tsrc=rss,2018 / U.S. equities plunged on Tuesday as market participants digested fresh political drama in Italy. The Dow Jones Industrial Average dropped 1.58 percent to close ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-121000262.html?.tsrc=rss
2018-01-01,2018 / U.S. markets fell Tuesday on geopolitical concerns after President Trump stated he was not happy with the current U.S. – China trade talks. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000414.html?.tsrc=rss,2018 / U.S. markets fell Tuesday on geopolitical concerns after President Trump stated he was not happy with the current U.S. – China trade talks. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000414.html?.tsrc=rss
2018-01-01,2018. The presentation is expected to begin at approximately 9:00 a.m.	https://finance.yahoo.com/news/citi-ceo-michael-corbat-present-201500547.html?.tsrc=rss,2018. The presentation is expected to begin at approximately 9:00 a.m.	https://finance.yahoo.com/news/citi-ceo-michael-corbat-present-201500547.html?.tsrc=rss
2018-01-01,2018 / U.S. equities finished modestly lower on Thursday as trade concerns were reignited after the arrest of a Huawei senior executive. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-115500080.html?.tsrc=rss,2018 / U.S. equities finished modestly lower on Thursday as trade concerns were reignited after the arrest of a Huawei senior executive. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-115500080.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/c-tracks-etns-linked-miller-122900342.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/c-tracks-etns-linked-miller-122900342.html?.tsrc=rss
2018-01-01,2018 / U.S. markets slumped Thursday as concerns over a potential trade war with China continue to grow. The Dow Jones Industrial Average dropped 2.93 percent to close ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-120000637.html?.tsrc=rss,2018 / U.S. markets slumped Thursday as concerns over a potential trade war with China continue to grow. The Dow Jones Industrial Average dropped 2.93 percent to close ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-120000637.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/citi-private-bank-hails-fernando-143000259.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/citi-private-bank-hails-fernando-143000259.html?.tsrc=rss
2018-01-01,2018 / U.S. markets rallied sharply from early losses Wednesday as inflation fears appear to be easing on Wall Street. The Dow Jones Industrial Average jumped 1.03 ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-132000855.html?.tsrc=rss,2018 / U.S. markets rallied sharply from early losses Wednesday as inflation fears appear to be easing on Wall Street. The Dow Jones Industrial Average jumped 1.03 ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-132000855.html?.tsrc=rss
2019-01-01,"2019 issued under a medium-term note programme of Citigroup Global Markets Holdings ...""	http://finance.yahoo.com/r/39f75c68-de82-3b03-948f-b5aa4eeb50c7/viewresearchdoc.aspx?docid=PR_381254&WT.mc_id=AM~WWFob29fRmluYW5jZV9TQl9SYXRpbmcgTmV3c19BbGxfRW5n~20180323_PR_381254&yptr=yahoo&.tsrc=rss","2019 issued under a medium-term note programme of Citigroup Global Markets Holdings ...""	http://finance.yahoo.com/r/39f75c68-de82-3b03-948f-b5aa4eeb50c7/viewresearchdoc.aspx?docid=PR_381254&WT.mc_id=AM~WWFob29fRmluYW5jZV9TQl9SYXRpbmcgTmV3c19BbGxfRW5n~20180323_PR_381254&yptr=yahoo&.tsrc=rss"
