publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/crown-castle-international-corp-cci-224804248.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/crown-castle-international-corp-cci-224804248.html?.tsrc=rss
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on February 13 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on February 28 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lnrCnPEgDY4/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-february-13-2018-cm920017,2018	Simon Property Group Inc SPG will begin trading ex dividend on February 13 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on February 28 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lnrCnPEgDY4/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-february-13-2018-cm920017
2018-01-01,2018 -- Crown Castle International Corp. (NYSE: CCI) (“Crown Castle”) announced today that the quarterly dividend on its 6.875% Mandatory Convertible.	https://finance.yahoo.com/news/crown-castle-declares-quarterly-preferred-211500875.html?.tsrc=rss,2018 -- Crown Castle International Corp. (NYSE: CCI) (“Crown Castle”) announced today that the quarterly dividend on its 6.875% Mandatory Convertible.	https://finance.yahoo.com/news/crown-castle-declares-quarterly-preferred-211500875.html?.tsrc=rss
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on November 15 2018 A cash dividend payment of 2 per share is scheduled to be paid on November 30 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fYQqzXJftw0/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-november-15-2018-cm1055773,2018	Simon Property Group Inc SPG will begin trading ex dividend on November 15 2018 A cash dividend payment of 2 per share is scheduled to be paid on November 30 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fYQqzXJftw0/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-november-15-2018-cm1055773
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on November 15 2018 A cash dividend payment of 2 per share is scheduled to be paid on November 30 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ppePWSfrPT0/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-november-15-2018-cm1055773,2018	Simon Property Group Inc SPG will begin trading ex dividend on November 15 2018 A cash dividend payment of 2 per share is scheduled to be paid on November 30 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ppePWSfrPT0/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-november-15-2018-cm1055773
2018-01-01,"2018 -- Crown Castle International Corp. (NYSE: CCI) (""""Crown Castle"""") announced today that its Board of Directors has declared a quarterly cash dividend of.""	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500146.html?.tsrc=rss","2018 -- Crown Castle International Corp. (NYSE: CCI) (""""Crown Castle"""") announced today that its Board of Directors has declared a quarterly cash dividend of.""	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500146.html?.tsrc=rss"
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on August 16 2018 A cash dividend payment of 2 per share is scheduled to be paid on August 31 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eNEVLFF87KY/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-august-16-2018-cm1007871,2018	Simon Property Group Inc SPG will begin trading ex dividend on August 16 2018 A cash dividend payment of 2 per share is scheduled to be paid on August 31 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eNEVLFF87KY/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-august-16-2018-cm1007871
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on February 13 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on February 28 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BQErfIa77WY/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-february-13-2018-cm920017,2018	Simon Property Group Inc SPG will begin trading ex dividend on February 13 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on February 28 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BQErfIa77WY/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-february-13-2018-cm920017
2018-01-01,2018-- Crown Castle International Corp. announced today that its Board of Directors has declared a quarterly cash dividend of $1.05 per common share. The quarterly dividend will be payable ...	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500204.html?.tsrc=rss,2018-- Crown Castle International Corp. announced today that its Board of Directors has declared a quarterly cash dividend of $1.05 per common share. The quarterly dividend will be payable ...	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500204.html?.tsrc=rss
2018-01-01,2018-- Crown Castle International Corp. announced today that its Board of Directors has declared a quarterly cash dividend of $1.05 per common share. The quarterly dividend will be payable ...	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500101.html?.tsrc=rss,2018-- Crown Castle International Corp. announced today that its Board of Directors has declared a quarterly cash dividend of $1.05 per common share. The quarterly dividend will be payable ...	https://finance.yahoo.com/news/crown-castle-declares-quarterly-common-201500101.html?.tsrc=rss
2018-01-01,2018	Simon Property Group Inc SPG will begin trading ex dividend on May 16 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on May 31 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents an 11	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/V_fiffHQhcU/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-may-16-2018-cm963643,2018	Simon Property Group Inc SPG will begin trading ex dividend on May 16 2018 A cash dividend payment of 1 95 per share is scheduled to be paid on May 31 2018 Shareholders who purchased SPG prior to the ex dividend date are eligible for the cash dividend payment This represents an 11	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/V_fiffHQhcU/simon-property-group-inc-spg-ex-dividend-date-scheduled-for-may-16-2018-cm963643
