publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/comcast-reports-4th-quarter-end-120000392.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/comcast-reports-4th-quarter-end-120000392.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/comcast-cmcsa-q4-2017-earnings-211515592.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/comcast-cmcsa-q4-2017-earnings-211515592.html?.tsrc=rss
2018-01-01,2018	On Thursday Nasdaq Composite closed at record high level led by strong performance of media and telecom stocks Court s approval of AT amp T Time Warner merger deal fueled a media and telecom stock rally Moreover strong U S economic data and the decision of the European Central Bank ECB	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/u3uBFFizux4/stock-market-news-for-jun-15-2018-cm978837,2018	On Thursday Nasdaq Composite closed at record high level led by strong performance of media and telecom stocks Court s approval of AT amp T Time Warner merger deal fueled a media and telecom stock rally Moreover strong U S economic data and the decision of the European Central Bank ECB	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/u3uBFFizux4/stock-market-news-for-jun-15-2018-cm978837
2018-01-01,2018	Comcast Corporation CMCSA will begin trading ex dividend on July 02 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on July 25 2018 Shareholders who purchased CMCSA prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pVsfZGYbwWo/comcast-corporation-cmcsa-ex-dividend-date-scheduled-for-july-02-2018-cm985384,2018	Comcast Corporation CMCSA will begin trading ex dividend on July 02 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on July 25 2018 Shareholders who purchased CMCSA prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pVsfZGYbwWo/comcast-corporation-cmcsa-ex-dividend-date-scheduled-for-july-02-2018-cm985384
2018-01-01,2018	Comcast Corporation CMCSA will begin trading ex dividend on July 02 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on July 25 2018 Shareholders who purchased CMCSA prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K63orHNBOrE/comcast-corporation-cmcsa-ex-dividend-date-scheduled-for-july-02-2018-cm985384,2018	Comcast Corporation CMCSA will begin trading ex dividend on July 02 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on July 25 2018 Shareholders who purchased CMCSA prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K63orHNBOrE/comcast-corporation-cmcsa-ex-dividend-date-scheduled-for-july-02-2018-cm985384
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-112000542.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-112000542.html?.tsrc=rss
2018-01-01,2018	Walt Disney Company DIS will begin trading ex dividend on July 06 2018 A cash dividend payment of 0 84 per share is scheduled to be paid on July 26 2018 Shareholders who purchased DIS prior to the ex dividend date are eligible for the cash dividend payment This represents an 7	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/H-T7vU-aBsk/walt-disney-company-dis-ex-dividend-date-scheduled-for-july-06-2018-cm987256,2018	Walt Disney Company DIS will begin trading ex dividend on July 06 2018 A cash dividend payment of 0 84 per share is scheduled to be paid on July 26 2018 Shareholders who purchased DIS prior to the ex dividend date are eligible for the cash dividend payment This represents an 7	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/H-T7vU-aBsk/walt-disney-company-dis-ex-dividend-date-scheduled-for-july-06-2018-cm987256
2018-01-01,2018	Walt Disney Company DIS will begin trading ex dividend on July 06 2018 A cash dividend payment of 0 84 per share is scheduled to be paid on July 26 2018 Shareholders who purchased DIS prior to the ex dividend date are eligible for the cash dividend payment This represents an 7	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KMPCVP2fz1Y/walt-disney-company-dis-ex-dividend-date-scheduled-for-july-06-2018-cm987256,2018	Walt Disney Company DIS will begin trading ex dividend on July 06 2018 A cash dividend payment of 0 84 per share is scheduled to be paid on July 26 2018 Shareholders who purchased DIS prior to the ex dividend date are eligible for the cash dividend payment This represents an 7	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KMPCVP2fz1Y/walt-disney-company-dis-ex-dividend-date-scheduled-for-july-06-2018-cm987256
2018-01-01,2018	Shaw Communications Inc SJR will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 075 per share is scheduled to be paid on July 30 2018 Shareholders who purchased SJR prior to the ex dividend date are eligible for the cash dividend payment This represents an 1	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g9VWOMq3dt4/shaw-communications-inc-sjr-ex-dividend-date-scheduled-for-july-12-2018-cm989582,2018	Shaw Communications Inc SJR will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 075 per share is scheduled to be paid on July 30 2018 Shareholders who purchased SJR prior to the ex dividend date are eligible for the cash dividend payment This represents an 1	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g9VWOMq3dt4/shaw-communications-inc-sjr-ex-dividend-date-scheduled-for-july-12-2018-cm989582
2018-01-01,2018	Shaw Communications Inc SJR will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 075 per share is scheduled to be paid on July 30 2018 Shareholders who purchased SJR prior to the ex dividend date are eligible for the cash dividend payment This represents an 1	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DZQgH1brS_g/shaw-communications-inc-sjr-ex-dividend-date-scheduled-for-july-12-2018-cm989582,2018	Shaw Communications Inc SJR will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 075 per share is scheduled to be paid on July 30 2018 Shareholders who purchased SJR prior to the ex dividend date are eligible for the cash dividend payment This represents an 1	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DZQgH1brS_g/shaw-communications-inc-sjr-ex-dividend-date-scheduled-for-july-12-2018-cm989582
