publishedAt,title,description
2018-02-01,DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment,DowDuPont Q4 Loss Widens; Increases Cost Synergy Commitment
2018-02-12,MINNEAPOLIS (AP) — Tens of thousands of soybean and cotton farmers across the country are taking free but mandatory training in how to properly use a weed killer blamed for drifting and damaging crops in neighboring fields.,Farmers trained on using herbicide blamed for crop damage
2018-02-15,"WILMINGTON, Del. , Feb. 15, 2018 /PRNewswire/ -- On Feb 15, 2018 , DuPont's board of directors declared regular quarterly dividends of $1.12 -1/2 per share on the $4.50 series preferred stock and $0.87 ...",DuPont Declares Regular Quarterly Dividend on Preferred Stock
2018-02-27,"In a report out today, Moody's Investors Service says there is a heightened level of litigation risk to both The Chemours Company, (Ba2, Stable) and E.I. du Pont de Nemours and Company (A3, negative outlook) ...","Chemours Company, (The) -- Moody's says risk to Chemours and DuPont steps up with new PFC litigation"
2018-03-12,NEW YORK (AP) — Stocks are split Monday as technology companies continue to climb while Boeing and other industrial companies gave back some of the ground they won on Friday. The market is coming off its biggest gain in a month following a monthly jobs report that showed strong hiring and moderate growth in wages.,"Tech gains but industrials slide, leaving indexes mixed"
2018-03-26,Chemours Lifts FY18 Outlook,Chemours Lifts FY18 Outlook
2018-04-04,WASHINGTON (AP) — The Latest on U.S.-China trade tensions (all times local):,"The Latest: Trade war bad for chemical industry, group says"
2018-04-04,WASHINGTON (AP) — The Latest on U.S.-China trade tensions (all times local):,The Latest: Iowa Senator: Trade dispute unfair to US farmers
2018-04-04,"The Latest on U.S.-China trade tensions (all times local): ___ 4:00 p.m. Sen. Charles Grassley, an Iowa Republican, says the United States needs to protect its intellectual property and competitiveness ...",The Latest: Iowa Senator: Trade dispute unfair to US farmers
2018-06-12,"WILMINGTON, Del. (AP) — A former employee of a chemical company spun off from the DuPont Co. has pleaded guilty to conspiring to steal trade secrets and sell them to Chinese investors.",Chemours ex-worker pleads guilty in China trade secrets case
2018-06-20,GE Replaced By Walgreens In Dow Jones Industrial Average,GE Replaced By Walgreens In Dow Jones Industrial Average
2018-06-22,"The chemicals used by a West Virginia factory to make non-stick products are dangerous at levels the U.S. Environmental Protection Agency had thought were safe, according to a federal study that had been previously blocked from publication.  It said the chemicals are dangerous at levels around 10 times lower than the EPA's advised exposure of 70 parts per trillion.  The DuPont Co., which used the chemicals to create non-stick products such as Teflon, now faces thousands of lawsuits from people living near its Parkersburg-area Washington Works plant who say their water was contaminated.",Federal study: Chemicals toxic at levels EPA thought safe
2018-08-02,DowDuPont Q2 Profit Rises,DowDuPont Q2 Profit Rises
2018-08-13,"HORSHAM, Pa. (AP) — Lauren Woeher wonders if her 16-month-old daughter has been harmed by tap water contaminated with toxic industrial compounds used in products like nonstick cookware, carpets, firefighting foam and fast-food wrappers. Henry Betz, at 76, rattles around his house alone at night, thinking about the water his family unknowingly drank for years that was tainted by the same contaminants, and the pancreatic cancers that killed wife Betty Jean and two others in his household.",White House called toxins contamination 'PR nightmare'
2018-08-13,"Lauren Woeher wonders if her 16-month-old daughter has been harmed by tap water contaminated with toxic industrial compounds used in products like nonstick cookware, carpets, firefighting foam and fast-food wrappers.  Henry Betz, at 76, rattles around his house alone at night, thinking about the water his family unknowingly drank for years that was tainted by the same contaminants, and the pancreatic cancers that killed wife Betty Jean and two others in his household.  Tim Hagey, manager of a local water utility, recalls how he used to assure people that the local public water was safe.",White House called toxins contamination 'PR nightmare'
2020-10-08,Bank of Japan Governor Haruhiko Kuroda said on Thursday the economy was starting to pick up and was likely to continue recovering thanks in part to the boost from fiscal and monetary stimulus measures.,BOJ's Kuroda says economy to continue recovering from pandemic's pain
2020-10-08,"Indonesia's state miner Mining Industry Indonesia (MIND ID), formerly known as PT Inalum, completed its purchase of a 20% stake in nickel miner PT Vale Indonesia, the country's state- owned enterprises ministry said on Thursday.",Indonesian state miner completes 20% stake buy in Vale unit for $375 mln
