publishedAt,title,description
2018-01-01,"2018	""Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Deere & Co. Here are 5 ETFs with the largest exposure to DE-US. Comparing the performance and risk of Deere & Co. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker ... Read more","2018	""Categories:  ETFs Yahoo FinanceClick here to see latest analysis ETFs with exposure to Deere & Co. Here are 5 ETFs with the largest exposure to DE-US. Comparing the performance and risk of Deere & Co. with the ETFs that have exposure to it gives us some ETF choices that could give us similar returns with lower volatility. Ticker ... Read more"
2018-01-01,2018	Deere amp Company DE will begin trading ex dividend on December 28 2018 A cash dividend payment of 0 76 per share is scheduled to be paid on February 01 2019 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an 10	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/S36--BaDgW4/deere-company-de-ex-dividend-date-scheduled-for-december-28-2018-cm1074489,2018	Deere amp Company DE will begin trading ex dividend on December 28 2018 A cash dividend payment of 0 76 per share is scheduled to be paid on February 01 2019 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an 10	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/S36--BaDgW4/deere-company-de-ex-dividend-date-scheduled-for-december-28-2018-cm1074489
2018-01-01,2018	Deere amp Company DE will begin trading ex dividend on December 28 2018 A cash dividend payment of 0 76 per share is scheduled to be paid on February 01 2019 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an 10	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dJuP-MMuth4/deere-company-de-ex-dividend-date-scheduled-for-december-28-2018-cm1074489,2018	Deere amp Company DE will begin trading ex dividend on December 28 2018 A cash dividend payment of 0 76 per share is scheduled to be paid on February 01 2019 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an 10	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dJuP-MMuth4/deere-company-de-ex-dividend-date-scheduled-for-december-28-2018-cm1074489
2018-01-01,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded Arrest of the CFO of Chinese tech behemoth Huawei Technologies and news Chinese hackers being charged by federal prosecutors has severely shaken investors	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7BNs9U-VFjM/stock-market-news-for-dec-10-2018-cm1066869,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded Arrest of the CFO of Chinese tech behemoth Huawei Technologies and news Chinese hackers being charged by federal prosecutors has severely shaken investors	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7BNs9U-VFjM/stock-market-news-for-dec-10-2018-cm1066869
2018-01-01,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded Arrest of the CFO of Chinese tech behemoth Huawei Technologies and news Chinese hackers being charged by federal prosecutors has severely shaken investors	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6MzdePvNqmE/stock-market-news-for-dec-10-2018-cm1066869,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded Arrest of the CFO of Chinese tech behemoth Huawei Technologies and news Chinese hackers being charged by federal prosecutors has severely shaken investors	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6MzdePvNqmE/stock-market-news-for-dec-10-2018-cm1066869
2018-01-01,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded	https://finance.yahoo.com/news/stock-market-news-dec-10-143002905.html?.tsrc=rss,2018	Wall Street declined sharply on Friday as initial enthusiasm over a solution to the ongoing trade war the United States and China faded	https://finance.yahoo.com/news/stock-market-news-dec-10-143002905.html?.tsrc=rss
2018-01-01,2018	Deere amp Company DE will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 69 per share is scheduled to be paid on November 01 2018 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vmIdZfk1R4g/deere-company-de-ex-dividend-date-scheduled-for-september-27-2018-cm1028129,2018	Deere amp Company DE will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 69 per share is scheduled to be paid on November 01 2018 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/vmIdZfk1R4g/deere-company-de-ex-dividend-date-scheduled-for-september-27-2018-cm1028129
2018-01-01,2018	Deere amp Company DE will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 69 per share is scheduled to be paid on November 01 2018 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WtZZ8rZZaTQ/deere-company-de-ex-dividend-date-scheduled-for-september-27-2018-cm1028129,2018	Deere amp Company DE will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 69 per share is scheduled to be paid on November 01 2018 Shareholders who purchased DE prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WtZZ8rZZaTQ/deere-company-de-ex-dividend-date-scheduled-for-september-27-2018-cm1028129
2018-01-01,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/d2vRziixAAo/company-news-for-aug-20-2018-cm1010067,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/d2vRziixAAo/company-news-for-aug-20-2018-cm1010067
2018-01-01,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0h8ZHlR6LYQ/company-news-for-aug-20-2018-cm1010067,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0h8ZHlR6LYQ/company-news-for-aug-20-2018-cm1010067
