publishedAt,title,description
2018-01-03,DiageoPLC is suspending all of its advertising on Snapchat after the U.K. advertising watchdog ruled that the alcohol giant didn’t take sufficient care to ensure that a campaign from its Captain Morgan ...,Diageo Halts Snapchat Ads Over Age-Targeting Concerns
2018-01-03,"Diageo PLC, a distiller of such spirits as Johnnie Walker, Smirnoff and Captain Morgan, has pulled its advertising from Snapchat after getting slapped for a campaign on the platform featuring the latter brand’s rum-swilling mascot.  On Wednesday, the Advertising Standards Authority (ASA), an advertising regulator in the United Kingdom, found that a Snapchat lens sponsored by Diageo (DEO) appealed to and was directed at users under age 18 in violation of U.K. ad codes.  Following the ruling , Diageo halted all advertising on Snapchat while it investigates how to make sure it adheres to the code in the future.",Snapchat loses advertiser after alcohol ad may have reached underage users
2018-01-03,Diageo is suspending all of its advertising on Snapchat after the U.K. advertising watchdog ruled the alcohol giant didn’t take sufficient care to ensure that a campaign from its Captain Morgan rum brand ...,Diageo Halts Snapchat Ads Over Age-Targeting Concerns
2018-01-03,"A Snapchat lens for its Captain Morgan rum brand was banned by the ASA for appealing to under-18s, the legal drinking age in the country",Diageo pulls Snapchat advertising globally as UK bans alcohol ad for appealing to under-18s
2018-01-05,Diageo plc DEO one of the prominent players in the U S alcohol industry seems to be cheering on favorable market trends Diageo like most companies in the alcohol space is benefiting from steadily surging demand a stable U S economy and constant innovations to suit the changing tastes,Diageo Cheers Rising Spirits Demand: More Growth in Store?
2018-01-05,Constellation Brands Inc STZ delivered robust third quarter fiscal 2018 results wherein both the top and bottom line topped estimates and improved year over year Notably this marked the 13th consecutive quarter of earnings beat for the company Further to inspire investors,"Constellation Brands (STZ) Q3 Earnings Beat, Ups FY18 View"
2018-01-05,"Diageo (DEO) gains from rising demand for spirit-based alcohol products, especially flavored whisky and premium tequilas.",Diageo Cheers Rising Spirits Demand: More Growth in Store?
2018-01-05,"Constellation Brands Inc. (STZ) delivered robust third-quarter fiscal 2018 results, wherein both the top and bottom line topped estimates and improved year over year.","Constellation Brands (STZ) Q3 Earnings Beat, Ups FY18 View"
2018-01-12,"The competition has shown it can do a better job, and advertisers do not seem happy.",Think Snap&apos;s 2017 Was Bad? Watch What 2018 Brings
2018-01-12,The new year is a little over a week old and already Snap NYSE SNAP is having a rough go of it So if you thought 2017 was bad for the vanishing message app er camera company then wait till you see what 2018 holds From an IPO that went from hero to goat to,Think Snap's 2017 Was Bad? Watch What 2018 Brings
2018-01-16,The global market for premium spirits is enjoying strong growth right now.,Why Diageo Stock Soared 40% in 2017
2018-01-16,What happened Alcoholic beverage giant Diageo plc NYSE DEO outperformed the market last year as shares rose 40 compared to the 19 increase in the S amp P 500 according to data provided by S amp P Global Market Intelligence,Why Diageo Stock Soared 40% in 2017
2018-01-17,Diageo s DEO acquisition of United Spirits India s leading alcoholic beverage company which gave it a 54 78 stake in the company bestowed it a foothold in the country and provided it the footprint to compete and win in India The region Diageo s second biggest market in terms of,Why Is India Considered A Key Growth Market For Diageo?
2018-01-19,"Let’s talk about the popular Diageo plc (LSE:DGE). The company’s shares had a relatively subdued couple of weeks in terms of changes in share price, which continued to float aroundRead More...",Is It Time To Buy Diageo plc (LON:DGE)?
2018-01-22,"Diageo plc (LSE:DGED) is trading with a trailing P/E of 24.2x, which is higher than the industry average of 23.2x. Although some investors may jump to the conclusion that youRead More...",Does Diageo plc’s (LON:DGED) PE Ratio Signal A Selling Opportunity?
2018-01-22,"Bacardi Ltd said on Monday it would buy high-end tequila maker Patron Spirits International AG in a $5.1 billion deal, hoping to become the second largest spirits company in the United States by market ...",Bacardi to buy high-end tequila maker Patron in $5.1 billion deal
2018-01-23,Diageo 160 DEO is set to report its first half of FY 2018 earnings on January 25 wherein it is expected to carry on its growth albeit at a slower rate than that reported by the company recently While whiskey sales are expected to continue to remain strong certain factors may slow down,Sales Growth Expected To Slow Down In The First Half Of Its Financial Year For Diageo
