publishedAt,title,description
2018-01-03,VantagePoint Trading Software is a forecasting tool that uses both end of day data and artificial intelligence to provide traders a forecast of market movement. These forecasts are 1-3 days in advance ...,Digital Realty Trust's Technical Breakthrough Shows It's In A Bullish Trend
2018-01-08,"SAN FRANCISCO , Jan. 8, 2018 /PRNewswire/ -- Digital Realty (NYSE: DLR), a leading global provider of data center, colocation and interconnection solutions, announced today its initial 2018 outlook along ...",Digital Realty Provides Initial 2018 Outlook and Schedules 4Q17 Earnings Release and Conference Call
2018-01-09,Backed by potency in its global connected platform data Center REIT Digital Realty DLR expects to produce high single digit growth in core funds from operations FFO per share in 2018 Particularly the company projects core FFO per share in the 6 45 6 60 band that denotes an expansion,"Digital Realty Issues 2018 Prelim Outlook, Sees 8% Growth"
2018-01-09,Digital Realty&apos;s (DLR) 2018 initial outlook supported by expectations of $3.0-$3.2 billion in total revenue for the year and adjusted EBITDA margin of 58-60%.,"Digital Realty Issues 2018 Prelim Outlook, Sees 8% Growth"
2018-01-11,Looking at options trading activity among components of the S amp P 500 index there is noteworthy activity today in Dish Network Corp Symbol DISH where a total volume of 29 627 contracts has been traded thus far today a contract volume which is representative of approximately 3 0,"Noteworthy Thursday Option Activity: DISH, CVX, DLR"
2018-01-11,Digital Realty Trust Inc NYSE:DLR,See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-12,"Additionally, this was an improvement in sentiment as investors who seek to profit from falling equity prices reduced their short positions on December 18.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-12,In trading on Friday shares of Digital Realty Trust Inc s 7 375 Series H Cumulative Redeemable Preferred Stock Symbol DLR PRH were yielding above the 7 mark based on its quarterly dividend annualized to 1 8438 with shares changing hands as low as 26 31 on the day This compares to,Digital Realty Trust's Series H Preferred Stock Shares Cross 7% Yield Mark
2018-01-15,"Additionally, this was an improvement in sentiment as investors who seek to profit from falling equity prices reduced their short positions on December 18.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-16,"Additionally, this was an improvement in sentiment as investors who seek to profit from falling equity prices reduced their short positions on December 18.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-16,"Shares of Digital Realty Trust, Inc. (NYSE: DLR ) have lost more than 5 percent since the start of 2018, which prompted one analyst to encourage investors to buy the stock on the dip. The Analyst Baird ...",Baird Gets Bullish On Digital Realty After Recent Pullback
2018-01-17,"SAN FRANCISCO , Jan. 17, 2018 /PRNewswire/ -- Digital Realty (NYSE: DLR), a leading global provider of data center, colocation and interconnection solutions, announced today that Erich Sanchack has been ...","Digital Realty Appoints Erich Sanchack Executive Vice President, Operations"
2018-01-18,"Additionally, this was an improvement in sentiment as investors who seek to profit from falling equity prices reduced their short positions on December 18.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-19,Equinix’s 59th Quarter of Revenue Growth—What’s Next?,Equinix: Performance in International Markets
2018-01-19,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-19,Equinix’s 59th Quarter of Revenue Growth—What’s Next?Expansion and acquisition strategies,Equinix Backed by Expansion and Acquisition Strategies
2018-01-19,Equinix’s 59th Quarter of Revenue Growth—What’s Next?,A Look at Equinix’s Fiscal 2017 Expectations
2018-01-22,Equinix’s 59th Quarter of Revenue Growth—What’s Next?,Equinix: A Complete Overview
2018-01-22,"FastConnect via Digital Realty Service Exchange helps ensure high performance and optimal reliability for critical enterprise applications SAN FRANCISCO , Jan. 22, 2018 /PRNewswire/ -- Digital Realty (NYSE: ...",Digital Realty Adds Direct Access to Oracle Cloud Infrastructure in 14 Metros
2018-01-22,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Financials sector is rising.",See what the IHS Markit Score report has to say about Digital Realty Trust Inc.
2018-01-22,Equinix’s 59th Quarter of Revenue Growth—What’s Next?,"Equinix: Debt, Balance Sheet, and Capex"
2018-01-22,Equinix’s 59th Quarter of Revenue Growth—What’s Next?,How Equinix Rewards Its Shareholders
