publishedAt,title,description
2018-01-01,2018	Westar Energy Inc WR will begin trading ex dividend on January 23 2018 A cash dividend payment of 0 02 per share is scheduled to be paid on January 31 2018 Shareholders who purchased WR prior to the ex dividend date are eligible for the cash dividend payment Westar Energy Inc	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MLa1W0HBxmw/westar-energy-inc-wr-ex-dividend-date-scheduled-for-january-23-2018-cm908356,2018	Westar Energy Inc WR will begin trading ex dividend on January 23 2018 A cash dividend payment of 0 02 per share is scheduled to be paid on January 31 2018 Shareholders who purchased WR prior to the ex dividend date are eligible for the cash dividend payment Westar Energy Inc	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MLa1W0HBxmw/westar-energy-inc-wr-ex-dividend-date-scheduled-for-january-23-2018-cm908356
2018-01-01,2018	NiSource Inc NI will begin trading ex dividend on July 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on August 20 2018 Shareholders who purchased NI prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eBtCHXTQz08/nisource-inc-ni-ex-dividend-date-scheduled-for-july-30-2018-cm997797,2018	NiSource Inc NI will begin trading ex dividend on July 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on August 20 2018 Shareholders who purchased NI prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eBtCHXTQz08/nisource-inc-ni-ex-dividend-date-scheduled-for-july-30-2018-cm997797
2018-01-01,2018.	https://finance.yahoo.com/news/utility-stocks-apos-q2-earnings-132801004.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/utility-stocks-apos-q2-earnings-132801004.html?.tsrc=rss
2018-01-01,2018	WEC Energy Group Inc WEC will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 553 per share is scheduled to be paid on September 01 2018 Shareholders who purchased WEC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_6OUIe5rrXg/wec-energy-group-inc-wec-ex-dividend-date-scheduled-for-august-13-2018-cm1005647,2018	WEC Energy Group Inc WEC will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 553 per share is scheduled to be paid on September 01 2018 Shareholders who purchased WEC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_6OUIe5rrXg/wec-energy-group-inc-wec-ex-dividend-date-scheduled-for-august-13-2018-cm1005647
2018-01-01,2018	WEC Energy Group Inc WEC will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 553 per share is scheduled to be paid on September 01 2018 Shareholders who purchased WEC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XNt8ZJsBz7E/wec-energy-group-inc-wec-ex-dividend-date-scheduled-for-august-13-2018-cm1005647,2018	WEC Energy Group Inc WEC will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 553 per share is scheduled to be paid on September 01 2018 Shareholders who purchased WEC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XNt8ZJsBz7E/wec-energy-group-inc-wec-ex-dividend-date-scheduled-for-august-13-2018-cm1005647
2018-01-01,2018	Allete Inc ALE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 56 per share is scheduled to be paid on September 01 2018 Shareholders who purchased ALE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/E6JXPiGCixQ/allete-inc-ale-ex-dividend-date-scheduled-for-august-14-2018-cm1006534,2018	Allete Inc ALE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 56 per share is scheduled to be paid on September 01 2018 Shareholders who purchased ALE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/E6JXPiGCixQ/allete-inc-ale-ex-dividend-date-scheduled-for-august-14-2018-cm1006534
2018-01-01,2018	Allete Inc ALE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 56 per share is scheduled to be paid on September 01 2018 Shareholders who purchased ALE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/riFe08mIgQs/allete-inc-ale-ex-dividend-date-scheduled-for-august-14-2018-cm1006534,2018	Allete Inc ALE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 56 per share is scheduled to be paid on September 01 2018 Shareholders who purchased ALE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/riFe08mIgQs/allete-inc-ale-ex-dividend-date-scheduled-for-august-14-2018-cm1006534
2018-01-01,2018	Spark Energy Inc SPKE will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 181 per share is scheduled to be paid on September 13 2018 Shareholders who purchased SPKE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tS9qWJOE4JQ/spark-energy-inc-spke-ex-dividend-date-scheduled-for-august-29-2018-cm1013910,2018	Spark Energy Inc SPKE will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 181 per share is scheduled to be paid on September 13 2018 Shareholders who purchased SPKE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tS9qWJOE4JQ/spark-energy-inc-spke-ex-dividend-date-scheduled-for-august-29-2018-cm1013910
2018-01-01,2018	Spark Energy Inc SPKE will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 181 per share is scheduled to be paid on September 13 2018 Shareholders who purchased SPKE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8ulC9WpwfYc/spark-energy-inc-spke-ex-dividend-date-scheduled-for-august-29-2018-cm1013910,2018	Spark Energy Inc SPKE will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 181 per share is scheduled to be paid on September 13 2018 Shareholders who purchased SPKE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8ulC9WpwfYc/spark-energy-inc-spke-ex-dividend-date-scheduled-for-august-29-2018-cm1013910
2018-01-01,2018	NiSource Inc NI will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on November 20 2018 Shareholders who purchased NI prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/w7wzbKJm_cg/nisource-inc-ni-ex-dividend-date-scheduled-for-october-30-2018-cm1044995,2018	NiSource Inc NI will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on November 20 2018 Shareholders who purchased NI prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/w7wzbKJm_cg/nisource-inc-ni-ex-dividend-date-scheduled-for-october-30-2018-cm1044995
