publishedAt,title,description
2018-01-02,"Zacks.com highlights: Estee Lauder, DXC Technology, Michael Kors Holdings, Stifel Financial and City Holding","Zacks.com highlights: Estee Lauder, DXC Technology, Michael Kors Holdings, Stifel Financial and City Holding"
2018-01-03,On Wednesday Herbalife HLF got a positive adjustment to its Relative Strength RS Rating from 65 to 72 ibd display video id 2368044 width 50 float left autostart true This proprietary rating tracks technical performance by using a 1 worst to 99 best,Herbalife Trying To Close In On Key Technical Measure
2018-01-03,Popular as an abode of defensive stocks the Consumer Staples sector mainly comprises companies that provide essentials and products used in daily lives Including companies that sell food beverages soap and cleaning materials and products related to beauty and personal care among others,Consumer Staples Outlook - January 2018
2018-01-04,The Consumer Staples sector seems well placed for 2018 with rising consumer confidence healthy consumer spending increased business investments and an improved labor market helping stocks in this space Stocks in the sector lagged the broader market last year but the sector s stock,Will Strategic Efforts Fuel Consumer Staples Growth in 2018?
2018-01-04,Will Strategic Efforts Fuel Consumer Staples Growth in 2018?,Will Strategic Efforts Fuel Consumer Staples Growth in 2018?
2018-01-04,"Zacks Industry Outlook Highlights: Brown-Forman, Estee Lauder, Ollie&apos;s Bargain Outlet Holdings and John Wiley & Sons","Zacks Industry Outlook Highlights: Brown-Forman, Estee Lauder, Ollie&apos;s Bargain Outlet Holdings and John Wiley & Sons"
2018-01-04,For Immediate Release Chicago IL Jan 04 2018 Today Zacks Equity Research discusses the Industry Consumer Staples including Brown Forman Corporation 160 BF B Estee Lauder Companies Inc 160 EL Ollie s Bargain Outlet Holdings Inc OLLI and John Wiley,"Zacks Industry Outlook Highlights: Brown-Forman, Estee Lauder, Ollie's Bargain Outlet Holdings and John Wiley & Sons"
2018-01-04,Despite stiff competition and aggressive promotional activities toughening the food industry conditions Pinnacle Foods Inc PF has been steadily gaining from acquisitions and business expansion efforts Notably shares of this renowned marketer and distributor of food products have gained 9,Pinnacle Foods (PF) Up 9% in a Year: Can Momentum Sustain?
2018-01-05,"Zacks Industry Outlook Highlights: Procter & Gamble, Colgate-Palmolive, Estee Lauder, Campbell Soup and United Natural Foods","Zacks Industry Outlook Highlights: Procter & Gamble, Colgate-Palmolive, Estee Lauder, Campbell Soup and United Natural Foods"
2018-01-05,For Immediate Release Chicago IL Jan 05 2018 Today Zacks Equity Research discusses the Industry Consumer Staples Part 2 including Procter amp Gamble Co 160 PG Colgate Palmolive 160 CL Estee Lauder 160 EL Campbell Soup 160 CPB and,"Zacks Industry Outlook Highlights: Procter & Gamble, Colgate-Palmolive, Estee Lauder, Campbell Soup and United Natural Foods"
