publishedAt,title,description
2018-01-02,Canadian Stocks Are Recovering From Early Weakness  - Canadian Commentary,Canadian Stocks Are Recovering From Early Weakness  - Canadian Commentary
2018-01-02,Energy Transfer Partners L P s ETP Dakota Access pipeline has been benefiting oil producers in Bakken Shale 160 We note that the opening of the pipeline was mired in controversy However once it became fully operational in June 2017 this 1 172 mile pipeline has proved to be beneficial,Is the Dakota Access Pipeline Delivering What it Promised?
2018-01-03,There s plenty to like about ONEOK NYSE OKE For starters the pipeline and processing company currently offers investors an attractive 5 6 yielding dividend that it expects to grow by 9 to 11 annually through 2021 However while that combination makes ONEOK a potential,"Bullish on ONEOK, Inc.? You'll Love These Stocks"
2018-01-03,Canadian Stocks Are Rising As Crude Prices Climb - Canadian Commentary,Canadian Stocks Are Rising As Crude Prices Climb - Canadian Commentary
2018-01-03,"DALLAS , Jan. 3, 2018 /PRNewswire/ -- Alerian announced today the real-time launch of the Alerian Energy Infrastructure Capital Strength Select Index, a composite of North American midstream, refining, ...",Alerian Announces Real-Time Launch of the Alerian Energy Infrastructure Capital Strength Select Index
2018-01-03,"It’s easy to love the fast-growing high yield offered by this pipeline stock. However, these rivals provide similarly strong prospects for a cheaper price.","Bullish on ONEOK, Inc.? You&apos;ll Love These Stocks"
2018-01-04,"Categories:  Yahoo FinanceGet free summary analysis Enbridge, Inc. reports financial results for the quarter ended September 30, 2017. Highlights Summary numbers: Revenues of USD 7,242.02 million, Net Earnings of USD 675.77 million. Gross margins widened from 22.06% to 32.10% compared to the same period last year, operating (EBITDA) margins now 23.77% from 15.73%. Change in operating cash ... Read more
<b>(Read more...)</b>","Enbridge, Inc. :ENB-US: Earnings Analysis: Q3, 2017 By the Numbers : January 4, 2018"
2018-01-08,Canadian Stocks Are Dipping At The Start Of The Week- Canadian Commentary,Canadian Stocks Are Dipping At The Start Of The Week- Canadian Commentary
2018-01-08,These stable dividend stocks will keep your retirement income humming along.,3 Dividend Stocks That Should Pay You the Rest of Your Life
2018-01-08,When looking for great long term dividend investment plays investors should keep an eye out for companies that have a stable record of paying dividends and raising them regularly as well as companies that have demonstrated sustainability you know so they don t go out of business in,3 Dividend Stocks That Should Pay You the Rest of Your Life
2018-01-10,In trading on Wednesday shares of Enbridge Inc Symbol ENB crossed below their 200 day moving average of 39 86 changing hands as low as 39 41 per share Enbridge Inc shares are currently trading off about 2 on the day The chart below shows the one year performance of ENB shares versus,Enbridge (ENB) Shares Cross Below 200 DMA
2018-01-10,Enbridge Inc NYSE:ENB,See what the IHS Markit Score report has to say about Enbridge Inc.
2018-01-10,Energy Transfer Partners: How It&apos;s Placed for 2018 and Beyond,What Energy Transfer Partners’ Current Valuation Tells Us
2018-01-10,Healthcare giant Johnson amp Johnson NYSE JNJ pays a nice dividend Based on its latest quarterly payout the stock yields about 2 3 That may not seem all that high but it s a lot better than the S amp P 500 s anemic 1 75 yield If you re not content with Johnson,3 Dividend Stocks That Cut Bigger Checks Than Johnson & Johnson
2018-01-10,"If you&apos;re looking for a bigger dividend, here are a few ideas.",3 Dividend Stocks That Cut Bigger Checks Than Johnson & Johnson
2018-01-10,"There are hundreds of oil prices in the world, each with its own unique characteristics and origins—but which is the most expensive?",The World’s Most Expensive Oil
2018-01-11,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?TRP outperformed peers",Will TransCanada Outperform Peers in 2018?
2018-01-11,These already high-yielding stocks expect double-digit dividend growth in 2018.,3 Fast-Growing Dividend Stocks for 2018
2018-01-11,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?",What’s Impacting TransCanada’s Earnings?
2018-01-11,It s rare to find well paying dividend stocks that can also grow at a rapid pace That s why Enbridge NYSE ENB MPLX NYSE MPLX and EQT Midstream NYSE EQM stand out Each offers a compelling current yield which should grow by double digits this year,3 Fast-Growing Dividend Stocks for 2018
2018-01-12,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?",TRP and ENB: What Institutional Investors’ Activity Suggests
2018-01-12,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?",Is Enbridge’s 5% Dividend Yield Attractive?
2018-01-12,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?","TransCanada, Enbridge: Capital Projects Should Drive Growth"
2018-01-12,Canadian Stocks Are Looking For Direction In Early Trade - Canadian Commentary,Canadian Stocks Are Looking For Direction In Early Trade - Canadian Commentary
2018-01-15,Canadian Stocks Are Rising In Early Trade - Canadian Commentary,Canadian Stocks Are Rising In Early Trade - Canadian Commentary
2018-01-15,"TRP, ENB: Will Canadian Midstream Giants Outperform in 2018?",Why Short Interest in Enbridge Has Risen
2018-01-15,"Of the analysts surveyed by Reuters, ~87% rated TransCanada (TRP) a “buy” and 13% rated it a “hold.” None of the surveyed analysts rated TRP a “sell.” The consensus target price for TRP is ~$58.29.  Its stock is currently trading at $47.47.  If TransCanada attains its target price within a year, it would mean 22% upside for investors.",87% of Wall Street Analysts Rate TransCanada a ‘Buy’
2018-01-15,Enbridge (ENB) will separate its gas pipeline from the fire-damaged platform Enchilada.,Enbridge to Resume Garden Banks Gas Operations in February
