publishedAt,title,description
2018-01-01,2018.	https://finance.yahoo.com/news/equinix-inc-eqix-q4-2018-033941113.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/equinix-inc-eqix-q4-2018-033941113.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/equinix-inc-eqix-q3-2018-044950889.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/equinix-inc-eqix-q3-2018-044950889.html?.tsrc=rss
2018-01-01,2018	Benchmarks closed in positive territory on Tuesday for three straight trading days after posting their worst weekly performance in two years Despite registering gains on Tuesday both the Dow and S amp P 500 are at least 7 lower than their all time high levels registered on Jan 26 The tech	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NSHRiXroJp0/stock-market-news-for-feb-14-2018-cm921467,2018	Benchmarks closed in positive territory on Tuesday for three straight trading days after posting their worst weekly performance in two years Despite registering gains on Tuesday both the Dow and S amp P 500 are at least 7 lower than their all time high levels registered on Jan 26 The tech	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NSHRiXroJp0/stock-market-news-for-feb-14-2018-cm921467
2018-01-01,2018	Benchmarks closed in positive territory on Tuesday for three straight trading days after posting their worst weekly performance in two years Despite registering gains on Tuesday both the Dow and S amp P 500 are at least 7 lower than their all time high levels registered on Jan 26 The tech	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/h9bl2bFTL_c/stock-market-news-for-feb-14-2018-cm921467,2018	Benchmarks closed in positive territory on Tuesday for three straight trading days after posting their worst weekly performance in two years Despite registering gains on Tuesday both the Dow and S amp P 500 are at least 7 lower than their all time high levels registered on Jan 26 The tech	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/h9bl2bFTL_c/stock-market-news-for-feb-14-2018-cm921467
2018-01-01,2018	Benchmarks ended in the red on Monday following a shift in investment from equities to bonds after Treasury bond yields reached their best level since April 2014 Expectations of an increase in growth and inflation boosted yield on the U S 10 year Treasury note following which sectors like	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/toYJJowJO0M/stock-market-news-for-jan-30-2018-cm913103,2018	Benchmarks ended in the red on Monday following a shift in investment from equities to bonds after Treasury bond yields reached their best level since April 2014 Expectations of an increase in growth and inflation boosted yield on the U S 10 year Treasury note following which sectors like	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/toYJJowJO0M/stock-market-news-for-jan-30-2018-cm913103
2018-01-01,2018	Benchmarks ended in the red on Monday following a shift in investment from equities to bonds after Treasury bond yields reached their best level since April 2014 Expectations of an increase in growth and inflation boosted yield on the U S 10 year Treasury note following which sectors like	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0hhrCO22_IA/stock-market-news-for-jan-30-2018-cm913103,2018	Benchmarks ended in the red on Monday following a shift in investment from equities to bonds after Treasury bond yields reached their best level since April 2014 Expectations of an increase in growth and inflation boosted yield on the U S 10 year Treasury note following which sectors like	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0hhrCO22_IA/stock-market-news-for-jan-30-2018-cm913103
2019-01-01,2019.	https://finance.yahoo.com/news/equinix-inc-eqix-q2-2019-122529785.html?.tsrc=rss,2019.	https://finance.yahoo.com/news/equinix-inc-eqix-q2-2019-122529785.html?.tsrc=rss
2019-01-01,2019.	https://finance.yahoo.com/news/equinix-inc-eqix-q1-2019-093607121.html?.tsrc=rss,2019.	https://finance.yahoo.com/news/equinix-inc-eqix-q1-2019-093607121.html?.tsrc=rss
2020-01-01,2020.	https://finance.yahoo.com/m/4488737f-6f0f-3a83-ab04-798278e091ea/equinix-inc-%28eqix%29-q4-2020.html?.tsrc=rss,2020.	https://finance.yahoo.com/m/4488737f-6f0f-3a83-ab04-798278e091ea/equinix-inc-%28eqix%29-q4-2020.html?.tsrc=rss
2020-01-01,2020.	https://finance.yahoo.com/m/00c2255c-8ec0-33a9-b212-7836d0778b44/equinix-inc-%28eqix%29-q2-2020.html?.tsrc=rss,2020.	https://finance.yahoo.com/m/00c2255c-8ec0-33a9-b212-7836d0778b44/equinix-inc-%28eqix%29-q2-2020.html?.tsrc=rss
2020-01-01,2020.	https://finance.yahoo.com/m/d13f7048-50db-3743-80a7-7ae5a2d5ab56/equinix-inc-%28eqix%29-q1-2020.html?.tsrc=rss,2020.	https://finance.yahoo.com/m/d13f7048-50db-3743-80a7-7ae5a2d5ab56/equinix-inc-%28eqix%29-q1-2020.html?.tsrc=rss
