publishedAt,title,description
2018-01-02,"Linda Jojo has gone from CIO of United Airlines to EVP of Technology and Chief Digital Officer of the company. As such, she is responsible for technology platforms and analytics, as well as strategy, development and deployment of United's e-commerce, mobile app and commercial web platforms.",Linda Jojo's Path From Board-Level CIO To EVP Of Technology And CDO Of United Airlines
2018-01-04,"Pepco Holdings announced today the appointment of Melissa Lavinson as the company’s new Senior Vice President for Government and External Affairs. She replaces Ken Parker, who retired in December after 31 years of service at Pepco Holdings and Atlantic City Electric.",Pepco Holdings Announces Melissa Lavinson as New Senior VP of Government and External Affairs
2018-01-05,"Today ComEd is filing a petition with the Illinois Commerce Commission seeking approval to pass along approximately $200 million in tax savings to its customers in 2018. If approved by the ICC, the average ComEd residential customer can expect to see an estimated $2-$3 decrease on their monthly bill related to the tax reduction.",ComEd Filing to Provide Savings to Customers from Corporate Tax Decrease
2018-01-05,"Today BGE will file with the Maryland Public Service Commission to pass approximately $82 million in annual tax savings to customers, resulting from federal tax cost reductions.",BGE to Provide Federal Tax Reduction Benefits to Customers
2018-01-05,It’s been less than a month since Congress approved a sweeping tax overhaul and states are already champing at the bit to get a piece of the action.,Trump Tax Reform Has States Hungry for Lower Utility Bills
2018-01-08,Let&apos;s put Exelon Corporation (EXC) stock into this equation and find out if it is a good choice for value-oriented investors right now.,Should Value Investors Pick Exelon Corporation (EXC) Stock?
2018-01-08,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Utilities Select Sector SPDR Fund Symbol XLU where we have detected an approximate 266 9 million dollar outflow that s a 3 6 decrease week over week,"XLU, D, SO, EXC: Large Outflows Detected at ETF"
2018-01-08,Value investing is easily one of the most popular ways to find great stocks in any market environment After all who wouldn t want to find stocks that are either flying under the radar and are compelling buys or offer up tantalizing discounts when compared to fair value One way to find,Should Value Investors Pick Exelon Corporation (EXC) Stock?
2018-01-08,"Announcement: Moody's assigns Green Bond Assessment of GB1 to Ligonier Valley School District's General Obligation Bonds, Series A of 2018. Global Credit Research- 08 Jan 2018. Initial GBA assigned to ...","Ligonier Valley School District, PA -- Moody's assigns Green Bond Assessment (GBA) of GB1 to Ligonier Valley School District's (PA) General Obligation Bonds, Series A of 2018 (Green Bonds)"
2018-01-09,"As an arctic deep freeze pounded the Midwest with high winds, bone-chilling temperatures and high power demands, Exelon Generation’s Illinois nuclear plants delivered reliable, critical electricity to 12 million homes and businesses.",Exelon Generation’s Illinois Nuclear Plants Ran at Nearly Full Capacity During Midwest Deep Freeze
