publishedAt,title,description
2016-01-01,2016 medical IPO Tabula Rasa HealthCare may be setting up for a new climb.	http://finance.yahoo.com/r/ec775631-731d-33a9-bd47-4ecbde9a5421/top-ipo-tabula-rasa-healthcare-may-follow-facebook-footsteps?src=A00220&yptr=yahoo&.tsrc=rss,2016 medical IPO Tabula Rasa HealthCare may be setting up for a new climb.	http://finance.yahoo.com/r/ec775631-731d-33a9-bd47-4ecbde9a5421/top-ipo-tabula-rasa-healthcare-may-follow-facebook-footsteps?src=A00220&yptr=yahoo&.tsrc=rss
2017-01-01,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dltUCPteV6A/stock-market-news-for-jul-16-2017-cm991719,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dltUCPteV6A/stock-market-news-for-jul-16-2017-cm991719
2017-01-01,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wapxthlRWdg/stock-market-news-for-jul-16-2017-cm991719,2017	Markets closed higher on Friday with the S amp P 500 posting its highest close in more than five months The Dow too reclaimed its 25 000 mark for the first time in almost a month The rally was led by tech and industrial stocks which offset a decline in financial stocks as results from three	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wapxthlRWdg/stock-market-news-for-jul-16-2017-cm991719
2017-01-01,2017.	https://finance.yahoo.com/news/facebook-inc-fb-q4-2017-045300295.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/facebook-inc-fb-q4-2017-045300295.html?.tsrc=rss
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cx8pyw5oZc4/stock-market-news-for-feb-8-2017-cm918383
2017-01-01,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383,2017	Markets ended marginally lower on Wednesday paring gains that major benchmarks notched up earlier in the session Such a reversal of gains was the largest for both the Dow and the S amp P 500 in as many as two years Meanwhile Congressional leaders announced that they had worked out a budget	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rVDuoVW61EI/stock-market-news-for-feb-8-2017-cm918383
2018-01-01,2018	CNBC’s Tech Check brings you the latest in tech news from CNBC’s 1 Market in the heart of San Francisco.	https://finance.yahoo.com/video/cnbc-tech-check-morning-edition-160200805.html?.tsrc=rss,2018	CNBC’s Tech Check brings you the latest in tech news from CNBC’s 1 Market in the heart of San Francisco.	https://finance.yahoo.com/video/cnbc-tech-check-morning-edition-160200805.html?.tsrc=rss
2018-01-01,2018	U.S. markets closed largely in the red on Thursday	https://finance.yahoo.com/news/stock-market-news-jul-27-134601267.html?.tsrc=rss,2018	U.S. markets closed largely in the red on Thursday	https://finance.yahoo.com/news/stock-market-news-jul-27-134601267.html?.tsrc=rss
2018-01-01,2018	Markets closed in the red on Friday as poor earnings from tech giants led to huge selloffs Unimpressive quarterly results from tech companies overshadowed strong economic data The Nasdaq declined more than 1 after tech stocks posted losses for the second consecutive day The Dow	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zN-3loWJOqk/stock-market-news-for-jul-30-2018-cm998908,2018	Markets closed in the red on Friday as poor earnings from tech giants led to huge selloffs Unimpressive quarterly results from tech companies overshadowed strong economic data The Nasdaq declined more than 1 after tech stocks posted losses for the second consecutive day The Dow	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zN-3loWJOqk/stock-market-news-for-jul-30-2018-cm998908
2018-01-01,2018	Markets closed in the red on Friday as poor earnings from tech giants led to huge selloffs Unimpressive quarterly results from tech companies overshadowed strong economic data The Nasdaq declined more than 1 after tech stocks posted losses for the second consecutive day The Dow	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dKYFagggCs0/stock-market-news-for-jul-30-2018-cm998908,2018	Markets closed in the red on Friday as poor earnings from tech giants led to huge selloffs Unimpressive quarterly results from tech companies overshadowed strong economic data The Nasdaq declined more than 1 after tech stocks posted losses for the second consecutive day The Dow	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dKYFagggCs0/stock-market-news-for-jul-30-2018-cm998908
