publishedAt,title,description
2009-01-01,2009.  Concern about the a recent gas turbine failure in Texas continues to hang over GE.  Several Wall Street analysts slashed GE price targets this month due to the struggling power business.	https://finance.yahoo.com/m/20648ed4-c0fb-33d8-8718-e291fe190d99/ge-shares-drop-to-9-year-low.html?.tsrc=rss,2009.  Concern about the a recent gas turbine failure in Texas continues to hang over GE.  Several Wall Street analysts slashed GE price targets this month due to the struggling power business.	https://finance.yahoo.com/m/20648ed4-c0fb-33d8-8718-e291fe190d99/ge-shares-drop-to-9-year-low.html?.tsrc=rss
2015-01-01,2015 when the company announced it would sell the bulk of its GE Capital business.  Outgoing CEO John Flannery was a much maligned figure at GE as shares have fallen precipitously since his accession.  William Blair's Tanner James said the news sounds like perfect timing for GE.	https://finance.yahoo.com/m/287f3cd7-b16c-3f80-b716-93e504c0bd8e/chart-of-the-day%3A-ge-posts.html?.tsrc=rss,2015 when the company announced it would sell the bulk of its GE Capital business.  Outgoing CEO John Flannery was a much maligned figure at GE as shares have fallen precipitously since his accession.  William Blair's Tanner James said the news sounds like perfect timing for GE.	https://finance.yahoo.com/m/287f3cd7-b16c-3f80-b716-93e504c0bd8e/chart-of-the-day%3A-ge-posts.html?.tsrc=rss
2017-01-01,2017 Earnings	The Boston-based industrial conglomerate lowered its 2016 earnings by 13 cents per share and its 2017 earnings by 17 cents per share.	https://finance.yahoo.com/m/2a4a9f62-2707-36f8-b8f9-c9efe982c275/general-electric-lowers.html?.tsrc=rss,2017 Earnings	The Boston-based industrial conglomerate lowered its 2016 earnings by 13 cents per share and its 2017 earnings by 17 cents per share.	https://finance.yahoo.com/m/2a4a9f62-2707-36f8-b8f9-c9efe982c275/general-electric-lowers.html?.tsrc=rss
2017-01-01,2017 Earnings Lower On New Accounting Standard	General Electric&apos;s newly published figures show it earned 85 cents a share in 2016 and lost 99 cents a share in 2017 after previously reporting $1 in EPS and a per-share loss of 68 cents in those years.	https://finance.yahoo.com/m/c6060b28-1dd4-3c0e-9417-e220696190b9/ge-restates-2016%2C-2017.html?.tsrc=rss,2017 Earnings Lower On New Accounting Standard	General Electric&apos;s newly published figures show it earned 85 cents a share in 2016 and lost 99 cents a share in 2017 after previously reporting $1 in EPS and a per-share loss of 68 cents in those years.	https://finance.yahoo.com/m/c6060b28-1dd4-3c0e-9417-e220696190b9/ge-restates-2016%2C-2017.html?.tsrc=rss
2017-01-01,2017 earnings and revenue after accounting restatement	General Electric restated its 2016 and 2017 earnings results Friday.	https://finance.yahoo.com/m/851033c6-ae43-34a0-91c3-75f7c5822480/general-electric-reduces.html?.tsrc=rss,2017 earnings and revenue after accounting restatement	General Electric restated its 2016 and 2017 earnings results Friday.	https://finance.yahoo.com/m/851033c6-ae43-34a0-91c3-75f7c5822480/general-electric-reduces.html?.tsrc=rss
2017-01-01,2017	https://finance.yahoo.com/news/ge-adopts-accounting-standard-amid-170928320.html?.tsrc=rss,2017	https://finance.yahoo.com/news/ge-adopts-accounting-standard-amid-170928320.html?.tsrc=rss
2018-01-01,2018	Lennar Corp s LEN shares soared 4 9 after reporting fiscal second quarter 2018 adjusted earnings per share of 1 58 outpacing the Zacks Consensus estimate of 0 45 Visa Inc V increased 1 2 following announcement that the company plans to deposit 600 million in its	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DYBS_jslSyE/company-news-for-jun-27-2018-cm984283,2018	Lennar Corp s LEN shares soared 4 9 after reporting fiscal second quarter 2018 adjusted earnings per share of 1 58 outpacing the Zacks Consensus estimate of 0 45 Visa Inc V increased 1 2 following announcement that the company plans to deposit 600 million in its	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/DYBS_jslSyE/company-news-for-jun-27-2018-cm984283
2018-01-01,2018	Lennar Corp s LEN shares soared 4 9 after reporting fiscal second quarter 2018 adjusted earnings per share of 1 58 outpacing the Zacks Consensus estimate of 0 45 Visa Inc V increased 1 2 following announcement that the company plans to deposit 600 million in its	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ICkZ6JmercI/company-news-for-jun-27-2018-cm984283,2018	Lennar Corp s LEN shares soared 4 9 after reporting fiscal second quarter 2018 adjusted earnings per share of 1 58 outpacing the Zacks Consensus estimate of 0 45 Visa Inc V increased 1 2 following announcement that the company plans to deposit 600 million in its	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ICkZ6JmercI/company-news-for-jun-27-2018-cm984283
2018-01-01,2018	CNBC Markets Now provides a look at the day's market moves with commentary and analysis.	https://finance.yahoo.com/video/cnbc-markets-now-june-20-220800839.html?.tsrc=rss,2018	CNBC Markets Now provides a look at the day's market moves with commentary and analysis.	https://finance.yahoo.com/video/cnbc-markets-now-june-20-220800839.html?.tsrc=rss
2018-01-01,2018	Markets ended sharply lower on Tuesday as trade war fears escalated once again after President Donald Trump threatened to impose additional tariffs on another 200 billion of Chinese goods and China said that it would retaliate This saw all three major indexes closing in the red The Dow gave	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lwoJGQWXWMM/stock-market-news-for-jun-20-2018-cm980918,2018	Markets ended sharply lower on Tuesday as trade war fears escalated once again after President Donald Trump threatened to impose additional tariffs on another 200 billion of Chinese goods and China said that it would retaliate This saw all three major indexes closing in the red The Dow gave	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lwoJGQWXWMM/stock-market-news-for-jun-20-2018-cm980918
