publishedAt,title,description
1978-01-01,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss,1978	https://finance.yahoo.com/m/62fd8949-8647-3b0a-8816-71d9fbe44739/the-nasdaq-composite-is.html?.tsrc=rss
2018-01-01,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kn_wt5AnTWI/stock-market-news-for-sep-14-2018-cm1022977,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kn_wt5AnTWI/stock-market-news-for-sep-14-2018-cm1022977
2018-01-01,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory.	https://finance.yahoo.com/news/stock-market-news-dec-12-143102527.html?.tsrc=rss,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory.	https://finance.yahoo.com/news/stock-market-news-dec-12-143102527.html?.tsrc=rss
2018-01-01,2018	FactSet Research Systems Inc FDS will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 64 per share is scheduled to be paid on December 18 2018 Shareholders who purchased FDS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/s8gpp5ibXdA/factset-research-systems-inc-fds-ex-dividend-date-scheduled-for-november-29-2018-cm1061518,2018	FactSet Research Systems Inc FDS will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 64 per share is scheduled to be paid on December 18 2018 Shareholders who purchased FDS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/s8gpp5ibXdA/factset-research-systems-inc-fds-ex-dividend-date-scheduled-for-november-29-2018-cm1061518
2018-01-01,2018	FactSet Research Systems Inc FDS will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 64 per share is scheduled to be paid on December 18 2018 Shareholders who purchased FDS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-Eu4gFLs_Yw/factset-research-systems-inc-fds-ex-dividend-date-scheduled-for-november-29-2018-cm1061518,2018	FactSet Research Systems Inc FDS will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 64 per share is scheduled to be paid on December 18 2018 Shareholders who purchased FDS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-Eu4gFLs_Yw/factset-research-systems-inc-fds-ex-dividend-date-scheduled-for-november-29-2018-cm1061518
2018-01-01,2018.	https://finance.yahoo.com/news/salesforce-com-inc-crm-q3-050522141.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/salesforce-com-inc-crm-q3-050522141.html?.tsrc=rss
2018-01-01,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory as investors weighed escalating political tensions against optimism surrounding U S China trade talks The last half hour of trading saw major	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kweAlqfhMyk/stock-market-news-for-dec-12-2018-cm1068265,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory as investors weighed escalating political tensions against optimism surrounding U S China trade talks The last half hour of trading saw major	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kweAlqfhMyk/stock-market-news-for-dec-12-2018-cm1068265
2018-01-01,2018	U S stocks closed sharply lower in a truncated trading session on occasion of Black Friday primarily due to precipitous decline of crude oil prices Moreover ongoing trade war between the United States and Chins further intensified following news that the Trump administration has urged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uFDxbnhAJZ4/stock-market-news-for-nov-26-2018-cm1060453,2018	U S stocks closed sharply lower in a truncated trading session on occasion of Black Friday primarily due to precipitous decline of crude oil prices Moreover ongoing trade war between the United States and Chins further intensified following news that the Trump administration has urged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uFDxbnhAJZ4/stock-market-news-for-nov-26-2018-cm1060453
2018-01-01,2018	U S stocks closed sharply lower in a truncated trading session on occasion of Black Friday primarily due to precipitous decline of crude oil prices Moreover ongoing trade war between the United States and Chins further intensified following news that the Trump administration has urged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bwMtnbLTQhw/stock-market-news-for-nov-26-2018-cm1060453,2018	U S stocks closed sharply lower in a truncated trading session on occasion of Black Friday primarily due to precipitous decline of crude oil prices Moreover ongoing trade war between the United States and Chins further intensified following news that the Trump administration has urged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bwMtnbLTQhw/stock-market-news-for-nov-26-2018-cm1060453
2018-01-01,2018	Markets closed sharply lower on Monday as tech and Internet related stocks took a hit The huge selloff was led by FAANG stocks that dragged the broader market lower Also homebuilder confidence hit a two year low in November hurting markets further Also investors continued to be	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ze-7yQYu3-M/stock-market-news-for-nov-20-2018-cm1058811,2018	Markets closed sharply lower on Monday as tech and Internet related stocks took a hit The huge selloff was led by FAANG stocks that dragged the broader market lower Also homebuilder confidence hit a two year low in November hurting markets further Also investors continued to be	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ze-7yQYu3-M/stock-market-news-for-nov-20-2018-cm1058811
2018-01-01,2018	Markets closed sharply lower on Monday as tech and Internet related stocks took a hit The huge selloff was led by FAANG stocks that dragged the broader market lower Also homebuilder confidence hit a two year low in November hurting markets further Also investors continued to be	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QBiS1CNszA4/stock-market-news-for-nov-20-2018-cm1058811,2018	Markets closed sharply lower on Monday as tech and Internet related stocks took a hit The huge selloff was led by FAANG stocks that dragged the broader market lower Also homebuilder confidence hit a two year low in November hurting markets further Also investors continued to be	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QBiS1CNszA4/stock-market-news-for-nov-20-2018-cm1058811
2018-01-01,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory as investors weighed escalating political tensions against optimism surrounding U S China trade talks The last half hour of trading saw major	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/f7mNwg0FMJU/stock-market-news-for-dec-12-2018-cm1068265,2018	Markets closed mostly lower on Tuesday after a volatile trading session that saw major indexes oscillating between positive and negative territory as investors weighed escalating political tensions against optimism surrounding U S China trade talks The last half hour of trading saw major	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/f7mNwg0FMJU/stock-market-news-for-dec-12-2018-cm1068265
2018-01-01,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K36eGt1rEzk/stock-market-news-for-sep-14-2018-cm1022977,2018	Markets closed higher on Thursday with tech stocks once again leading the rally Apple recovered from the losses made in the earlier session Moreover investor sentiment received a boost on news that China has welcomed fresh talks with the United States in an attempt to find a possible	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/K36eGt1rEzk/stock-market-news-for-sep-14-2018-cm1022977
2018-01-01,2018.	https://finance.yahoo.com/news/angi-homeservices-inc-angi-q4-191622521.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/angi-homeservices-inc-angi-q4-191622521.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/iac-interactivecorp-iac-q4-2018-223826656.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/iac-interactivecorp-iac-q4-2018-223826656.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/criteo-sa-crto-q4-2018-171227564.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/criteo-sa-crto-q4-2018-171227564.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/groupon-inc-grpn-q4-2018-203249689.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/groupon-inc-grpn-q4-2018-203249689.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/truecar-true-q4-2018-earnings-235339982.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/truecar-true-q4-2018-earnings-235339982.html?.tsrc=rss
