publishedAt,title,description
2018-01-02,The diversified conglomerate&apos;s outperformance of its peers looks set to continue.,Is Honeywell International Stock a Buy for 2018?
2018-01-02,Superior Industries International Inc SUP will begin trading ex dividend on January 03 2018 A cash dividend payment of 0 09 per share is scheduled to be paid on January 19 2018 Shareholders who purchased SUP prior to the ex dividend date are eligible for the cash dividend payment,"Superior Industries International, Inc. (SUP) Ex-Dividend Date Scheduled for January 03, 2018"
2018-01-02,Honeywell International NYSE HON has been the standout performer in the stable of industrial conglomerates and its near to mid term prospects look better than its nearest peers namely General Electric Company NYSE GE and United Technologies Corporation NYSE UTX,Is Honeywell International Stock a Buy for 2018?
2018-01-02,Here are the prospects for the company and the stock in the coming year.,Is 3M Company Stock a Buy for 2018?
2018-01-03,"RBC Capital Markets analyst Deane Dray downgrades Honeywell to Sector Perform, citing limited near-term upside.","Honeywell's Key Catalysts 'Largely Played Out,' RBC Says"
2018-01-03,Gentex Corporation GNTX will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 1 per share is scheduled to be paid on January 17 2018 Shareholders who purchased GNTX prior to the ex dividend date are eligible for the cash dividend payment This marks the,"Gentex Corporation (GNTX) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-03,Carlisles CSL saw a welcome improvement to its Relative Strength RS Rating on Wednesday with an increase from 68 to 72 ibd display video id 2881825 width 50 float left autostart true This unique rating identifies market leadership by showing how a stock s,Carlisles Getting Closer To Key Technical Measure
2018-01-03,"After all, General Electric (GE) was the worst performer in the Dow Jones Industrial Average, while Boeing (BA) was the best performer by a long shot.  The need to be selective carries over into 2018: RBC Capital Markets' Deane Dray, Matthew McConnell, and their teams take a look at the space on Wednesday, downgrading Honeywell (HON) and upgrading United Technologies (UTX).  From the note:  The 12% discount to peers (on arguably depressed UTX earnings) undervalues its large and growing installed base and predictable high-margin aftermarket sales...We view UTC as a high quality supplier of critical components in both industrial and aero markets with large installed bases of products with a high cost of failure, driving recurring and predictable high-margin aftermarket sales.",The Sweetest Trade: Swap Out Honeywell for United Technologies
2018-01-04,Investors in Honeywell International Inc Symbol HON saw new options begin trading today for the February 23rd expiration At Stock Options Channel our YieldBoost formula has looked up and down the HON options chain for the new February 23rd contracts and identified one put and one,February 23rd Options Now Available For Honeywell International (HON)
2018-01-04,It's been a banner stretch for the “industrial” stocks within the Dow Jones Industrial Average. But the Dow's years-long rally would be more robust if the average still included Honeywell International ...,Ghost of the Dow's Industrial Past Gets Last Laugh
2018-01-04,Oh how the mighty have fallen The slide of General Electric NYSE GE in 2017 was just painful to watch even if you don t own any of its shares I do It s even worse for those who bought the stock in the early 2000s when its per share price was north of 40 As I write,3 Reasons to Be Hopeful of a General Electric Stock Turnaround
2018-01-05,It has been a banner stretch for the industrial stocks within the Dow Jones Industrial Average.,[$$] Industrial Stocks Pump Up Index
2018-01-05,It's been a banner stretch for the “industrial” stocks within the Dow Jones Industrial Average. But the Dow's years-long rally would be more robust if the average still included Honeywell International ...,Ghost of the Dow’s Industrial Past Gets Last Laugh
