publishedAt,title,description
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MlHmpYFegHc/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MlHmpYFegHc/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775
2018-01-01,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uaqKNAGdNX4/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uaqKNAGdNX4/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568
2018-01-01,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p2jtDXNRz54/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p2jtDXNRz54/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a6B-kvU6zVw/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a6B-kvU6zVw/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/efK2X2zs5io/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/efK2X2zs5io/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234
2018-01-01,2018	Pfizer Inc PFE will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on September 04 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WP2rmF3LJBY/pfizer-inc-pfe-ex-dividend-date-scheduled-for-august-02-2018-cm1000181,2018	Pfizer Inc PFE will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on September 04 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WP2rmF3LJBY/pfizer-inc-pfe-ex-dividend-date-scheduled-for-august-02-2018-cm1000181
2018-01-01,2018	Pfizer Inc PFE will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on September 04 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m2XYcf36Lcw/pfizer-inc-pfe-ex-dividend-date-scheduled-for-august-02-2018-cm1000181,2018	Pfizer Inc PFE will begin trading ex dividend on August 02 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on September 04 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m2XYcf36Lcw/pfizer-inc-pfe-ex-dividend-date-scheduled-for-august-02-2018-cm1000181
2018-01-01,2018 /  Johnson & Johnson saw a pop after announcing second quarter results and vowing to appeal a court order last week that ordered the company to pay a whopping $4.69 billion to nearly two dozen women who alleged the company's talc products contained asbestos and caused them to develop ovarian cancer.  Shares of Avid Bioservices also saw big gains after announcing a new CFO.  Johnson & Johnson shares saw a gain of 3.54% by the close on Tuesday on trading volume nearly double compared to usual.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-121000219.html?.tsrc=rss,2018 /  Johnson & Johnson saw a pop after announcing second quarter results and vowing to appeal a court order last week that ordered the company to pay a whopping $4.69 billion to nearly two dozen women who alleged the company's talc products contained asbestos and caused them to develop ovarian cancer.  Shares of Avid Bioservices also saw big gains after announcing a new CFO.  Johnson & Johnson shares saw a gain of 3.54% by the close on Tuesday on trading volume nearly double compared to usual.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-121000219.html?.tsrc=rss
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on June 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on July 09 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lqG5Ec7QbTA/merck-company-inc-mrk-ex-dividend-date-scheduled-for-june-14-2018-cm977429,2018	Merck amp Company Inc MRK will begin trading ex dividend on June 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on July 09 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lqG5Ec7QbTA/merck-company-inc-mrk-ex-dividend-date-scheduled-for-june-14-2018-cm977429
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on June 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on July 09 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VCc7syJ-34I/merck-company-inc-mrk-ex-dividend-date-scheduled-for-june-14-2018-cm977429,2018	Merck amp Company Inc MRK will begin trading ex dividend on June 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on July 09 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VCc7syJ-34I/merck-company-inc-mrk-ex-dividend-date-scheduled-for-june-14-2018-cm977429
