publishedAt,title,description
2017-01-01,2017 with the SEC. The report is available on the SEC's website at https://www.sec.gov and will be available on the Firm's Investor Relations website at www.jpmorganchase.com\investor-relations under SEC & Other Filings.	https://finance.yahoo.com/news/jpmorgan-chase-files-form-10-214500278.html?.tsrc=rss,2017 with the SEC. The report is available on the SEC's website at https://www.sec.gov and will be available on the Firm's Investor Relations website at www.jpmorganchase.com\investor-relations under SEC & Other Filings.	https://finance.yahoo.com/news/jpmorgan-chase-files-form-10-214500278.html?.tsrc=rss
2018-01-01,2018	Live Oak Bancshares Inc LOB will begin trading ex dividend on November 30 2018 A cash dividend payment of 0 03 per share is scheduled to be paid on December 17 2018 Shareholders who purchased LOB prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LcB5tYjRL4U/live-oak-bancshares-inc-lob-ex-dividend-date-scheduled-for-november-30-2018-cm1062213,2018	Live Oak Bancshares Inc LOB will begin trading ex dividend on November 30 2018 A cash dividend payment of 0 03 per share is scheduled to be paid on December 17 2018 Shareholders who purchased LOB prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LcB5tYjRL4U/live-oak-bancshares-inc-lob-ex-dividend-date-scheduled-for-november-30-2018-cm1062213
2018-01-01,2018	Cullen Frost Bankers Inc CFR will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 67 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CFR prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Eus-FaEm7Rc/cullenfrost-bankers-inc-cfr-ex-dividend-date-scheduled-for-august-30-2018-cm1014630,2018	Cullen Frost Bankers Inc CFR will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 67 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CFR prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Eus-FaEm7Rc/cullenfrost-bankers-inc-cfr-ex-dividend-date-scheduled-for-august-30-2018-cm1014630
2018-01-01,2018	Cullen Frost Bankers Inc CFR will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 67 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CFR prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6WbD_10S28c/cullenfrost-bankers-inc-cfr-ex-dividend-date-scheduled-for-august-30-2018-cm1014630,2018	Cullen Frost Bankers Inc CFR will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 67 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CFR prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6WbD_10S28c/cullenfrost-bankers-inc-cfr-ex-dividend-date-scheduled-for-august-30-2018-cm1014630
2018-01-01,2018	United Bancshares Inc UBOH will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on September 17 2018 Shareholders who purchased UBOH prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0z-E-hadGs8/united-bancshares-inc-uboh-ex-dividend-date-scheduled-for-august-30-2018-cm1014608,2018	United Bancshares Inc UBOH will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on September 17 2018 Shareholders who purchased UBOH prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0z-E-hadGs8/united-bancshares-inc-uboh-ex-dividend-date-scheduled-for-august-30-2018-cm1014608
2018-01-01,2018	United Bancshares Inc UBOH will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on September 17 2018 Shareholders who purchased UBOH prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QPSRsaWuxWY/united-bancshares-inc-uboh-ex-dividend-date-scheduled-for-august-30-2018-cm1014608,2018	United Bancshares Inc UBOH will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on September 17 2018 Shareholders who purchased UBOH prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QPSRsaWuxWY/united-bancshares-inc-uboh-ex-dividend-date-scheduled-for-august-30-2018-cm1014608
2018-01-01,2018	MidWestOne Financial Group Inc MOFG will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on September 17 2018 Shareholders who purchased MOFG prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FTUNaZi2qw8/midwestone-financial-group-inc-mofg-ex-dividend-date-scheduled-for-august-30-2018-cm1014604,2018	MidWestOne Financial Group Inc MOFG will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on September 17 2018 Shareholders who purchased MOFG prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FTUNaZi2qw8/midwestone-financial-group-inc-mofg-ex-dividend-date-scheduled-for-august-30-2018-cm1014604
2018-01-01,2018	MidWestOne Financial Group Inc MOFG will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on September 17 2018 Shareholders who purchased MOFG prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ObazuYF_pVA/midwestone-financial-group-inc-mofg-ex-dividend-date-scheduled-for-august-30-2018-cm1014604,2018	MidWestOne Financial Group Inc MOFG will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 195 per share is scheduled to be paid on September 17 2018 Shareholders who purchased MOFG prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ObazuYF_pVA/midwestone-financial-group-inc-mofg-ex-dividend-date-scheduled-for-august-30-2018-cm1014604
2018-01-01,2018	First Hawaiian Inc FHB will begin trading ex dividend on August 24 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on September 07 2018 Shareholders who purchased FHB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ikQuse_aFjM/first-hawaiian-inc-fhb-ex-dividend-date-scheduled-for-august-24-2018-cm1011863,2018	First Hawaiian Inc FHB will begin trading ex dividend on August 24 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on September 07 2018 Shareholders who purchased FHB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ikQuse_aFjM/first-hawaiian-inc-fhb-ex-dividend-date-scheduled-for-august-24-2018-cm1011863
2018-01-01,2018	First Hawaiian Inc FHB will begin trading ex dividend on August 24 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on September 07 2018 Shareholders who purchased FHB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qHXYE6o4LXw/first-hawaiian-inc-fhb-ex-dividend-date-scheduled-for-august-24-2018-cm1011863,2018	First Hawaiian Inc FHB will begin trading ex dividend on August 24 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on September 07 2018 Shareholders who purchased FHB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qHXYE6o4LXw/first-hawaiian-inc-fhb-ex-dividend-date-scheduled-for-august-24-2018-cm1011863
2018-01-01,2018	Bankwell Financial Group Inc BWFG will begin trading ex dividend on August 16 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 27 2018 Shareholders who purchased BWFG prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fotSgOygHZ0/bankwell-financial-group-inc-bwfg-ex-dividend-date-scheduled-for-august-16-2018-cm1007870,2018	Bankwell Financial Group Inc BWFG will begin trading ex dividend on August 16 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 27 2018 Shareholders who purchased BWFG prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fotSgOygHZ0/bankwell-financial-group-inc-bwfg-ex-dividend-date-scheduled-for-august-16-2018-cm1007870
