publishedAt,title,description
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on September 13 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/P4tTYtLZWPY/home-depot-inc-hd-ex-dividend-date-scheduled-for-august-29-2018-cm1013917,2018	Home Depot Inc HD will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on September 13 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/P4tTYtLZWPY/home-depot-inc-hd-ex-dividend-date-scheduled-for-august-29-2018-cm1013917
2018-01-01,2018 /  Both Target Corporation and Lowe's Companies jumped to a brand new high on Wednesday after reporting second quarter earnings reports.  Target Corporation skyrocketed to a brand new record high on Wednesday after the big-box retailer announced second quarter earnings.  Store traffic for the quarter saw a jump of 6.4% - this is the highest rate since the company started reporting this number in 2008.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-120000353.html?.tsrc=rss,2018 /  Both Target Corporation and Lowe's Companies jumped to a brand new high on Wednesday after reporting second quarter earnings reports.  Target Corporation skyrocketed to a brand new record high on Wednesday after the big-box retailer announced second quarter earnings.  Store traffic for the quarter saw a jump of 6.4% - this is the highest rate since the company started reporting this number in 2008.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-120000353.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/lowe-apos-companies-inc-low-173200206.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/lowe-apos-companies-inc-low-173200206.html?.tsrc=rss
2018-01-01,2018 / Home Depot was little changed on Tuesday despite announcing a raised outlook for 2018 sales and solid second quarter performance. Shares of Lowe’s saw a slight ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000141.html?.tsrc=rss,2018 / Home Depot was little changed on Tuesday despite announcing a raised outlook for 2018 sales and solid second quarter performance. Shares of Lowe’s saw a slight ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000141.html?.tsrc=rss
2018-01-01,2018	Lowe s Companies Inc LOW will begin trading ex dividend on July 24 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on August 08 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This represents an 17	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/5jZUYu4PUDU/lowes-companies-inc-low-ex-dividend-date-scheduled-for-july-24-2018-cm994721,2018	Lowe s Companies Inc LOW will begin trading ex dividend on July 24 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on August 08 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This represents an 17	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/5jZUYu4PUDU/lowes-companies-inc-low-ex-dividend-date-scheduled-for-july-24-2018-cm994721
2018-01-01,2018	Lowe s Companies Inc LOW will begin trading ex dividend on July 24 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on August 08 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This represents an 17	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9yXEW8yNve8/lowes-companies-inc-low-ex-dividend-date-scheduled-for-july-24-2018-cm994721,2018	Lowe s Companies Inc LOW will begin trading ex dividend on July 24 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on August 08 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This represents an 17	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9yXEW8yNve8/lowes-companies-inc-low-ex-dividend-date-scheduled-for-july-24-2018-cm994721
2018-01-01,2018	Boise Cascade L L C BCC will begin trading ex dividend on May 31 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on June 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/1oLezFMuEwo/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-may-31-2018-cm970576,2018	Boise Cascade L L C BCC will begin trading ex dividend on May 31 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on June 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/1oLezFMuEwo/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-may-31-2018-cm970576
2018-01-01,2018	Boise Cascade L L C BCC will begin trading ex dividend on May 31 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on June 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0WFBpT2UK8s/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-may-31-2018-cm970576,2018	Boise Cascade L L C BCC will begin trading ex dividend on May 31 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on June 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0WFBpT2UK8s/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-may-31-2018-cm970576
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on May 30 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on June 14 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jkMEAq5Q26s/home-depot-inc-hd-ex-dividend-date-scheduled-for-may-30-2018-cm969776,2018	Home Depot Inc HD will begin trading ex dividend on May 30 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on June 14 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jkMEAq5Q26s/home-depot-inc-hd-ex-dividend-date-scheduled-for-may-30-2018-cm969776
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on September 13 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7CEvkqSAVPA/home-depot-inc-hd-ex-dividend-date-scheduled-for-august-29-2018-cm1013917,2018	Home Depot Inc HD will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on September 13 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7CEvkqSAVPA/home-depot-inc-hd-ex-dividend-date-scheduled-for-august-29-2018-cm1013917
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on May 30 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on June 14 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7hXDkykP7f0/home-depot-inc-hd-ex-dividend-date-scheduled-for-may-30-2018-cm969776,2018	Home Depot Inc HD will begin trading ex dividend on May 30 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on June 14 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7hXDkykP7f0/home-depot-inc-hd-ex-dividend-date-scheduled-for-may-30-2018-cm969776
2018-01-01,2018	Lowe s Companies Inc LOW will begin trading ex dividend on April 24 2018 A cash dividend payment of 0 41 per share is scheduled to be paid on May 09 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-p41HBoi71c/lowes-companies-inc-low-ex-dividend-date-scheduled-for-april-24-2018-cm951419,2018	Lowe s Companies Inc LOW will begin trading ex dividend on April 24 2018 A cash dividend payment of 0 41 per share is scheduled to be paid on May 09 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-p41HBoi71c/lowes-companies-inc-low-ex-dividend-date-scheduled-for-april-24-2018-cm951419
2018-01-01,2018	Lowe s Companies Inc LOW will begin trading ex dividend on April 24 2018 A cash dividend payment of 0 41 per share is scheduled to be paid on May 09 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eZ3EjBvAOmg/lowes-companies-inc-low-ex-dividend-date-scheduled-for-april-24-2018-cm951419,2018	Lowe s Companies Inc LOW will begin trading ex dividend on April 24 2018 A cash dividend payment of 0 41 per share is scheduled to be paid on May 09 2018 Shareholders who purchased LOW prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eZ3EjBvAOmg/lowes-companies-inc-low-ex-dividend-date-scheduled-for-april-24-2018-cm951419
2018-01-01,2018 / Shares of home builder stocks as well as home improvement stores headed higher in Wednesday trading. Shares of Lennar jumped after the company reported first ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000127.html?.tsrc=rss,2018 / Shares of home builder stocks as well as home improvement stores headed higher in Wednesday trading. Shares of Lennar jumped after the company reported first ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000127.html?.tsrc=rss
2018-01-01,2018 / Traders were excited to learn that Lowe's CEO is stepping down to retire. The home improvement chain had been struggling for years and its underperformance ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-123000447.html?.tsrc=rss,2018 / Traders were excited to learn that Lowe's CEO is stepping down to retire. The home improvement chain had been struggling for years and its underperformance ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-123000447.html?.tsrc=rss
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on March 07 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on March 22 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qhBMd7xQxMQ/home-depot-inc-hd-ex-dividend-date-scheduled-for-march-07-2018-cm930506,2018	Home Depot Inc HD will begin trading ex dividend on March 07 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on March 22 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qhBMd7xQxMQ/home-depot-inc-hd-ex-dividend-date-scheduled-for-march-07-2018-cm930506
2018-01-01,2018	Home Depot Inc HD will begin trading ex dividend on March 07 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on March 22 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XAzC2MZp-xg/home-depot-inc-hd-ex-dividend-date-scheduled-for-march-07-2018-cm930506,2018	Home Depot Inc HD will begin trading ex dividend on March 07 2018 A cash dividend payment of 1 03 per share is scheduled to be paid on March 22 2018 Shareholders who purchased HD prior to the ex dividend date are eligible for the cash dividend payment This represents an 15 73	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XAzC2MZp-xg/home-depot-inc-hd-ex-dividend-date-scheduled-for-march-07-2018-cm930506
2018-01-01,2018 / Shares of Home Depot and Lowes both tumbled on Wednesday with Lowes seeing a big loss after posting a miss on earnings in its fourth quarter report. Home Depot ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-132000293.html?.tsrc=rss,2018 / Shares of Home Depot and Lowes both tumbled on Wednesday with Lowes seeing a big loss after posting a miss on earnings in its fourth quarter report. Home Depot ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-132000293.html?.tsrc=rss
2018-01-01,2018	Boise Cascade L L C BCC will begin trading ex dividend on February 28 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on March 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment Boise Cascade L L	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Qfoi5oJE85M/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-february-28-2018-cm927255,2018	Boise Cascade L L C BCC will begin trading ex dividend on February 28 2018 A cash dividend payment of 0 07 per share is scheduled to be paid on March 15 2018 Shareholders who purchased BCC prior to the ex dividend date are eligible for the cash dividend payment Boise Cascade L L	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Qfoi5oJE85M/boise-cascade-llc-bcc-ex-dividend-date-scheduled-for-february-28-2018-cm927255
2018-01-01,2018 / Lowe's shares saw a slight gain on Thursday despite any news.  Wall Street may still be digesting the week's earlier news that the company has expanded a partnership with General Electric to sell GE light bulbs.  Shares of Home Depot also saw gains despite a catalyst.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-121000799.html?.tsrc=rss,2018 / Lowe's shares saw a slight gain on Thursday despite any news.  Wall Street may still be digesting the week's earlier news that the company has expanded a partnership with General Electric to sell GE light bulbs.  Shares of Home Depot also saw gains despite a catalyst.	https://finance.yahoo.com/news/todays-research-reports-stocks-watch-121000799.html?.tsrc=rss
