publishedAt,title,description
2017-01-01,2017.  Its performance was aided by the positive momentum it witnessed in its core metrics globally.  The company saw especially strong momentum in the United States due to the holiday season as well as growth in e-commerce.	https://finance.yahoo.com/m/c77b4ae0-536c-38cc-bc8b-102f045542eb/what-could-benefit-visa.html?.tsrc=rss,2017.  Its performance was aided by the positive momentum it witnessed in its core metrics globally.  The company saw especially strong momentum in the United States due to the holiday season as well as growth in e-commerce.	https://finance.yahoo.com/m/c77b4ae0-536c-38cc-bc8b-102f045542eb/what-could-benefit-visa.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/mastercard-inc-ma-files-10-184832426.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/mastercard-inc-ma-files-10-184832426.html?.tsrc=rss
2018-01-01,2018 / Mastercard reported its earnings that beat estimates this week however the stock still closed in the red.  Shares of Visa were also down a little over 1%.  Mastercard Incorporated shares were down 1.73% at the close on Tuesday with about 9.2 million shares traded.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000351.html?.tsrc=rss,2018 / Mastercard reported its earnings that beat estimates this week however the stock still closed in the red.  Shares of Visa were also down a little over 1%.  Mastercard Incorporated shares were down 1.73% at the close on Tuesday with about 9.2 million shares traded.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000351.html?.tsrc=rss
2018-01-01,2018 / U.S. markets were mixed on Wednesday as stronger-than-expected corporate earnings offset a continuous rise in bond yields. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-123000291.html?.tsrc=rss,2018 / U.S. markets were mixed on Wednesday as stronger-than-expected corporate earnings offset a continuous rise in bond yields. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-123000291.html?.tsrc=rss
2018-01-01,2018. This change comes as Garry Lyons departs the company to launch a new technology initiative closely aligned with Mastercard.	https://finance.yahoo.com/news/digital-focus-aligns-mastercard-organization-133700856.html?.tsrc=rss,2018. This change comes as Garry Lyons departs the company to launch a new technology initiative closely aligned with Mastercard.	https://finance.yahoo.com/news/digital-focus-aligns-mastercard-organization-133700856.html?.tsrc=rss
2018-01-01,2018 / Active-Investors.com has just released a free earnings report on Mastercard Inc. (NYSE: ...	https://finance.yahoo.com/news/free-post-earnings-research-report-121000072.html?.tsrc=rss,2018 / Active-Investors.com has just released a free earnings report on Mastercard Inc. (NYSE: ...	https://finance.yahoo.com/news/free-post-earnings-research-report-121000072.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/mastercard-board-directors-announces-quarterly-212400712.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/mastercard-board-directors-announces-quarterly-212400712.html?.tsrc=rss
2018-01-01,2018 - Mastercard and HERE Technologies today announced an agreement to jointly ...	https://finance.yahoo.com/news/mastercard-power-ride-towards-more-140100001.html?.tsrc=rss,2018 - Mastercard and HERE Technologies today announced an agreement to jointly ...	https://finance.yahoo.com/news/mastercard-power-ride-towards-more-140100001.html?.tsrc=rss
2019-01-01,2019 /PRNewswire/ -- The Global Cyber Alliance (GCA) and Mastercard today released a new Cybersecurity Toolkit specifically designed for small and medium businesses.  Some estimates indicate that 58 percent of cyberattacks are targeted against small businesses1.  Small businesses generate more than half of the value added by most economies.	https://finance.yahoo.com/news/global-cyber-alliance-mastercard-launch-133000285.html?.tsrc=rss,2019 /PRNewswire/ -- The Global Cyber Alliance (GCA) and Mastercard today released a new Cybersecurity Toolkit specifically designed for small and medium businesses.  Some estimates indicate that 58 percent of cyberattacks are targeted against small businesses1.  Small businesses generate more than half of the value added by most economies.	https://finance.yahoo.com/news/global-cyber-alliance-mastercard-launch-133000285.html?.tsrc=rss
2019-01-01,2019 / U.S. equities regained footing on Wednesday as investors cheered the latest round of corporate earnings and the Federal Reserve kept the interest rates unchanged ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-125000323.html?.tsrc=rss,2019 / U.S. equities regained footing on Wednesday as investors cheered the latest round of corporate earnings and the Federal Reserve kept the interest rates unchanged ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-125000323.html?.tsrc=rss
2020-01-01,2020.	https://finance.yahoo.com/news/mastercard-incorporated-host-conference-call-200500392.html?.tsrc=rss,2020.	https://finance.yahoo.com/news/mastercard-incorporated-host-conference-call-200500392.html?.tsrc=rss
2021-01-01,2021.	https://finance.yahoo.com/m/7dd8a725-19d8-3c7c-a1d6-6a0f21892eec/evo-payments%2C-inc-%28evop%29-q3.html?.tsrc=rss,2021.	https://finance.yahoo.com/m/7dd8a725-19d8-3c7c-a1d6-6a0f21892eec/evo-payments%2C-inc-%28evop%29-q3.html?.tsrc=rss
2021-01-01,2021	https://finance.yahoo.com/news/2021-global-inclusive-growth-summit-124816681.html?.tsrc=rss,2021	https://finance.yahoo.com/news/2021-global-inclusive-growth-summit-124816681.html?.tsrc=rss
