publishedAt,title,description
2018-01-01,The push for $15 an hour as a starting wage for low-income workers began in New York City in 2012 and has spread to 300 cities on six continents.,"Happy New Year, Workers! You May Now Get Paid $15 an Hour"
2018-01-02,Chanticleer Holdings BURG a company that operates some Hooters locations along with a few burger restaurants said on Tuesday that it is doing something involving the word blockchain Naturally shares shot up ibd display video id 3058793 width 50 float,The Latest Blockchain Convert? A Company That Runs Hooters Restaurants
2018-01-02,InvestorPlace Stock Market News Stock Advice amp Trading Tips Yum Brands Inc NYSE YUM has been one of the better performers in the restaurant sector for years now The YUM stock price gained 30 in 2017 and 57 over the past three years excluding,"The Key Question for Yum! Brands, Inc. – and Its Industry"
2018-01-02,Tuesday January 2 2018 The Zacks Research Daily presents the best research output of our analyst team Today s Research Daily features new research reports on 16 major stocks including JPMorgan JPM Texas Instruments TXN and McDonald s MCD These research reports have been hand,"Top Research Reports for JPMorgan, Texas Instruments & McDonald's"
2018-01-02,"NEW YORK (AP) — McDonald's is testing the use of fresh beef in another burger, the latest move by the fast food chain to swap out frozen beef as it seeks to improve its image.",McDonald's tests fresh beef in another burger
2018-01-02,"McDonald's is testing the use of fresh beef in another burger, the latest move by the fast food chain to swap out frozen beef as it seeks to improve its image. The company said Tuesday that the new burger, ...",McDonald's tests fresh beef in another burger
2018-01-02,"CNBC brings you fast, accurate, and actionable business news and market updates.","The Afternoon Rundown: January 02, 2017"
2018-01-02,Nomura-Instinet analyst Mark Kalinowski has called McDonald's his top restaurant pick for 2018. Here's why.,"McDonald's to kick off Dollar Menu this week, priming it ..."
2018-01-02,The &quot;Halftime Report&quot; traders debate the call of the day -- Nomura raising its target on Mcdonald's to $190.,Nomura: McDonald's top US Restaurant pick for 2018
2018-01-02,"Bob Derrington, Telsey Advisory Group, provides insight to McDonald's turnaround strategy under chief executive Steve Easterbrook and where he sees other investment opportunities in the fast casual space.",What's working: Best bets in fast food stocks
2018-01-02,Nomura-Instinet analyst Mark Kalinowski has called McDonald's his top restaurant pick for 2018. Here's why.,"McDonald's to kick off Dollar Menu this week, priming it for massive growth in 2018"
2018-01-02,"Fresh burgers, strong national promotions and growing market share has Nomura hungry for more Mickey D's stock.",Here's Why McDonald's Is a Great Investment for 2018
2018-01-02,Royal Caribbean Cruises Ltd Symbol RCL has been named a Top Socially Responsible Dividend Stock by Dividend Channel signifying a stock with above average DividendRank statistics including a strong 2 0 yield as well as being recognized by prominent asset managers as being a,Royal Caribbean Cruises a Top Socially Responsible Dividend Stock With 2.0% Yield (RCL)
2018-01-02,"Among the companies with shares expected to trade actively in Tuesday's session are Apple Inc., Netflix Inc., Walt Disney Co., Johnson & Johnson and McDonald's Corp.","Stocks to Watch: Apple, Netflix, Disney, J&J, McDonald's, Weight Watchers"
2018-01-02,"Top Research Reports for JPMorgan, Texas Instruments & McDonald&apos;s","Top Research Reports for JPMorgan, Texas Instruments & McDonald&apos;s"
2018-01-02,"Yum! Brands, Inc. (NYSE:YUM) has been one of the better performers in the restaurant sector for years now.  The YUM stock price gained 30% in 2017 and 57% over the past three years, excluding the additional value created from upside in spin-off Yum China Holdings Inc (NYSE:YUMC).  Many of its QSR (quick-service restaurant) peers have posted solid performances as well.","The Key Question for Yum! Brands, Inc. – and Its Industry"
2018-01-02,"McDonald's Corp. is Instinet analysts' top U.S. restaurant pick for 2018 based on the rollout of fresh beef; the new Dollar Menu with $1, $2 and $3 price points that will go national this month; problems ...","McDonald's is top restaurant pick at Instinet on fresh beef, Dollar Menu, Subway troubles"
2018-01-02,"Jack in the Box Inc. was downgraded to neutral from buy at BTIG based on the competition the restaurant chain faces from McDonald's Corp. . ""While Jack in the Box has announced its own redesigned ...",Jack in the Box downgraded on competition with McDonald's
2018-01-02,Stocks leapt up to a strong start Tuesday s open as international markets provided a starkly mixed backdrop for the first session in 2018 ibd display video id 3058477 width 50 float left autostart true Walt Disney DIS and McDonald s MCD were the clear,"Stocks Rally Into 2018: Disney, Netflix Lead As China, Chip Stocks Rise"
2018-01-03,"The Big Mac maker could see 5% comp sales growth in 2018, analysts say.",McDonald's Could Also Dominate in 2018
2018-01-03,InvestorPlace Stock Market News Stock Advice amp Trading Tips There s a new menu item called the 160 McDonald s Archburger that is in testing Source Mike Mozart via Flickr McDonald s Corporation NYSE MCD is currently testing out the new menu item at select,McDonald’s Archburger: 12 Things to Know About the New Menu Item
2018-01-03,"Dublin-based Wendy’s Co. (WEN) is expanding its popular 4 for $4 deals starting Wednesday.  Burger rival McDonald’s Corp. (MCD) is launching its reconstituted Dollar Menu on Thursday.  The 4 for $4 deal, first introduced in late 2015 , to date has offered a rotating choice from two or three burgers or chicken sandwiches to pair with a drink, fries and four-piece chicken nugget.","McDonald's, Wendy's ready to fight for value-seeking customers"
2018-01-03,"On January 2, 2018, the higher 12-month target price from Nomura and BTIG for McDonald's (MCD) appears to have increased investors’ confidence.",McDonald’s Stock Rose after the Target Price Increased
2018-01-03,"And for the first time ever, it includes the Happy Meal.",McDonald’s New $1 $2 $3 Dollar Menu Kicks Off This Week
2018-01-03,McDonald’s Corporation (NYSE:MCD) is currently testing out the new menu item at select locations.  Here are a few things to know about the McDonald’s Archburger.  The McDonald’s Archburger is made with fresh beef that hasn’t been frozen.,McDonald’s Archburger: 12 Things to Know About the New Menu Item
2018-01-03,"With a number of initiatives on the way, including a new Dollar Menu, McDonald’s potential for growth in 2018 is high, which poses a competitive threat",McDonald’s super-sized growth potential spells trouble for competing fast-food chains
2018-01-03,"With McDonald's (MCD) set to launch its new Dollar Menu on January 4, 2018, Mark Kalinowski of Nomura-Instinet raised the target price.",Why Nomura and BTIG Raised Their Target Price for McDonald’s
2018-01-03,&quot;and mine has gravy!&quot;,“I Too Have a Burger on My Desk”: KFC Warns McDonald’s in Nuclear Button Parody Tweet
2018-01-03,"SunTrust Robinson Humphrey revised McDonald's Corp.'s price target down to $187, reversing an earlier note that moved the price target to $205 from $178. ""e overestimated the impact of tax reform ...",McDonald's price target revised down at SunTrust
2018-01-03,El Pollo Loco LOCO started the year with the introduction of four Under 500 Calories menu items This is in line with the company s aim to introduce a differentiated menu to counter intense competition in the fast food space Under 500 Calories items will feature nutrient packed,El Pollo Loco Continues With Menu Innovation to Drive Growth
2018-01-03,McDonald's Infamous ArchDeluxe Gets Minor Re-brand,McDonald's Infamous ArchDeluxe Gets Minor Re-brand
2018-01-03,"Big-brand stocks are well-established and financially stable enough to cash in on the current uptrend. In the wake of adverse events, these stocks provide the required cushion.",5 Hot Big-Brand American Stocks to Buy in 2018
2018-01-03,"CNBC brings you fast, accurate, and actionable business news and market updates.","The Pre-Markets Rundown: January 03, 2018"
2018-01-03,Top Consumer Shares Top Consumer Shares WMT 0 4WMT 0 4 MCD 0 4 MCD 0 4 DIS 0 4 DIS 0 4 CVS flatCVS flat KO 0 1 KO 0 1 PG 0 2 PG 0 2 Consumer shares were slightly higher ahead of the opening bell on Wednesday Consumer shares were slightly higher ahead of the opening,"Consumer Sector Update for 01/03/2018: WMT, MCD, DIS, CVS, KO, PG, RYAAY, CWH, GTIM, NXT.L"
2018-01-03,Starbucks Corporation SBUX has been struggling with tepid comparable store sales or comps growth in the United States for quite some time now This is primarily due to persistent decline in the country s restaurant sales Soft consumer spending environment in the U S restaurant space along,"Starbucks Banking on Digital Initiatives & China, Comps Weak"
2018-01-03,After a banner year for equities in 2017 with major bourses notching all time highs investors now mull over what 2018 might unfold Many market pundits believe that this will be another solid year for U S stocks 160 Benchmarks have already kicked off the New Year on a high note with,5 Hot Big-Brand American Stocks to Buy in 2018
2018-01-03,Jack in the Box Inc JACK has been grappling with declining sales for quite some time 160 160 Despite economic growth consumers increased their spending only modestly on dining out which resulted in low consumption and decreased demand in the U S restaurant space The company s,Here's Why Jack in the Box is Disappointing Investors Now
2018-01-04,"Bernstein's Sarah Senatore and her team take a look at restaurants Wednesday, writing that higher inflation and incomes, along with lower taxes, could make 2018 a good year for the group.  Senatore writes that restaurants will benefit from ""benign but positive"" food inflation, as this factor determines how attractive food at home looks vs. eating out (as well as the intensity of price competition in the industry).  In addition, signs indicate that wages are rising in the broader market after a long period of stubbornly low wages, which is also good news, as income is key in determining restaurant demand (although of course restaurants are also under pressure on this front, on the push to raise minimum wages for their workers).",Tasty! Why 2018 Could Be a Great Year for Restaurants From McDonald's to Chipotle
2018-01-04,"Here is a quick look at stories about the leading brands in the fast-casual restaurant industry recently reported by The Business Journals.  McDonald’s will test fresh beef in its new burger as it tries to keep pace with competing fast food chain Wendy’s. The Oak Brook, Illinois-based fast food giant will put fresh meat in its new Archburger at seven Oklahoma and Texas restaurants according to Business Insider, confirming a note from Nomura analyst Mark Kalinowski.  Dublin-based Wendy’s Co. (WEN) is expanding its popular 4 for $4 deals starting Wednesday.",Fast-Food Roundup: McDonald’s adds more fresh beef… Wendy’s expands value deals… In-N-Out adds to menu
2018-01-04,"Bob Derrington, Telsey Advisory Group, discusses the factors affecting the fast food space right now as brands compete to bring consumers discounts.",Fast food value wars are here to stay: Telsey Advisory Gr...
2018-01-04,"Yahoo Finance's Yahoo Finance's Seana Smith, Rick Newman, and Dan Roberts discuss why McDonald's revived the 'Dollar Menu' with a catch.",Why McDonald's revived the 'Dollar Menu' with a catch
2018-01-04,It pays to own up to your mistakes In early 2017 McDonald s NYSE MCD executives admitted they had fallen short of diners expectations around quality convenience and value Following three straight years of declining customer traffic the fast food chain was finally fixing,This Is the Real Reason to Love McDonald's Stock
2018-01-04,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Consumer Discretionary Select Sector SPDR Fund Symbol XLY where we have detected an approximate 196 3 million dollar inflow that s a 1 5 increase week,Consumer Discretionary Select Sector SPDR Fund Experiences Big Inflow
2018-01-04,Looking beyond the sales-growth rebound.,This Is the Real Reason to Love McDonald&apos;s Stock
2018-01-04,Yahoo Finance&apos;s LIVE market coverage and analysis of stocks and bonds begins each day at 11:45 a.m. ET.,"Dow cruises past 25K, Sessions delivers major blow to weed industry"
2018-01-04,Wingstop Restaurants Inc WING recently announced that its international restaurant count exceeded 100 in December The 100 th location was opened in Reynosa Mexico The restaurant opening marked the country s 60 th location Notably Mexico is the company s first and the longest,"Wingstop Opens 100th Restaurant in Mexico, Expands Globally"
2018-01-04,For Immediate Release Chicago IL Jan 04 2018 Zacks com announces the list of stocks featured in the Analyst Blog Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets Stocks recently featured in the blog include,"The Zacks Analyst Blog Highlights: Caterpillar, Facebook, Morgan Stanley, Wal-Mart Stores and McDonald's"
2018-01-04,"AT&T, McDonald’s, Instagram and Nintendo are the companies to watch.","AT&T looks to upgrade, McDonald’s adds old menu, Instagram tinkers with WhatsApp and Nintendo gets a powerup"
