publishedAt,title,description
2014-01-01,2014.  Since then the company's stock has risen almost 182 percent.  Nadella's compensation is lower than the CEOs of some companies with lesser stock growth.	https://finance.yahoo.com/m/031a57b7-53df-3375-9cd4-5b4e074ceeb4/satya-nadella-made-microsoft.html?.tsrc=rss,2014.  Since then the company's stock has risen almost 182 percent.  Nadella's compensation is lower than the CEOs of some companies with lesser stock growth.	https://finance.yahoo.com/m/031a57b7-53df-3375-9cd4-5b4e074ceeb4/satya-nadella-made-microsoft.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/microsoft-corporation-msft-q2-2018-010400117.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/microsoft-corporation-msft-q2-2018-010400117.html?.tsrc=rss
2018-01-01,2018	Microsoft MSFT operates a technology company which makes software and hardware operates social media sites like LinkedIn and also has one of the largest cloud computing businesses It has great cash flow and rewards shareholders with both a dividend currently yielding 1 8 and	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cbs9XB8GTmc/top-stock-picks-for-the-week-of-jan-2-2018-cm1076750,2018	Microsoft MSFT operates a technology company which makes software and hardware operates social media sites like LinkedIn and also has one of the largest cloud computing businesses It has great cash flow and rewards shareholders with both a dividend currently yielding 1 8 and	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/cbs9XB8GTmc/top-stock-picks-for-the-week-of-jan-2-2018-cm1076750
2018-01-01,2018	Magic Software Enterprises Ltd MGIC will begin trading ex dividend on August 21 2018 A cash dividend payment of 0 155 per share is scheduled to be paid on September 05 2018 Shareholders who purchased MGIC prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7a3tPMP5734/magic-software-enterprises-ltd-mgic-ex-dividend-date-scheduled-for-august-21-2018-cm1009930,2018	Magic Software Enterprises Ltd MGIC will begin trading ex dividend on August 21 2018 A cash dividend payment of 0 155 per share is scheduled to be paid on September 05 2018 Shareholders who purchased MGIC prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7a3tPMP5734/magic-software-enterprises-ltd-mgic-ex-dividend-date-scheduled-for-august-21-2018-cm1009930
2018-01-01,2018	CA Inc CA will begin trading ex dividend on August 22 2018 A cash dividend payment of 0 255 per share is scheduled to be paid on September 11 2018 Shareholders who purchased CA prior to the ex dividend date are eligible for the cash dividend payment This marks the 10th quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9e0KiKVreKQ/ca-inc-ca-ex-dividend-date-scheduled-for-august-22-2018-cm1010538,2018	CA Inc CA will begin trading ex dividend on August 22 2018 A cash dividend payment of 0 255 per share is scheduled to be paid on September 11 2018 Shareholders who purchased CA prior to the ex dividend date are eligible for the cash dividend payment This marks the 10th quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9e0KiKVreKQ/ca-inc-ca-ex-dividend-date-scheduled-for-august-22-2018-cm1010538
2018-01-01,2018	CA Inc CA will begin trading ex dividend on August 22 2018 A cash dividend payment of 0 255 per share is scheduled to be paid on September 11 2018 Shareholders who purchased CA prior to the ex dividend date are eligible for the cash dividend payment This marks the 10th quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OhOB9h5DHsQ/ca-inc-ca-ex-dividend-date-scheduled-for-august-22-2018-cm1010538,2018	CA Inc CA will begin trading ex dividend on August 22 2018 A cash dividend payment of 0 255 per share is scheduled to be paid on September 11 2018 Shareholders who purchased CA prior to the ex dividend date are eligible for the cash dividend payment This marks the 10th quarter that	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OhOB9h5DHsQ/ca-inc-ca-ex-dividend-date-scheduled-for-august-22-2018-cm1010538
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-midday-movers-132500368.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-midday-movers-132500368.html?.tsrc=rss
2018-01-01,2018	Progress Software Corporation PRGS will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 17 2018 Shareholders who purchased PRGS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lypYFwYFtqY/progress-software-corporation-prgs-ex-dividend-date-scheduled-for-august-30-2018-cm1014681,2018	Progress Software Corporation PRGS will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 17 2018 Shareholders who purchased PRGS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lypYFwYFtqY/progress-software-corporation-prgs-ex-dividend-date-scheduled-for-august-30-2018-cm1014681
2018-01-01,2018	Progress Software Corporation PRGS will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 17 2018 Shareholders who purchased PRGS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/slI45NRRpMU/progress-software-corporation-prgs-ex-dividend-date-scheduled-for-august-30-2018-cm1014681,2018	Progress Software Corporation PRGS will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 17 2018 Shareholders who purchased PRGS prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/slI45NRRpMU/progress-software-corporation-prgs-ex-dividend-date-scheduled-for-august-30-2018-cm1014681
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-105500924.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-105500924.html?.tsrc=rss
