publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/consolidated-edison-ed-q1-earnings-125412856.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/consolidated-edison-ed-q1-earnings-125412856.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/nextera-energy-inc-nee-files-214826677.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/nextera-energy-inc-nee-files-214826677.html?.tsrc=rss
2018-01-01,2018	NextEra Energy Inc NEE will begin trading ex dividend on November 29 2018 A cash dividend payment of 1 11 per share is scheduled to be paid on December 17 2018 Shareholders who purchased NEE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-wUNblStYIM/nextera-energy-inc-nee-ex-dividend-date-scheduled-for-november-29-2018-cm1061505,2018	NextEra Energy Inc NEE will begin trading ex dividend on November 29 2018 A cash dividend payment of 1 11 per share is scheduled to be paid on December 17 2018 Shareholders who purchased NEE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-wUNblStYIM/nextera-energy-inc-nee-ex-dividend-date-scheduled-for-november-29-2018-cm1061505
2018-01-01,2018	NextEra Energy Inc NEE will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 11 per share is scheduled to be paid on September 17 2018 Shareholders who purchased NEE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NbPOW-scnpc/nextera-energy-inc-nee-ex-dividend-date-scheduled-for-august-29-2018-cm1013916,2018	NextEra Energy Inc NEE will begin trading ex dividend on August 29 2018 A cash dividend payment of 1 11 per share is scheduled to be paid on September 17 2018 Shareholders who purchased NEE prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NbPOW-scnpc/nextera-energy-inc-nee-ex-dividend-date-scheduled-for-august-29-2018-cm1013916
2018-01-01,2018	Ormat Technologies Inc ORA will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 1 per share is scheduled to be paid on August 29 2018 Shareholders who purchased ORA prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_i4_VQu6YA0/ormat-technologies-inc-ora-ex-dividend-date-scheduled-for-august-20-2018-cm1009174,2018	Ormat Technologies Inc ORA will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 1 per share is scheduled to be paid on August 29 2018 Shareholders who purchased ORA prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_i4_VQu6YA0/ormat-technologies-inc-ora-ex-dividend-date-scheduled-for-august-20-2018-cm1009174
2018-01-01,2018	Ormat Technologies Inc ORA will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 1 per share is scheduled to be paid on August 29 2018 Shareholders who purchased ORA prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8C8CdIsCYvw/ormat-technologies-inc-ora-ex-dividend-date-scheduled-for-august-20-2018-cm1009174,2018	Ormat Technologies Inc ORA will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 1 per share is scheduled to be paid on August 29 2018 Shareholders who purchased ORA prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8C8CdIsCYvw/ormat-technologies-inc-ora-ex-dividend-date-scheduled-for-august-20-2018-cm1009174
2018-01-01,2018	Hawaiian Electric Industries Inc HE will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on September 10 2018 Shareholders who purchased HE prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TlBE0lNow_o/hawaiian-electric-industries-inc-he-ex-dividend-date-scheduled-for-august-20-2018-cm1009171,2018	Hawaiian Electric Industries Inc HE will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on September 10 2018 Shareholders who purchased HE prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TlBE0lNow_o/hawaiian-electric-industries-inc-he-ex-dividend-date-scheduled-for-august-20-2018-cm1009171
2018-01-01,2018	Hawaiian Electric Industries Inc HE will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on September 10 2018 Shareholders who purchased HE prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jT4gApx1HYU/hawaiian-electric-industries-inc-he-ex-dividend-date-scheduled-for-august-20-2018-cm1009171,2018	Hawaiian Electric Industries Inc HE will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on September 10 2018 Shareholders who purchased HE prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jT4gApx1HYU/hawaiian-electric-industries-inc-he-ex-dividend-date-scheduled-for-august-20-2018-cm1009171
2018-01-01,2018	CenterPoint Energy Inc CNP will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 278 per share is scheduled to be paid on September 13 2018 Shareholders who purchased CNP prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TBgo5yQFopY/centerpoint-energy-inc-cnp-ex-dividend-date-scheduled-for-august-15-2018-cm1007249,2018	CenterPoint Energy Inc CNP will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 278 per share is scheduled to be paid on September 13 2018 Shareholders who purchased CNP prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TBgo5yQFopY/centerpoint-energy-inc-cnp-ex-dividend-date-scheduled-for-august-15-2018-cm1007249
2018-01-01,2018	CenterPoint Energy Inc CNP will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 278 per share is scheduled to be paid on September 13 2018 Shareholders who purchased CNP prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KZ2SgSPpjEw/centerpoint-energy-inc-cnp-ex-dividend-date-scheduled-for-august-15-2018-cm1007249,2018	CenterPoint Energy Inc CNP will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 278 per share is scheduled to be paid on September 13 2018 Shareholders who purchased CNP prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KZ2SgSPpjEw/centerpoint-energy-inc-cnp-ex-dividend-date-scheduled-for-august-15-2018-cm1007249
2018-01-01,2018	American Electric Power Company Inc AEP will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 62 per share is scheduled to be paid on September 10 2018 Shareholders who purchased AEP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_0_56x8gid0/american-electric-power-company-inc-aep-ex-dividend-date-scheduled-for-august-09-2018-cm1003996,2018	American Electric Power Company Inc AEP will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 62 per share is scheduled to be paid on September 10 2018 Shareholders who purchased AEP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_0_56x8gid0/american-electric-power-company-inc-aep-ex-dividend-date-scheduled-for-august-09-2018-cm1003996
2018-01-01,2018	American Electric Power Company Inc AEP will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 62 per share is scheduled to be paid on September 10 2018 Shareholders who purchased AEP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zIleu7a1rzs/american-electric-power-company-inc-aep-ex-dividend-date-scheduled-for-august-09-2018-cm1003996,2018	American Electric Power Company Inc AEP will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 62 per share is scheduled to be paid on September 10 2018 Shareholders who purchased AEP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zIleu7a1rzs/american-electric-power-company-inc-aep-ex-dividend-date-scheduled-for-august-09-2018-cm1003996
