publishedAt,title,description
2017-01-01,2017. Gold’s investment appeal faded in 2017 with equities making higher highs.	http://finance.yahoo.com/r/3485d157-a66f-38c7-b15c-86393d83c35c/will-2018-mark-turnaround-goldcorps-fortunes?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2017. Gold’s investment appeal faded in 2017 with equities making higher highs.	http://finance.yahoo.com/r/3485d157-a66f-38c7-b15c-86393d83c35c/will-2018-mark-turnaround-goldcorps-fortunes?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2017-01-01,2017.	http://finance.yahoo.com/r/258a511a-4550-363a-ba11-9970c49d3bc1/end-2017-correlation-study-major-miners?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2017.	http://finance.yahoo.com/r/258a511a-4550-363a-ba11-9970c49d3bc1/end-2017-correlation-study-major-miners?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on March 07 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on March 22 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xxa8YF6Y_i8/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-07-2018-cm930511,2018	Newmont Mining Corporation NEM will begin trading ex dividend on March 07 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on March 22 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xxa8YF6Y_i8/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-07-2018-cm930511
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on March 07 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on March 22 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/C80plpf9X9Q/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-07-2018-cm930511,2018	Newmont Mining Corporation NEM will begin trading ex dividend on March 07 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on March 22 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/C80plpf9X9Q/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-07-2018-cm930511
2018-01-01,2018. The following matters were voted upon at the meeting: the election of Directors; the advisory vote on the compensation of the Named Executive Officers; and the ratification of the appointment of the Company’s independent registered public accounting firm for 2018.	https://finance.yahoo.com/news/newmont-releases-voting-results-annual-175500846.html?.tsrc=rss,2018. The following matters were voted upon at the meeting: the election of Directors; the advisory vote on the compensation of the Named Executive Officers; and the ratification of the appointment of the Company’s independent registered public accounting firm for 2018.	https://finance.yahoo.com/news/newmont-releases-voting-results-annual-175500846.html?.tsrc=rss
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on June 06 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on June 21 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Q6UmIkMPRVY/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-june-06-2018-cm973368,2018	Newmont Mining Corporation NEM will begin trading ex dividend on June 06 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on June 21 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Q6UmIkMPRVY/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-june-06-2018-cm973368
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on June 06 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on June 21 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RrJR1jqLuWE/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-june-06-2018-cm973368,2018	Newmont Mining Corporation NEM will begin trading ex dividend on June 06 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on June 21 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RrJR1jqLuWE/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-june-06-2018-cm973368
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on September 12 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 27 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wMKhYLqJbwo/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-september-12-2018-cm1020706,2018	Newmont Mining Corporation NEM will begin trading ex dividend on September 12 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 27 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wMKhYLqJbwo/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-september-12-2018-cm1020706
2018-01-01,2018	Newmont Mining Corporation NEM will begin trading ex dividend on September 12 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 27 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/W41MWRQU26E/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-september-12-2018-cm1020706,2018	Newmont Mining Corporation NEM will begin trading ex dividend on September 12 2018 A cash dividend payment of 0 14 per share is scheduled to be paid on September 27 2018 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/W41MWRQU26E/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-september-12-2018-cm1020706
2018-01-01,2018.	https://finance.yahoo.com/news/newmont-mining-corp-nem-q3-031438781.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/newmont-mining-corp-nem-q3-031438781.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/newmont-mining-corp-nem-q4-222910328.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/newmont-mining-corp-nem-q4-222910328.html?.tsrc=rss
2019-01-01,2019	Citigroup Inc s C shares surged 4 after the company reported fourth quarter 2018 earnings per share of 1 61 surpassing the Zacks Consensus Estimate of 1 55 a share Lululemon Athletica Inc s LULU shares rallied 5 7 after the company raised its fourth earnings guidance	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p9mHYPmUcEk/company-news-for-jan-15-2019-cm1082109,2019	Citigroup Inc s C shares surged 4 after the company reported fourth quarter 2018 earnings per share of 1 61 surpassing the Zacks Consensus Estimate of 1 55 a share Lululemon Athletica Inc s LULU shares rallied 5 7 after the company raised its fourth earnings guidance	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p9mHYPmUcEk/company-news-for-jan-15-2019-cm1082109
2019-01-01,2019	Citigroup Inc s C shares surged 4 after the company reported fourth quarter 2018 earnings per share of 1 61 surpassing the Zacks Consensus Estimate of 1 55 a share Lululemon Athletica Inc s LULU shares rallied 5 7 after the company raised its fourth earnings guidance	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Qo66N_btLA0/company-news-for-jan-15-2019-cm1082109,2019	Citigroup Inc s C shares surged 4 after the company reported fourth quarter 2018 earnings per share of 1 61 surpassing the Zacks Consensus Estimate of 1 55 a share Lululemon Athletica Inc s LULU shares rallied 5 7 after the company raised its fourth earnings guidance	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Qo66N_btLA0/company-news-for-jan-15-2019-cm1082109
2019-01-01,2019	Newmont Mining Corporation NEM will begin trading ex dividend on March 06 2019 A cash dividend payment of 0 14 per share is scheduled to be paid on March 21 2019 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XTnz293flzM/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-06-2019-cm1109394,2019	Newmont Mining Corporation NEM will begin trading ex dividend on March 06 2019 A cash dividend payment of 0 14 per share is scheduled to be paid on March 21 2019 Shareholders who purchased NEM prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XTnz293flzM/newmont-mining-corporation-nem-ex-dividend-date-scheduled-for-march-06-2019-cm1109394
