publishedAt,title,description
2018-01-06,The hype around blockchains is only one reason these utility stocks are flying under investors&apos; radars -- but perhaps this is the time they should get back on.,3 Utility Stocks You May Be Overlooking
2018-01-06,When talk turned to investing at your most recent gathering holiday or otherwise odds are that conversation touched on the mysteries of bitcoin Ethereum or other cryptocurrencies It s highly unlikely however that talk revolved around one of the less popular corners of the,3 Utility Stocks You May Be Overlooking
2018-01-14,"National Grid PLC, Korea Electric Power Corp, Campbell Soup Co. and Acadia Realty Trust have declined to their respective three-year lows",Stocks That Fell to 3-Year Lows in the Week of Jan. 12
2018-01-22,"National Grid Plc said on Monday  it filed a proposal to update rates for one of its U.S. electric  and gas distribution utilities in a bid to boost its performance  in the country.  The three-year rate proposal for the Niagara Mohawk Power  Corporation electric and gas distribution utility would increase  revenue, before the impact of deferred credits, by $206 million  in 2018-2019, compared to the company's initial request of $317  million, National Grid said.  For 2019-2020 and 2020-2021 incremental year-on-year revenue  increases would be $36 million and $60 million, respectively.","National Grid files rate proposal for U.S. electric, gas distribution utility"
2018-01-23,"Ofgem, which valued the project at 800 million pounds, said National Grid should build the infrastructure but the regulator would set revenue for construction and operations, based on assumption that work was put out to competitive tender.  Ofgem said its proposals were based on past experience of securing savings for consumers, who pay for such infrastructure in their bills, when it put ownership of transmission lines for offshore wind farms to tender.",UK's National Grid disappointed with Hinkley Point grid upgrade terms
2018-01-25,"Boston, Jan. 25, 2018--“ We are disappointed that our projects were not selected in the Massachusetts Clean Energy RFP but we firmly believe the Granite State Power Link and the Northeast Renewable Link ...",Statement by National Grid Ventures and Citizens Energy Regarding Massachusetts Clean Energy Request for Proposals Decision
2018-02-02,National Grid Sees Non-cash Tax Credit Of $2 Bln On Revaluation Of Deferred Tax,National Grid Sees Non-cash Tax Credit Of $2 Bln On Revaluation Of Deferred Tax
2018-02-05,In trading on Monday shares of National Grid plc Symbol NGG entered into oversold territory changing hands as low as 54 per share We define oversold territory using the Relative Strength Index or RSI which is a technical analysis indicator used to measure momentum on a scale of zero,National Grid (NGG) Shares Enter Oversold Territory
2018-02-06,"WALTHAM, Mass., Feb. 06, 2018-- National Grid today announced that Gloucester, Rockport, Saugus and Wellesley will participate in its 2018 Community Initiative, and will benefit from funding and support ...",National Grid Announces 2018 Energy Efficiency Community Initiative Participants
2018-02-07,"With Southern Company (SO) unable to pass the $6.4 billion losses to the ratepayers, the commercial viability of the project remains uncertain in the face of weak natural gas prices.",Is MPSC Verdict a Respite for Southern Company&apos;s Kemper?
