publishedAt,title,description
2017-01-01,2017.	http://finance.yahoo.com/r/e1e9c58f-ec7d-35de-8578-1b01caa80ea6/ulta-beauty-inc-nvidia-corporation-perform-january-3?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2017.	http://finance.yahoo.com/r/e1e9c58f-ec7d-35de-8578-1b01caa80ea6/ulta-beauty-inc-nvidia-corporation-perform-january-3?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2017-01-01,2017 / NVIDIA shares soared to a new high on Tuesday after announcing that China's Chery Automobile Co. will be using the company's self-driving technology. The ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000354.html?.tsrc=rss,2017 / NVIDIA shares soared to a new high on Tuesday after announcing that China's Chery Automobile Co. will be using the company's self-driving technology. The ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000354.html?.tsrc=rss
2018-01-01,2018 / U.S. markets closed higher Tuesday as the kickoff of the latest corporate earnings season outweighed ongoing trade war concerns. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-121000187.html?.tsrc=rss,2018 / U.S. markets closed higher Tuesday as the kickoff of the latest corporate earnings season outweighed ongoing trade war concerns. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-121000187.html?.tsrc=rss
2018-01-01,2018 / U.S. markets fell Tuesday on geopolitical concerns after President Trump stated he was not happy with the current U.S. – China trade talks. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000712.html?.tsrc=rss,2018 / U.S. markets fell Tuesday on geopolitical concerns after President Trump stated he was not happy with the current U.S. – China trade talks. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000712.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/pure-storage-inc-pstg-q1-005600496.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/pure-storage-inc-pstg-q1-005600496.html?.tsrc=rss
2018-01-01,2018 /  Shares of NVIDIA and Intel both saw a dip in share price on Tuesday.  NVIDIA didn't have any specific news so traders may still be digesting the fact that the company expects a decline in cryptocurrency mining related demand for its graphic processing units.  Intel announced that it has submitted plans to expand its production operations in Israel.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000962.html?.tsrc=rss,2018 /  Shares of NVIDIA and Intel both saw a dip in share price on Tuesday.  NVIDIA didn't have any specific news so traders may still be digesting the fact that the company expects a decline in cryptocurrency mining related demand for its graphic processing units.  Intel announced that it has submitted plans to expand its production operations in Israel.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000962.html?.tsrc=rss
2018-01-01,2018 / U.S. markets were mixed Tuesday as a strong performance by the tech sector was not enough to lift all three indexes higher. Dow Jones dropped for the 3rd consecutive ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000085.html?.tsrc=rss,2018 / U.S. markets were mixed Tuesday as a strong performance by the tech sector was not enough to lift all three indexes higher. Dow Jones dropped for the 3rd consecutive ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000085.html?.tsrc=rss
2018-01-01,2018 / U.S. markets were mixed on Wednesday as stronger-than-expected corporate earnings offset a continuous rise in bond yields. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000793.html?.tsrc=rss,2018 / U.S. markets were mixed on Wednesday as stronger-than-expected corporate earnings offset a continuous rise in bond yields. The Dow Jones Industrial Average ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-122000793.html?.tsrc=rss
2018-01-01,2018 / U.S. markets jumped Thursday as investor's attention shifted from current geopolitical tensions to the upcoming earnings season. Bank stocks were the top gainers ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-123000767.html?.tsrc=rss,2018 / U.S. markets jumped Thursday as investor's attention shifted from current geopolitical tensions to the upcoming earnings season. Bank stocks were the top gainers ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-123000767.html?.tsrc=rss
2018-01-01,2018 / NVIDIA shares closed up almost 2% yesterday on moderate trading volume. The company recently announced that it is partnering with U.K.-based Arm Holdings to ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-122000166.html?.tsrc=rss,2018 / NVIDIA shares closed up almost 2% yesterday on moderate trading volume. The company recently announced that it is partnering with U.K.-based Arm Holdings to ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-122000166.html?.tsrc=rss
2018-01-01,2018 / NVIDIA closed up higher on Thursday after the company's CEO Jensen Huang made remarks to Jim Cramer yesterday about the company's technology and the fatal accident ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000747.html?.tsrc=rss,2018 / NVIDIA closed up higher on Thursday after the company's CEO Jensen Huang made remarks to Jim Cramer yesterday about the company's technology and the fatal accident ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000747.html?.tsrc=rss
2018-01-01,2018 / Shares of both Micron and NVIDIA took a tumble on Friday as the markets fell sharply on trade war fears. Micron dropped despite showing solid results in its ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000784.html?.tsrc=rss,2018 / Shares of both Micron and NVIDIA took a tumble on Friday as the markets fell sharply on trade war fears. Micron dropped despite showing solid results in its ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000784.html?.tsrc=rss
2018-01-01,2018 / U.S. equities continued to drop on Monday as losses in the energy and tech sectors added to the ongoing trade concerns between the U.S. and China. The Dow ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000017.html?.tsrc=rss,2018 / U.S. equities continued to drop on Monday as losses in the energy and tech sectors added to the ongoing trade concerns between the U.S. and China. The Dow ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000017.html?.tsrc=rss
2018-01-01,2018 / Active-Investors.com has just released a free earnings report on NVIDIA Corp. (NASDAQ: NVDA ). If you want access ...	https://finance.yahoo.com/news/free-post-earnings-research-report-120000397.html?.tsrc=rss,2018 / Active-Investors.com has just released a free earnings report on NVIDIA Corp. (NASDAQ: NVDA ). If you want access ...	https://finance.yahoo.com/news/free-post-earnings-research-report-120000397.html?.tsrc=rss
2018-01-01,2018 / Cirrus closed up 5% higher on Friday after tumbling earlier in the week on a dismal third-quarter earnings report. Shares of NVIDIA on the other hand skyrocketed ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000533.html?.tsrc=rss,2018 / Cirrus closed up 5% higher on Friday after tumbling earlier in the week on a dismal third-quarter earnings report. Shares of NVIDIA on the other hand skyrocketed ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000533.html?.tsrc=rss
2018-01-01,2018 / Broadcom Limited really wants Qualcomm and the company proved that yesterday by upping their bid from $70 a share to $82 a share. NVIDIA announced a new partnership ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000653.html?.tsrc=rss,2018 / Broadcom Limited really wants Qualcomm and the company proved that yesterday by upping their bid from $70 a share to $82 a share. NVIDIA announced a new partnership ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000653.html?.tsrc=rss
2018-01-01,2018 / Shares of NVIDIA and AMD saw losses on Thursday after NVIDIA was removed from Goldman Sach's Conviction list on concerns about cryptocurrency volatility. ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000258.html?.tsrc=rss,2018 / Shares of NVIDIA and AMD saw losses on Thursday after NVIDIA was removed from Goldman Sach's Conviction list on concerns about cryptocurrency volatility. ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-131000258.html?.tsrc=rss
2018-01-01,2018 / U.S. markets fell sharply Tuesday for the second consecutive day. Both the Dow Jones and S&P 500 experienced their largest one day drop of 2018. The Dow Jones ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-130000827.html?.tsrc=rss,2018 / U.S. markets fell sharply Tuesday for the second consecutive day. Both the Dow Jones and S&P 500 experienced their largest one day drop of 2018. The Dow Jones ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-130000827.html?.tsrc=rss
2018-01-01,2018 / All three major indexes closed the week at record highs Friday as corporate earnings continue to impress investors. The Dow Jones Industrial Average gained ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-130000077.html?.tsrc=rss,2018 / All three major indexes closed the week at record highs Friday as corporate earnings continue to impress investors. The Dow Jones Industrial Average gained ...	https://finance.yahoo.com/news/today-research-reports-trending-tickers-130000077.html?.tsrc=rss
2018-01-01,2018 / Both NVIDIA and Advanced Micro Devices had exciting announcements at the 2018 CES in Las Vegas. Both stocks closed up higher on Monday in response to the positive ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-130000486.html?.tsrc=rss,2018 / Both NVIDIA and Advanced Micro Devices had exciting announcements at the 2018 CES in Las Vegas. Both stocks closed up higher on Monday in response to the positive ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-130000486.html?.tsrc=rss
2018-01-01,2018-- CES— Volkswagen and NVIDIA today shared their vision for how AI and deep learning will shape the development of a new generation of intelligent Volkswagen vehicles using the ...	https://finance.yahoo.com/news/volkswagen-nvidia-infuse-ai-future-053259624.html?.tsrc=rss,2018-- CES— Volkswagen and NVIDIA today shared their vision for how AI and deep learning will shape the development of a new generation of intelligent Volkswagen vehicles using the ...	https://finance.yahoo.com/news/volkswagen-nvidia-infuse-ai-future-053259624.html?.tsrc=rss
2018-01-01,2018-- CES-- NVIDIA and Uber today announced that the ridesharing company has selected NVIDIA technology for the AI computing system in its fleet of self-driving vehicles.. Speaking ...	https://finance.yahoo.com/news/uber-selects-nvidia-technology-power-050546674.html?.tsrc=rss,2018-- CES-- NVIDIA and Uber today announced that the ridesharing company has selected NVIDIA technology for the AI computing system in its fleet of self-driving vehicles.. Speaking ...	https://finance.yahoo.com/news/uber-selects-nvidia-technology-power-050546674.html?.tsrc=rss
