publishedAt,title,description
2018-01-02,"Ben Ritchie, senior investment manager at Aberdeen Standard Investments, discusses his preferred sectors and specific stocks to invest in.","In pharma space, we like Tecan and Novo Nordisk: Aberdeen..."
2018-01-02,For Immediate Release Chicago IL Jan 02 2018 Zacks com announces the list of stocks featured in the Analyst Blog Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets Stocks recently featured in the blog include,"The Zacks Analyst Blog Highlights: Johnson and Johnson, AbbVie, Roche's, AstraZeneca and Novo-Nordisk A/S"
2018-01-02,"Bagsværd, Denmark, 2 January 2018 - In continuation of the company`s announcements dated 9 August 2017 and 1 November 2017 concerning planned share repurchase programmes, and pursuant to Section 204.25 ...",Novo Nordisk A/S: Status regarding Novo Nordisk's holding of its own shares (31 December 2017)
2018-01-02,"The Zacks Analyst Blog Highlights: Johnson and Johnson, AbbVie, Roche&apos;s, AstraZeneca and Novo-Nordisk A/S","The Zacks Analyst Blog Highlights: Johnson and Johnson, AbbVie, Roche&apos;s, AstraZeneca and Novo-Nordisk A/S"
2018-01-03,Shares of Merck MRK declined 4 4 in 2017 against the large cap pharma industry s surge of 16 3 The industry s rally was backed by strong quarterly results new product sales ramp up with rising demand successful innovation and product line expansion strong clinical study results,Can Merck Regain its Mojo in 2018 After an Unimpressive '17?
2018-01-03,Let&apos;s take a look at few factors that help in determining if Novo Nordisk (NVO) will be a good investment in 2018.,5 Reasons to Invest in Novo Nordisk (NVO) Stock Right Now
2018-01-03,Novo Nordisk NVO is a global healthcare company and a leader in the worldwide diabetes market Also the company is a key player in hemophilia care growth hormone therapy hormone replacement therapy and obesity However let s find out if Novo Nordisk will be a good investment in 2018,5 Reasons to Invest in Novo Nordisk (NVO) Stock Right Now
2018-01-03,Merck&apos;s (MRK) shares declined in 2017 against an increase witnessed by the large-cap pharma industry. It remains to be seen if the company regains momentum in 2018.,Can Merck Regain its Mojo in 2018 After an Unimpressive &apos;17?
2018-01-04,"In 3Q17, Novo Nordisk’s (NVO) new generation insulin generated revenues of 2.1 billion Danish krone (or DKK), which reflected ~93% growth on a year-over-year (or YoY) basis.",How Is Novo Nordisk’s New Generation Insulin Segment Positioned after 3Q17?
2018-01-04,We take a look at a few Large Cap drug stocks with a favorable combination of Zacks Rank and VGM Score. The stocks are poised to carry on their bull run this year too.,3 Large-Cap Pharma Stocks to Watch Out for This New Year
2018-01-04,"In 3Q17, Novo Nordisk (NVO) reported revenues of $4.2 billion, which reflected ~2% growth on a year-over-year (or YoY) basis.",How Novo Nordisk Performed in 3Q17
2018-01-04,Novo Nordisk’s (NVO) Xultophy (insulin degludec and liraglutide combination) is used as an addition to diet and exercise for improvement of blood sugar levels in adults with type-2 diabetes mellitus whose ...,"Novo Nordisk’s Xultophy, Ryzodeg, and Fiasp Could Boost Revenue Growth in 2018"
2018-01-05,On Jan 3 we issued an updated research report on Orexigen Therapeutics Inc OREX This biopharmaceutical company based in La Jolla CA is focused on the development of obesity treatments In the last three months Orexigen s share price has underperformed the industry to which it,Orexigen Struggles as Contrave Commercialization Costs Rise
2018-01-05,The year 2017 has turned out to be pretty impressive for the pharma biotech stocks Though the industry was hampered by drug pricing issues in 2016 it bounced back and made a considerable headway in 2017 courtesy of a slew of FDA approvals The regulatory body approved 46 novel drugs last,3 Large-Cap Pharma Stocks to Watch Out for This New Year
2018-01-05,"In 3Q17, Novo Nordisk’s (NVO) NovoRapid reported revenues of 5.0 billion Danish krone (or DKK), which reflected ~9% growth on year-over-year (or YoY) basis.",How Did Novo Nordisk’s Modern Insulin Segment Perform in 3Q17?
2018-01-05,"In 3Q17, Novo Nordisk’s (NVO) Victoza reported revenues of 5.3 billion Danish krone (or DKK), which reflected ~9% growth on a year-over-year (or YoY) basis.",How Did Novo Nordisk’s Victoza and Saxendra Perform in 3Q17?
2018-01-05,"In 3Q17, Novo Nordisk’s (NVO) hemophilia segment reported revenues of 2.4 billion Danish krone (or DKK), a ~10% increase on a YoY basis.",How Novo Nordisk’s Biopharmaceuticals Segment Performed in 3Q17
2018-01-07,"These new drugs could make billions of dollars for big drugmakers. And they could make you money, too.",5 Biggest New Drugs of 2018 -- and How You Can Profit From Their Makers
2018-01-07,New Drugs Approved In December,New Drugs Approved In December
2018-01-08,Novo Nordisk said that Belgian biopharmaceutical company Ablynx has rejected its €2.6 billion takeover bid and declined to engage in any discussions on the approach.,[$$] Belgium's Ablynx Rejects Novo Nordisk Bid
2018-01-08,"CBMG Up 90% In 5 Days, ALDR Delivers On Promise, ABLX Being Pursued By NVO","CBMG Up 90% In 5 Days, ALDR Delivers On Promise, ABLX Being Pursued By NVO"
2018-01-08,"COPENHAGEN/BRUSSELS (Reuters) - Denmark's Novo Nordisk, the world's biggest insulin maker, went public with a 2.6 billion euro ($3.1 billion) bid for Belgian biotech group Ablynx on Monday, seeking a new source of growth by bolstering its treatments for rare blood disorders.  Ablynx  rejected Novo's latest takeover approach and analysts predict the Danish group, whose new chief executive is trying to expand by buying drugs developed by competitors, might face counterbidders and would need to raise its bid.  Shares in Ablynx closed up 45 percent at 30.80 euros, above the 30.50 euros per share Novo has offered.",Ablynx soars after rejects Novo Nordisk's $3.1 billion biotech bid
2018-01-08,"COPENHAGEN/BRUSSELS, Jan 8 (Reuters) - Denmark's Novo  Nordisk, the world's biggest insulin maker, went  public with a 2.6 billion euro ($3.1 billion) bid for Belgian  biotech group Ablynx on Monday, seeking a new source of growth  by bolstering its treatments for rare blood disorders.  Ablynx rejected Novo's latest takeover approach  and analysts predict the Danish group, whose new chief executive  is trying to expand by buying drugs developed by competitors,  might face counterbidders and would need to raise its bid.",Ablynx soars after rejects Novo Nordisk's $3.1 bln biotech bid
2018-01-08,HELSINKI (AP) — Danish drugmaker Novo Nordisk has revised up its offer for Belgian biotech company Ablynx as it looks to find growth opportunities beyond its core business.,Novo Nordisk revises up offer for Ablynx to $3.1 billion
2018-01-08,Danish drugmaker Novo Nordisk has revised up its offer for Belgian biotech company Ablynx as it looks to find growth opportunities beyond its core business. The Copenhagen-based company said Monday it ...,Novo Nordisk revises up offer for Ablynx to $3.1 billion
2018-01-08,Novo Nordisk's $3 billion offer for the Belgian blood disease biotech comes after the target twice refused to enter takeover talks.,Novo Nordisk Makes Unsolicited Bid for Ablynx
2018-01-08,Novo Nordisk NVO is shedding its restraint and embracing acquisitions after all The Danish drugmaker which has traditionally eschewed deals and looked inward to develop new treatments 160 signaled a desire to seek growth from outside its own labs as it disclosed a 3,Novo Nordisk Makes $3.1 Billion Takeover Offer For Ablynx
2018-01-08,"In 3Q17, Novo Nordisk’s (NVO) NovoMix reported revenues of 2.4 billion Danish krone (or DKK), which reflected ~1% growth on year-over-year (or YoY) basis.",How Did Novo Nordisk’s NovoMix and Human Insulin Perform in 2017?
2018-01-08,Novo Nordisk risks getting sucked into an auction for Ablynx.,"In Drug Deals, $3.1 Billion Isn't Exactly Full-Blooded"
2018-01-08,"FOR IMMEDIATE RELEASE REGULATED INFORMATION - INSIDE INFORMATION GHENT, Belgium, 8 January 2018 - Ablynx NV (Euronext Brussels and Nasdaq: ABLX) (""Ablynx"" or the ""Company"") today confirmed ...",ABLYNX STRONGLY BELIEVES UNSOLICITED CONDITIONAL PROPOSAL FROM NOVO NORDISK FUNDAMENTALLY UNDERVALUES THE COMPANY AND ITS FUTURE PROSPECTS
2018-01-08,"Denmark's Novo Nordisk (NOVOb.CO), the world's biggest maker of insulin, has made a 2.6 billion euro ($3.1 billion/2.29 billion pounds) bid for Belgian biotech group Ablynx (ABLX.BR) as it seeks to diversify and strengthen its business for treating rare blood disorders.  Novo went public with the offer on Monday after Ablynx rebuffed earlier approaches and analysts predicted the Danish group, whose new chief executive is seeking new products to bolster growth, would need to raise its bid to win and might face counterbidders.  The approach comes at a time of renewed interest by large drugmakers in acquiring smaller biotech companies to boost their product portfolios.",Novo Nordisk bids $3.1 billion for Belgian biotech group Ablynx
