publishedAt,title,description
2018-01-01,2018.	https://finance.yahoo.com/news/icu-medical-inc-icui-q2-230000416.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/icu-medical-inc-icui-q2-230000416.html?.tsrc=rss
2018-01-01,2018 / U.S. markets finished modestly higher on Thursday as investors continue to worry about trade tensions between the U.S. and China. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120500114.html?.tsrc=rss,2018 / U.S. markets finished modestly higher on Thursday as investors continue to worry about trade tensions between the U.S. and China. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120500114.html?.tsrc=rss
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pTtbgvVb3Vk/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pTtbgvVb3Vk/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775
2018-01-01,2018 / U.S. equities plunged on Tuesday as skepticism over the U.S. and China’s ability to close a trade agreement weighed on the markets. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000224.html?.tsrc=rss,2018 / U.S. equities plunged on Tuesday as skepticism over the U.S. and China’s ability to close a trade agreement weighed on the markets. The Dow Jones Industrial ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000224.html?.tsrc=rss
2018-01-01,2018 / Pfizer and Facebook were both in deep water last week.  Pharma giant Pfizer decided to increase the prices of 41 drugs according to the WSJ with the price hikes taking effect in January.  Shares of Facebook hit a new low as Wall Street continued to grapple with a NY Times article about executives at the company ignoring warning signs of abuse.	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-115000416.html?.tsrc=rss,2018 / Pfizer and Facebook were both in deep water last week.  Pharma giant Pfizer decided to increase the prices of 41 drugs according to the WSJ with the price hikes taking effect in January.  Shares of Facebook hit a new low as Wall Street continued to grapple with a NY Times article about executives at the company ignoring warning signs of abuse.	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-115000416.html?.tsrc=rss
2018-01-01,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p2jtDXNRz54/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568,2018	Pfizer Inc PFE will begin trading ex dividend on November 08 2018 A cash dividend payment of 0 34 per share is scheduled to be paid on December 03 2018 Shareholders who purchased PFE prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/p2jtDXNRz54/pfizer-inc-pfe-ex-dividend-date-scheduled-for-november-08-2018-cm1051568
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MlHmpYFegHc/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775,2018	Merck amp Company Inc MRK will begin trading ex dividend on December 14 2018 A cash dividend payment of 0 55 per share is scheduled to be paid on January 08 2019 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MlHmpYFegHc/merck-company-inc-mrk-ex-dividend-date-scheduled-for-december-14-2018-cm1068775
2018-01-01,2018 / Pharmaceutical giant Pfizer was little changed on Tuesday despite mixed earnings and news about price increases on drugs from its CEO Ian Read.  Shares of Daxor Corporation were exploding as the company announcing the publication of promising data.  Daxor Corporation shares were up nearly 87% on Tuesday on about 5.3 million shares traded.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000028.html?.tsrc=rss,2018 / Pharmaceutical giant Pfizer was little changed on Tuesday despite mixed earnings and news about price increases on drugs from its CEO Ian Read.  Shares of Daxor Corporation were exploding as the company announcing the publication of promising data.  Daxor Corporation shares were up nearly 87% on Tuesday on about 5.3 million shares traded.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000028.html?.tsrc=rss
2018-01-01,2018 / U.S. equities plunged on Thursday as worries over global growth weighed on the broader market and investors continued to digest the minutes from the Federal ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000934.html?.tsrc=rss,2018 / U.S. equities plunged on Thursday as worries over global growth weighed on the broader market and investors continued to digest the minutes from the Federal ...	https://finance.yahoo.com/news/todays-research-reports-trending-tickers-120000934.html?.tsrc=rss
2018-01-01,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a6B-kvU6zVw/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234,2018	Merck amp Company Inc MRK will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 48 per share is scheduled to be paid on October 05 2018 Shareholders who purchased MRK prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a6B-kvU6zVw/merck-company-inc-mrk-ex-dividend-date-scheduled-for-september-14-2018-cm1022234
