publishedAt,title,description
2018-01-09,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-09,"Prologis Inc (NYSE:PLD) is trading with a trailing P/E of 18.8x, which is lower than the industry average of 30.4x. While this makes PLD appear like a great stock toRead More...",Should You Be Tempted To Buy Prologis Inc (NYSE:PLD) At Its Current PE Ratio?
2018-01-09,"~ Full year 2017 build-to-suit completions comprised 33 projects totaling more than 12 million square feet SAN FRANCISCO , Jan. 9, 2018 /PRNewswire/ -- Prologis, Inc. (NYSE: PLD), the global leader in ...",Prologis Completes 13 Build-to-Suit Development Projects in the Second Half of 2017 Totaling more than 4.7 Million Square Feet
2018-01-09,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares Cohen amp Steers REIT ETF Symbol ICF where we have detected an approximate 39 8 million dollar outflow that s a 1 3 decrease week over week,"ICF, EQIX, PLD, PSA: Large Outflows Detected at ETF"
2018-01-10,"BlackRock is the world’s largest money manager, flush from a sea change in investing that favors the exchange-traded funds under its iShares brand.  The champion of passive investing, however, has been active and made some interesting buys near the end of 2017, including bulking up on Frontier Communications (FTR), Cloudera (CLDR), Prologis (PLD) and Bioverativ (BIVV).  BlackRock(BLK) bought more than five million shares of Frontier in the fourth quarter, raising its stake in the communications company to 15.2 million shares on Dec. 31, a stake of about 19%, up from 10 million shares as of Sept. 30.","[$$] BlackRock Buys Frontier, Cloudera, Prologis Shares"
2018-01-11,The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks according to a proprietary formula designed to identify those stocks that combine two important characteristics strong fundamentals and a valuation that looks inexpensive Prologis,Prologis Becomes Oversold
2018-01-11,The growing need for improving supply-chain efficiencies stemming from the e-commerce boom has enabled Prologis (PLD) to report robust built-to-suit activity.,Prologis (PLD) Announces Encouraging Build-to-Suit Activity
2018-01-11,Prologis PLD build to suit activity remained solid in the second half of 2017 with the company completing 13 development projects With a total expected investment TEI of approximately 350 million these projects included more than 4 7 million square feet of space Further this,Prologis (PLD) Announces Encouraging Build-to-Suit Activity
2018-01-11,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-12,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-12,By Brett Owens It s essential for core dividend holdings to consistently raise their payouts over time Without a steady uptick in the regular dole inflation starts gnawing into investors returns That dollar becomes 98 cents becomes 96 cents and you get the picture And it,7 REITs Set to Raise Dividends in February
2018-01-14,"It’s essential for core dividend holdings to consistently raise their payouts over time. Without a steady uptick in the regular dole, inflation starts gnawing into investors’ returns.",7 REIT Payouts Getting Set To Grow In February
2018-01-15,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-16,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-16,The overall performance of the REIT industry in 2017 has not been awe inspiring amid macroeconomic uncertainty in the nation and restrained trading activity However a number of asset categories have stood out and generated solid returns at times even above the broader market Moreover,Here's Why You Should Keep Adding REITs to Your Portfolio
2018-01-17,"SAN FRANCISCO, Jan. 17, 2018 /PRNewswire/ -- Prologis, Inc. (PLD), the global leader in logistics real estate, today announced that a group of leading industrial real estate investment trusts, including, along with the Company, DCT Industrial Trust Inc. (DCT), Duke Realty Corporation (DRE), EastGroup Properties, Inc. (EGP), First Industrial Realty Trust, Inc. (FR), Liberty Property Trust (LPT) and STAG Industrial, Inc. (STAG) (the ""Industrial REIT Group""), has agreed on consistent methodologies to calculate various non-GAAP property operating metrics.",Prologis Joins Other Leading Industrial REITs in Conforming Certain Non-GAAP Operating Metrics
2018-01-18,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-19,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-19,"Prologis (PLD) has capacity to offer modern distribution facilities in strategic in-fill locations and leverage on solid market fundamentals. Yet, stiff competition and rising supply remain woes.",Key Factors to Impact Prologis&apos; (PLD) Earnings This Season
2018-01-19,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard REIT ETF Symbol VNQ where we have detected an approximate 117 2 million dollar outflow that s a 0 4 decrease week over week from 417 919 900,"VNQ, EQIX, PLD, PSA: ETF Outflow Alert"
2018-01-19,Prologis Inc PLD is slated to report fourth quarter 2017 earnings on Jan 23 before the opening bell Last quarter this industrial real estate investment trust REIT reported an in line result in terms of funds from operations FFO per share Though the company experienced,Key Factors to Impact Prologis' (PLD) Earnings This Season
2018-01-22,The following companies are expected to report earnings prior to market open on 01 23 2018 Visit our Earnings Calendar for a full list of expected earnings releases Johnson amp Johnson JNJ is reporting for the quarter ending December 31 2017 The large,"Pre-Market Earnings Report for January 23, 2018 :  JNJ, PG, VZ, KMB, STT, TRV, PLD, FITB, HBAN, WAT, SNV, WBS"
2018-01-22,Prologis Inc NYSE:PLD,See what the IHS Markit Score report has to say about Prologis Inc.
2018-01-23,Prologis Inc PLD reported fourth quarter 2017 core funds from operations FFO per share of 67 cents beating the Zacks Consensus Estimate of 66 cents Results also compared favorably with the year ago figure of 63 cents The company experienced solid operating results and higher net,"Prologis (PLD) Q4 Revenues Beat on High Occupancy, FFO Tops"
2018-01-23,"High occupancy and rents drive Prologis&apos; (PLD) Q4 core FFO per share, which surpassed the Zacks Consensus Estimate.","Prologis (PLD) Q4 Revenues Beat on High Occupancy, FFO Tops"
2018-01-23,Have you been eager to see how Prologis Inc PLD performed in Q4 in comparison with the market expectations Let s quickly scan through the key facts from this San Francisco CA based industrial real estate investment trust s REIT earnings release this morning A FFO Beat,Prologis (PLD) Q4 FFO Beats Estimates on Higher Revenues
2018-01-23,"Backed by growth in revenues, Prologis Inc. (PLD) came out with a better-than-expected core FFO per share figure for the fourth quarter.",Prologis (PLD) Q4 FFO Beats Estimates on Higher Revenues
2018-01-23,"The real estate investment trust, based in San Francisco, said it had funds from operations of $73.7 million, or 67 cents per share, in the period. The average estimate of 10 analysts surveyed by Zacks ...",Prologis reports 4Q results
2018-01-23,"Earnings In Focus: Jan. 23 (FUL, ATI, JNJ, PG, VZ)","Earnings In Focus: Jan. 23 (FUL, ATI, JNJ, PG, VZ)"
2018-01-23,Prologis Inc (NYSE:PLD) saw its share price hover around a small range of $61.43 to $67.4 over the last few weeks. But is this actually reflective of the share valueRead More...,Is Prologis Inc (NYSE:PLD) Undervalued?
