publishedAt,title,description
2018-01-09,Air Products APD a provider of industrial gases said pre market Tuesday it has agreed to acquire Royal Dutch Shell s RDS A RDS A RDS A RDS B RDS B RDS B Coal Gasification Technology business as well as Shell s patent portfolio for Liquids Residue Gasification Air Products,Air Products to Acquire Shell's Coal Gasification Technology Business and Patent Portfolio for Liquids Gasification
2018-01-10,Iraq has approved the sale by Royal Dutch Shell RDS A of its 20 stake in Iraq s West Qurna 1 oilfield to Japan s Itochu Corp Reuters quoted a senior Iraqi oil official as saying on Wednesday Iraq has approved the sale by Royal Dutch Shell RDS A of its 20 stake in Iraq s West Qurna,Market Chatter: Shell Reportedly Sells Stake in Iraq oilfield to Japan's Itochu
2018-01-11,Jacobs Engineering Group Inc JEC recently secured a three year engineering procurement and construction management EPCM services contract from BP plc BP Per the deal the company offer its premium services for supporting Phase 2 of the prestigious Khazzan Tight Gas Project 160,Jacobs Wins EPCM Contract for Khazzan Tight Gas Project
2018-01-12,Royal Dutch Shell RDS A RDS B an oil giant is making preparations to bid for green energy firm Eneco whose owners are made up of 53 local councils the Telegraaf reported on Friday citing unidentified sources Royal Dutch Shell RDS A RDS B an oil giant is making,"Market Chatter: Shell, Total Consider Bid for Dutch Utility Eneco Group"
2018-01-17,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard Total International Stock ETF Symbol VXUS where we have detected an approximate 109 3 million dollar inflow that s a 1 0 increase week over week,"VXUS, RDS.A, RDS.B, RY: Large Inflows Detected at ETF"
2018-01-31,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard Total International Stock ETF Symbol VXUS where we have detected an approximate 120 5 million dollar inflow that s a 1 1 increase week over week,"VXUS, TSM, RDS.B, RY: ETF Inflow Alert"
2018-02-01,Top Energy StocksTop Energy Stocks XOM 1 53 XOM 1 53 CVX 0 06 CVX 0 06 COP 1 11 COP 1 11 SLB 2 09 SLB 2 09 OXY 0 94 OXY 0 94 Energy stocks were starting to trend higher Thursday afternoon reversing small decline earlier with the NYSE Energy Sector Index adding about 0 1 in,"Energy Sector Update for 02/01/2018: COP,LTBR,RDS.A,RDS.B"
2018-02-05,In trading on Monday shares of Royal Dutch Shell plc Symbol RDS B entered into oversold territory changing hands as low as 65 29 per share We define oversold territory using the Relative Strength Index or RSI which is a technical analysis indicator used to measure momentum on a scale,RDS.B Crosses Critical Technical Indicator
2018-02-08,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard Total International Stock ETF Symbol VXUS where we have detected an approximate 136 5 million dollar inflow that s a 1 3 increase week over week,"Notable ETF Inflow Detected - VXUS, TSM, RDS.B, RY"
2018-02-20,Royal Dutch Shell RDS A RDS B is potentially interested in BHP Billiton s BHP oil assets on sale in the Permian basin in the U S as it seeks to boost its role in shale Bloomberg reported on Tuesday citing a Shell executive Royal Dutch Shell RDS A RDS B is,Market Chatter: Shell Interested in BHP Assets
2018-03-05,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard FTSE Developed Markets ETF Symbol VEA where we have detected an approximate 111 5 million dollar inflow that s a 0 2 increase week over week,"Noteworthy ETF Inflows: VEA, NSRGY, NVS, RDS.B"
2018-03-07,Royal Dutch Shell RDS A RDS B agreed to double its liquefied natural gas LNG purchase from 10 million metric tons year mt year from the Calcasieu Pass LNG facility in Louisiana according to media sources Royal Dutch Shell RDS A RDS B agreed to double its liquefied natural gas,Royal Dutch Shell Reportedly Doubles LNG Purchase From Calcasieu Pass
2018-03-09,Royal Dutch Shell RDS A RDS B the Anglo Dutch crude oil and natural gas titan is seeking to sell out of the aging Draugen field in Norway and is also offering small stakes in a number of other fields Reuters reported on Friday citing a document Royal Dutch Shell RDS A RDS,Market Chatter: Shell to Sell Out of Many Norwegian Fields
2018-03-13,Kazakhstan s sovereign wealth fund has offered Royal Dutch Shell RDS an opportunity buy a significant minority stake in national oil company KazMunayGaz KMG in order for its planned flotation to be more appealing to foreign investors according to a report from Reuters that cited two,Market Chatter: Royal Dutch Shell Said to be Getting Chance to Buy Stake in Kazakhstan's National Oil Co. Before its Float
2018-03-15,Royal Dutch Shell RDS A RDS B a British Dutch multinational oil and gas company is close to clinching a deal to supply Hong Kong with liquefied natural gas LNG beating out major competitors for the right to be the first company to supply LNG to the city Reuters reported,Market Chatter: Shell Close to Bagging Hong Kong's First LNG Import Deal - Reuters
