publishedAt,title,description
2018-01-04,AT amp T Inc T had a disappointing 2017 We believe that the U S telecom behemoth is currently facing several headwinds However the FirstNet Project may appear as a ray of hope for the company in 2018 Recently AT amp T and the First Responder Network Authority FirstNet,Will AT&T's (T) Fortunes Return With the FirstNet Project?
2018-01-05,"UMIAMIFL also outperformed two key S&P benchmarks by more than nine percent. CORAL GABLES, Fla. , Jan. 5, 2018 /PRNewswire/ -- The University of Miami Business School's Florida 50 Index finished 2017 with ...",University of Miami Business School's Florida 50 Stock Index gains more than 28% during 2017
2018-01-09,SBA Communications Corp NASDAQ/NGS:SBAC,See what the IHS Markit Score report has to say about SBA Communications Corp.
2018-01-11,Wireless tower operators in the United States had a robust 2017 We believe that there are several reasons for this dream run to continue in 2018 the primary being the thrust in the U S public safety network 160 Recently AT amp T Inc T and the First Responder Network,Public Safety Network: A Boon for Tower Operators in 2018
2018-01-11,What&apos;s in the Cards for American Tower?2017 outlook,American Tower Riding High with Strong Organic Growth
2018-01-11,"American Tower (AMT) stated in its 3Q17 earnings call, “According to Cisco, the average U.S. smartphone now consumes more than 4.4 gigabits of data per month, a 33% increase from just one year ago.” The increase is mainly due to video consumption, which has increased due to unlimited data plans offered by all major US wireless carriers.  Data usage is also increasing in international markets due to smartphone penetration.  Data usage is expected on average to increase 50% by 2021 in Mexico, India, Brazil, South Africa, and Nigeria.",These Factors Are Helping American Tower’s Growth
2018-01-11,What&apos;s in the Cards for American Tower?,American Tower’s Strong Hold in the International Market
2018-01-11,In trading on Thursday the SPDR S amp P Oil amp Gas Exploration amp Production ETF XOP is outperforming other ETFs up about 3 on the day Components of that ETF showing particular strength include shares of Stone Energy SGY up about 10 1 and shares of California Resources,"Thursday's ETF Movers: XOP, XLRE"
2018-01-11,In afternoon trading on Thursday Utilities stocks are the worst performing sector showing a 0 1 loss Within that group PG amp E Corp Symbol PCG and Southern Company Symbol SO are two of the day s laggards showing a loss of 1 6 and 1 4 respectively Among utilities ETFs one,"Thursday Sector Laggards: Utilities, Financial"
2018-01-11,The market for U.S. public safety network for first responders and civil protection services is becoming intensely competitive.,Public Safety Network: A Boon for Tower Operators in 2018
