publishedAt,title,description
2017-01-01,2017. GAAP results in fiscal 2018 and fiscal 2017 include items which are excluded from non-GAAP results.	https://finance.yahoo.com/news/starbucks-reports-record-q1-fiscal-210500317.html?.tsrc=rss,2017. GAAP results in fiscal 2018 and fiscal 2017 include items which are excluded from non-GAAP results.	https://finance.yahoo.com/news/starbucks-reports-record-q1-fiscal-210500317.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/news/starbucks-corporation-sbux-q1-2018-040900443.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/starbucks-corporation-sbux-q1-2018-040900443.html?.tsrc=rss
2018-01-01,2018	The Cheesecake Factory Incorporated CAKE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 33 per share is scheduled to be paid on August 28 2018 Shareholders who purchased CAKE prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kHIiPIkAZ10/the-cheesecake-factory-incorporated-cake-ex-dividend-date-scheduled-for-august-14-2018-cm1006491,2018	The Cheesecake Factory Incorporated CAKE will begin trading ex dividend on August 14 2018 A cash dividend payment of 0 33 per share is scheduled to be paid on August 28 2018 Shareholders who purchased CAKE prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kHIiPIkAZ10/the-cheesecake-factory-incorporated-cake-ex-dividend-date-scheduled-for-august-14-2018-cm1006491
2018-01-01,2018	Starbucks Corporation SBUX will begin trading ex dividend on August 08 2018 A cash dividend payment of 0 36 per share is scheduled to be paid on August 24 2018 Shareholders who purchased SBUX prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gdJ1iD8GEAE/starbucks-corporation-sbux-ex-dividend-date-scheduled-for-august-08-2018-cm1003304,2018	Starbucks Corporation SBUX will begin trading ex dividend on August 08 2018 A cash dividend payment of 0 36 per share is scheduled to be paid on August 24 2018 Shareholders who purchased SBUX prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gdJ1iD8GEAE/starbucks-corporation-sbux-ex-dividend-date-scheduled-for-august-08-2018-cm1003304
2018-01-01,2018	Starbucks Corporation SBUX will begin trading ex dividend on August 08 2018 A cash dividend payment of 0 36 per share is scheduled to be paid on August 24 2018 Shareholders who purchased SBUX prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a8gUbMEdlvY/starbucks-corporation-sbux-ex-dividend-date-scheduled-for-august-08-2018-cm1003304,2018	Starbucks Corporation SBUX will begin trading ex dividend on August 08 2018 A cash dividend payment of 0 36 per share is scheduled to be paid on August 24 2018 Shareholders who purchased SBUX prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a8gUbMEdlvY/starbucks-corporation-sbux-ex-dividend-date-scheduled-for-august-08-2018-cm1003304
2018-01-01,2018	Sonic Corp SONC will begin trading ex dividend on August 07 2018 A cash dividend payment of 0 16 per share is scheduled to be paid on August 17 2018 Shareholders who purchased SONC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7Eem7ClVFks/sonic-corp-sonc-ex-dividend-date-scheduled-for-august-07-2018-cm1002649,2018	Sonic Corp SONC will begin trading ex dividend on August 07 2018 A cash dividend payment of 0 16 per share is scheduled to be paid on August 17 2018 Shareholders who purchased SONC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7Eem7ClVFks/sonic-corp-sonc-ex-dividend-date-scheduled-for-august-07-2018-cm1002649
2018-01-01,2018	Sonic Corp SONC will begin trading ex dividend on August 07 2018 A cash dividend payment of 0 16 per share is scheduled to be paid on August 17 2018 Shareholders who purchased SONC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gOkDfX9GVDU/sonic-corp-sonc-ex-dividend-date-scheduled-for-august-07-2018-cm1002649,2018	Sonic Corp SONC will begin trading ex dividend on August 07 2018 A cash dividend payment of 0 16 per share is scheduled to be paid on August 17 2018 Shareholders who purchased SONC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th quarter	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gOkDfX9GVDU/sonic-corp-sonc-ex-dividend-date-scheduled-for-august-07-2018-cm1002649
2018-01-01,2018	Colgate Palmolive Company s CL shares declined 0 4 after the company reported second quarter fiscal 2018 revenues of 3 886 million missing the Zacks Consensus Estimate of 3 899 million Shares of Starbucks Corporation SBUX jumped 1 4 after the company reported third	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_V98WfdcpH4/market-news-for-jul-30-2018-cm998804,2018	Colgate Palmolive Company s CL shares declined 0 4 after the company reported second quarter fiscal 2018 revenues of 3 886 million missing the Zacks Consensus Estimate of 3 899 million Shares of Starbucks Corporation SBUX jumped 1 4 after the company reported third	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_V98WfdcpH4/market-news-for-jul-30-2018-cm998804
2018-01-01,2018	Colgate Palmolive Company s CL shares declined 0 4 after the company reported second quarter fiscal 2018 revenues of 3 886 million missing the Zacks Consensus Estimate of 3 899 million Shares of Starbucks Corporation SBUX jumped 1 4 after the company reported third	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/A970bEtM9bc/market-news-for-jul-30-2018-cm998804,2018	Colgate Palmolive Company s CL shares declined 0 4 after the company reported second quarter fiscal 2018 revenues of 3 886 million missing the Zacks Consensus Estimate of 3 899 million Shares of Starbucks Corporation SBUX jumped 1 4 after the company reported third	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/A970bEtM9bc/market-news-for-jul-30-2018-cm998804
2018-01-01,2018.	https://finance.yahoo.com/news/starbucks-corporation-sbux-q3-2018-225000048.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/starbucks-corporation-sbux-q3-2018-225000048.html?.tsrc=rss
