publishedAt,title,description
2018-01-01,"During 2016, SPG repurchased 1,409,197 shares at an average price of $181.14 per share.",SPG’s Stable Dividend Policy
2018-01-01,A higher price-to-FFO multiple for Simon Property means that it has the capacity to give a predictable return as well as consistent dividend yields to investors.,Why SPG Is Commanding a Premium in Comparison to Its Peers
2018-01-01,"Analysts gave SPG a mean price target of $188.10, implying an ~16.0% rise from its current level of $162.26.",What Do Wall Street Analysts Think of SPG?
2018-01-02,Looking at units outstanding versus one week prior within the universe of ETFs covered at ETF Channel the biggest outflow was seen in the Vanguard REIT ETF VNQ where 4 098 933 units were destroyed or a 1 0 decrease week over week Among the largest underlying components of VNQ in,"VNQ, FTXR: Big ETF Outflows"
2018-01-02,Brixmor Property Group Inc BRX will begin trading ex dividend on January 03 2018 A cash dividend payment of 0 275 per share is scheduled to be paid on January 16 2018 Shareholders who purchased BRX prior to the ex dividend date are eligible for the cash dividend payment This,"Brixmor Property Group Inc. (BRX) Ex-Dividend Date Scheduled for January 03, 2018"
2018-01-02,Realty Income O is likely to remain on the growth curve with strategic acquisitions During the nine month period ended Sep 30 2017 the company invested around 956 9 million in 177 new properties and properties under development or expansion situated in 35 states The assets are fully,Here's Why You Should Hold on to Realty Income (O) Stock Now
2018-01-03,Urstadt Biddle Properties Inc UBP will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on January 19 2018 Shareholders who purchased UBP prior to the ex dividend date are eligible for the cash dividend payment,"Urstadt Biddle Properties Inc. (UBP) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-03,Boston Properties Inc Symbol BXP has been named a Top Socially Responsible Dividend Stock by Dividend Channel signifying a stock with above average DividendRank statistics including a strong 2 5 yield as well as being recognized by prominent asset managers as being a,Boston Properties a Top Socially Responsible Dividend Stock With 2.5% Yield (BXP)
2018-01-03,Urstadt Biddle Properties Inc UBA will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 27 per share is scheduled to be paid on January 19 2018 Shareholders who purchased UBA prior to the ex dividend date are eligible for the cash dividend payment,"Urstadt Biddle Properties Inc. (UBA) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-03,Kite Realty Group Trust KRG will begin trading ex dividend on January 04 2018 A cash dividend payment of 0 317 per share is scheduled to be paid on January 12 2018 Shareholders who purchased KRG prior to the ex dividend date are eligible for the cash dividend payment This represents,"Kite Realty Group Trust (KRG) Ex-Dividend Date Scheduled for January 04, 2018"
2018-01-04,Global Net Lease Inc GNL will begin trading ex dividend on January 05 2018 A cash dividend payment of 0 177 per share is scheduled to be paid on January 16 2018 Shareholders who purchased GNL prior to the ex dividend date are eligible for the cash dividend payment This marks the,"Global Net Lease, Inc. (GNL) Ex-Dividend Date Scheduled for January 05, 2018"
2018-01-04,Simon Property Group Inc (NYSE:SPG) outperformed the Retail REITs industry on the basis of its ROE – producing a higher 41.16% relative to the peer average of 7.96% over theRead More...,How Simon Property Group Inc (NYSE:SPG) Delivered A Better ROE Than Its Industry
2018-01-05,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares U S Real Estate ETF Symbol IYR where we have detected an approximate 106 9 million dollar inflow that s a 2 7 increase week over week in,"IYR, AMT, SPG, CCI: ETF Inflow Alert"
2018-01-05,Brandywine Realty Trust BDN will begin trading ex dividend on January 08 2018 A cash dividend payment of 0 18 per share is scheduled to be paid on January 23 2018 Shareholders who purchased BDN prior to the ex dividend date are eligible for the cash dividend payment This represents,"Brandywine Realty Trust (BDN) Ex-Dividend Date Scheduled for January 08, 2018"
2018-01-08,United Dominion Realty Trust Inc UDR will begin trading ex dividend on January 09 2018 A cash dividend payment of 0 31 per share is scheduled to be paid on January 31 2018 Shareholders who purchased UDR prior to the ex dividend date are eligible for the cash dividend payment This,"United Dominion Realty Trust, Inc. (UDR) Ex-Dividend Date Scheduled for January 09, 2018"
2018-01-09,City Office REIT Inc CIO will begin trading ex dividend on January 10 2018 A cash dividend payment of 0 235 per share is scheduled to be paid on January 25 2018 Shareholders who purchased CIO prior to the ex dividend date are eligible for the cash dividend payment This marks the,"City Office REIT, Inc. (CIO) Ex-Dividend Date Scheduled for January 10, 2018"
2018-01-10,Mid America Apartment Communities Inc MAA will begin trading ex dividend on January 11 2018 A cash dividend payment of 0 923 per share is scheduled to be paid on January 31 2018 Shareholders who purchased MAA prior to the ex dividend date are eligible for the cash dividend payment,"Mid-America Apartment Communities, Inc. (MAA) Ex-Dividend Date Scheduled for January 11, 2018"
2018-01-11,ARMOUR Residential REIT Inc ARR will begin trading ex dividend on January 12 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on January 29 2018 Shareholders who purchased ARR prior to the ex dividend date are eligible for the cash dividend payment This marks,"ARMOUR Residential REIT, Inc. (ARR) Ex-Dividend Date Scheduled for January 12, 2018"
