publishedAt,title,description
2017-01-01,2017.  The telecommunications company’s debt level increased significantly mainly due to its acquisition of Time Warner in mid-June.	https://finance.yahoo.com/m/3b3a36a4-622e-3f8f-a18c-ccf94d7ecc05/can-at%26t%E2%80%99s-debt-repayment.html?.tsrc=rss,2017.  The telecommunications company’s debt level increased significantly mainly due to its acquisition of Time Warner in mid-June.	https://finance.yahoo.com/m/3b3a36a4-622e-3f8f-a18c-ccf94d7ecc05/can-at%26t%E2%80%99s-debt-repayment.html?.tsrc=rss
2018-01-01,2018 /PRNewswire/ -- AT&T * will launch NarrowBand Internet of Things (NB-IoT) ...	https://finance.yahoo.com/news/t-launch-narrowband-iot-network-133000415.html?.tsrc=rss,2018 /PRNewswire/ -- AT&T * will launch NarrowBand Internet of Things (NB-IoT) ...	https://finance.yahoo.com/news/t-launch-narrowband-iot-network-133000415.html?.tsrc=rss
2018-01-01,2018 /PRNewswire/ -- AT&T* today announced we're making the nation's best network -- according ...	https://finance.yahoo.com/news/t-names-99-5g-evolution-100000814.html?.tsrc=rss,2018 /PRNewswire/ -- AT&T* today announced we're making the nation's best network -- according ...	https://finance.yahoo.com/news/t-names-99-5g-evolution-100000814.html?.tsrc=rss
2018-01-01,2018 / Both AT&T and Netflix were in the red on Wednesday on news that AT&T is going to release a direct to consumer service next year that would rival Netflix.  AT&T Inc. shares were in the red and down nearly 2% on Wednesday despite some pretty big news from the company.  AT&T announced that it will launch a direct to consumer service next year.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000130.html?.tsrc=rss,2018 / Both AT&T and Netflix were in the red on Wednesday on news that AT&T is going to release a direct to consumer service next year that would rival Netflix.  AT&T Inc. shares were in the red and down nearly 2% on Wednesday despite some pretty big news from the company.  AT&T announced that it will launch a direct to consumer service next year.	https://finance.yahoo.com/news/today-research-reports-stocks-watch-120000130.html?.tsrc=rss
2018-01-01,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on October 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on November 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQzqDBnEw_M/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-october-12-2018-cm1035479,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on October 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on November 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQzqDBnEw_M/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-october-12-2018-cm1035479
2018-01-01,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on October 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on November 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JUgOnZjfIiU/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-october-12-2018-cm1035479,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on October 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on November 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JUgOnZjfIiU/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-october-12-2018-cm1035479
2018-01-01,2018	ADTRAN Inc ADTN will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 09 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ADTN prior to the ex dividend date are eligible for the cash dividend payment This marks the 54th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/c5JQqb1MMRk/adtran-inc-adtn-ex-dividend-date-scheduled-for-october-30-2018-cm1045023,2018	ADTRAN Inc ADTN will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 09 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ADTN prior to the ex dividend date are eligible for the cash dividend payment This marks the 54th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/c5JQqb1MMRk/adtran-inc-adtn-ex-dividend-date-scheduled-for-october-30-2018-cm1045023
2018-01-01,2018	j2 Global Inc JCOM will begin trading ex dividend on November 16 2018 A cash dividend payment of 0 435 per share is scheduled to be paid on December 05 2018 Shareholders who purchased JCOM prior to the ex dividend date are eligible for the cash dividend payment This represents an 2	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PUU_xnocjX0/j2-global-inc-jcom-ex-dividend-date-scheduled-for-november-16-2018-cm1056408,2018	j2 Global Inc JCOM will begin trading ex dividend on November 16 2018 A cash dividend payment of 0 435 per share is scheduled to be paid on December 05 2018 Shareholders who purchased JCOM prior to the ex dividend date are eligible for the cash dividend payment This represents an 2	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/PUU_xnocjX0/j2-global-inc-jcom-ex-dividend-date-scheduled-for-november-16-2018-cm1056408
2018-01-01,2018	j2 Global Inc JCOM will begin trading ex dividend on November 16 2018 A cash dividend payment of 0 435 per share is scheduled to be paid on December 05 2018 Shareholders who purchased JCOM prior to the ex dividend date are eligible for the cash dividend payment This represents an 2	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/B-h01NYdp9o/j2-global-inc-jcom-ex-dividend-date-scheduled-for-november-16-2018-cm1056408,2018	j2 Global Inc JCOM will begin trading ex dividend on November 16 2018 A cash dividend payment of 0 435 per share is scheduled to be paid on December 05 2018 Shareholders who purchased JCOM prior to the ex dividend date are eligible for the cash dividend payment This represents an 2	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/B-h01NYdp9o/j2-global-inc-jcom-ex-dividend-date-scheduled-for-november-16-2018-cm1056408
2018-01-01,2018	Plantronics Inc PLT will begin trading ex dividend on November 19 2018 A cash dividend payment of 0 15 per share is scheduled to be paid on December 10 2018 Shareholders who purchased PLT prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9A8-oXSoj6M/plantronics-inc-plt-ex-dividend-date-scheduled-for-november-19-2018-cm1057043,2018	Plantronics Inc PLT will begin trading ex dividend on November 19 2018 A cash dividend payment of 0 15 per share is scheduled to be paid on December 10 2018 Shareholders who purchased PLT prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9A8-oXSoj6M/plantronics-inc-plt-ex-dividend-date-scheduled-for-november-19-2018-cm1057043
