publishedAt,title,description
2018-01-01,2018-01-01	2018-01-01 14:04:30	TGT	Target Corporation	Why Target’s Profit Margins Could Shrink in 2018	The profit margins of mass merchandisers are expected to take a hit from their continued investments in growth initiatives to remain afloat amid growing threats from Amazon (AMZN).	http://finance.yahoo.com/r/00394e34-6de4-30f2-a373-03c4f763e4ea/targets-profit-margins-shrink-2018?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-01	2018-01-01 14:04:30	TGT	Target Corporation	Why Target’s Profit Margins Could Shrink in 2018	The profit margins of mass merchandisers are expected to take a hit from their continued investments in growth initiatives to remain afloat amid growing threats from Amazon (AMZN).	http://finance.yahoo.com/r/00394e34-6de4-30f2-a373-03c4f763e4ea/targets-profit-margins-shrink-2018?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-01,2018-01-01	2018-01-01 15:33:48	TGT	Target Corporation	Why Target’s EPS Could Fall in Fiscal 2018	Target (TGT) managed to improve its sales performance thanks to its continued investments in growth initiatives.	http://finance.yahoo.com/r/6f38ee50-14e0-3831-bda5-e0d97f70d9c1/targets-eps-fall-fiscal-2018?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-01	2018-01-01 15:33:48	TGT	Target Corporation	Why Target’s EPS Could Fall in Fiscal 2018	Target (TGT) managed to improve its sales performance thanks to its continued investments in growth initiatives.	http://finance.yahoo.com/r/6f38ee50-14e0-3831-bda5-e0d97f70d9c1/targets-eps-fall-fiscal-2018?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-02,2018-01-02	2018-01-02 15:31:41	TGT	Target Corporation	Why Analysts Remain Neutral on Target Stock	About 70.0% of analysts covering Target (TGT) maintain a “hold” recommendation on its stock.	http://finance.yahoo.com/r/1cfbd177-3d0a-3ef4-87a8-49e1bd1f7b24/analysts-remain-neutral-target-stock?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-02	2018-01-02 15:31:41	TGT	Target Corporation	Why Analysts Remain Neutral on Target Stock	About 70.0% of analysts covering Target (TGT) maintain a “hold” recommendation on its stock.	http://finance.yahoo.com/r/1cfbd177-3d0a-3ef4-87a8-49e1bd1f7b24/analysts-remain-neutral-target-stock?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-02,2018-01-02	2018-01-02 18:14:25	TGT	Target Corporation	Why Amazon Might Have Its Eyes on Target	Jan.02 -- Bloomberg's Spencer Soper reports on the rumor that Amazon.com Inc. may be interested in acquiring Target Corp. He speaks on &quot;Bloomberg Markets.&quot;	https://finance.yahoo.com/video/why-amazon-might-eyes-target-181425022.html?.tsrc=rss,2018-01-02	2018-01-02 18:14:25	TGT	Target Corporation	Why Amazon Might Have Its Eyes on Target	Jan.02 -- Bloomberg's Spencer Soper reports on the rumor that Amazon.com Inc. may be interested in acquiring Target Corp. He speaks on &quot;Bloomberg Markets.&quot;	https://finance.yahoo.com/video/why-amazon-might-eyes-target-181425022.html?.tsrc=rss
2018-01-02,2018-01-02	2018-01-02 20:08:08	TGT	Target Corporation	J C Penney Co. Needs a Big Move — Like a Breakup?	InvestorPlace Stock Market News Stock Advice amp Trading Tips The bleakest story of the Christmas season was offered by The Washington Post Source Shutterstock It was the tale of a failing mall in western Pennsylvania and its last anchor a J C Penney Company Inc 160	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RwP4kAK_KgM/j-c-penney-co-needs-a-big-move-like-a-breakup-cm899248,2018-01-02	2018-01-02 20:08:08	TGT	Target Corporation	J C Penney Co. Needs a Big Move — Like a Breakup?	InvestorPlace Stock Market News Stock Advice amp Trading Tips The bleakest story of the Christmas season was offered by The Washington Post Source Shutterstock It was the tale of a failing mall in western Pennsylvania and its last anchor a J C Penney Company Inc 160	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RwP4kAK_KgM/j-c-penney-co-needs-a-big-move-like-a-breakup-cm899248
2018-01-02,2018-01-02	2018-01-02 21:09:53	TGT	Target Corporation	Tech Analyst Predicts Amazon Will Buy Target in 2018	InvestorPlace Stock Market News Stock Advice amp Trading Tips Gene 160 Munster a tech analyst believes that Amazon com Inc NASDAQ AMZN will purchase Target Corporation NYSE TGT in 2018 Source Shutterstock Gene Munster the cofounder of 160 Loup Venture	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NphzM9a-Zgw/tech-analyst-predicts-amazon-will-buy-target-in-2018-cm899307,2018-01-02	2018-01-02 21:09:53	TGT	Target Corporation	Tech Analyst Predicts Amazon Will Buy Target in 2018	InvestorPlace Stock Market News Stock Advice amp Trading Tips Gene 160 Munster a tech analyst believes that Amazon com Inc NASDAQ AMZN will purchase Target Corporation NYSE TGT in 2018 Source Shutterstock Gene Munster the cofounder of 160 Loup Venture	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NphzM9a-Zgw/tech-analyst-predicts-amazon-will-buy-target-in-2018-cm899307
2018-01-02,2018-01-02	2018-01-02 22:07:45	TGT	Target Corporation	Is Amazon Looking To Add Retail Giant Target To Its Portfolio?	Sharing his boldest prediction for 2018 venture capitalist Gene Munster on Tuesday said he thinks e commerce leader Amazon AMZN will acquire retail giant Target TGT ibd display video id 3058976 width 50 float left autostart true Getting the timing on this	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9AYxj-RKFIk/is-amazon-looking-to-add-retail-giant-target-to-its-portfolio-cm899167,2018-01-02	2018-01-02 22:07:45	TGT	Target Corporation	Is Amazon Looking To Add Retail Giant Target To Its Portfolio?	Sharing his boldest prediction for 2018 venture capitalist Gene Munster on Tuesday said he thinks e commerce leader Amazon AMZN will acquire retail giant Target TGT ibd display video id 3058976 width 50 float left autostart true Getting the timing on this	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9AYxj-RKFIk/is-amazon-looking-to-add-retail-giant-target-to-its-portfolio-cm899167
2018-01-02,2018-01-02	2018-01-02 15:25:50	TGT	Target Corporation	Amazon to Buy Target in 2018: Analyst	Venture capital firm Loup Ventures has predicted that e-commerce giant Amazon will acquire brick-and-mortar retailer Target in 2018.	https://finance.yahoo.com/news/amazon-buy-target-2018-analyst-152550659.html?.tsrc=rss,2018-01-02	2018-01-02 15:25:50	TGT	Target Corporation	Amazon to Buy Target in 2018: Analyst	Venture capital firm Loup Ventures has predicted that e-commerce giant Amazon will acquire brick-and-mortar retailer Target in 2018.	https://finance.yahoo.com/news/amazon-buy-target-2018-analyst-152550659.html?.tsrc=rss
2018-01-03,2018-01-03	2018-01-03 14:40:25	TGT	Target Corporation	Galloway Says Amazon Doesn't Need Target	Jan.03 -- NYU Stern Professor Scott Galloway discusses the potential for Amazon to acquire Target. He speaks on &quot;Bloomberg Daybreak: Americas.&quot;	https://finance.yahoo.com/video/galloway-says-amazon-better-target-144025844.html?.tsrc=rss,2018-01-03	2018-01-03 14:40:25	TGT	Target Corporation	Galloway Says Amazon Doesn't Need Target	Jan.03 -- NYU Stern Professor Scott Galloway discusses the potential for Amazon to acquire Target. He speaks on &quot;Bloomberg Daybreak: Americas.&quot;	https://finance.yahoo.com/video/galloway-says-amazon-better-target-144025844.html?.tsrc=rss
2018-01-03,2018-01-03	2018-01-03 16:17:40	TGT	Target Corporation	Stocks Showing Improved Relative Strength: Target	On Wednesday Target TGT got a positive adjustment to its Relative Strength RS Rating from 68 to 77 ibd display video id 2881825 width 50 float left autostart true IBD s unique RS Rating tracks technical performance by using a 1 worst to 99 best	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/52FsMxFHu9E/stocks-showing-improved-relative-strength-target-cm899772,2018-01-03	2018-01-03 16:17:40	TGT	Target Corporation	Stocks Showing Improved Relative Strength: Target	On Wednesday Target TGT got a positive adjustment to its Relative Strength RS Rating from 68 to 77 ibd display video id 2881825 width 50 float left autostart true IBD s unique RS Rating tracks technical performance by using a 1 worst to 99 best	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/52FsMxFHu9E/stocks-showing-improved-relative-strength-target-cm899772
