publishedAt,title,description
2018-01-01,2018	PACCAR Inc PCAR will begin trading ex dividend on November 09 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on December 04 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OEeeK3OItmI/paccar-inc-pcar-ex-dividend-date-scheduled-for-november-09-2018-cm1052580,2018	PACCAR Inc PCAR will begin trading ex dividend on November 09 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on December 04 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OEeeK3OItmI/paccar-inc-pcar-ex-dividend-date-scheduled-for-november-09-2018-cm1052580
2018-01-01,2018	Pivotal Software Inc s PVTL shares jumped 33 after the company posted fiscal first quarter 2019 loss per share of 0 10 narrower than the Zacks Consensus Estimate of a loss per share of 0 13 Korn Ferry International KFY surged 12 2 after the company posted	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8FCdwaUagIQ/company-news-for-jun-14-2018-cm978306,2018	Pivotal Software Inc s PVTL shares jumped 33 after the company posted fiscal first quarter 2019 loss per share of 0 10 narrower than the Zacks Consensus Estimate of a loss per share of 0 13 Korn Ferry International KFY surged 12 2 after the company posted	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8FCdwaUagIQ/company-news-for-jun-14-2018-cm978306
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-midday-movers-134000530.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-midday-movers-134000530.html?.tsrc=rss
2018-01-01,2018	CNBC Markets Now provides a look at the day's market moves with commentary and analysis.	https://finance.yahoo.com/video/cnbc-markets-now-august-03-224900178.html?.tsrc=rss,2018	CNBC Markets Now provides a look at the day's market moves with commentary and analysis.	https://finance.yahoo.com/video/cnbc-markets-now-august-03-224900178.html?.tsrc=rss
2018-01-01,2018	PACCAR Inc PCAR will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on September 05 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3fKQ1as_gqc/paccar-inc-pcar-ex-dividend-date-scheduled-for-august-13-2018-cm1005649,2018	PACCAR Inc PCAR will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on September 05 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3fKQ1as_gqc/paccar-inc-pcar-ex-dividend-date-scheduled-for-august-13-2018-cm1005649
2018-01-01,2018	PACCAR Inc PCAR will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on September 05 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/APJKObYYL2I/paccar-inc-pcar-ex-dividend-date-scheduled-for-august-13-2018-cm1005649,2018	PACCAR Inc PCAR will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 28 per share is scheduled to be paid on September 05 2018 Shareholders who purchased PCAR prior to the ex dividend date are eligible for the cash dividend payment This represents an	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/APJKObYYL2I/paccar-inc-pcar-ex-dividend-date-scheduled-for-august-13-2018-cm1005649
2018-01-01,2018	Federal Signal Corporation FSS will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on August 28 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9gn4EctOfoc/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-august-13-2018-cm1005652,2018	Federal Signal Corporation FSS will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on August 28 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9gn4EctOfoc/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-august-13-2018-cm1005652
2018-01-01,2018	Federal Signal Corporation FSS will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on August 28 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6JaFbPd2LGg/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-august-13-2018-cm1005652,2018	Federal Signal Corporation FSS will begin trading ex dividend on August 13 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on August 28 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6JaFbPd2LGg/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-august-13-2018-cm1005652
2018-01-01,2018	Oshkosh Corporation OSK will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on August 30 2018 Shareholders who purchased OSK prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_dfpOVlYx_0/oshkosh-corporation-osk-ex-dividend-date-scheduled-for-august-15-2018-cm1007250,2018	Oshkosh Corporation OSK will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on August 30 2018 Shareholders who purchased OSK prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_dfpOVlYx_0/oshkosh-corporation-osk-ex-dividend-date-scheduled-for-august-15-2018-cm1007250
2018-01-01,2018	Oshkosh Corporation OSK will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on August 30 2018 Shareholders who purchased OSK prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/H2AjjFLk08g/oshkosh-corporation-osk-ex-dividend-date-scheduled-for-august-15-2018-cm1007250,2018	Oshkosh Corporation OSK will begin trading ex dividend on August 15 2018 A cash dividend payment of 0 24 per share is scheduled to be paid on August 30 2018 Shareholders who purchased OSK prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/H2AjjFLk08g/oshkosh-corporation-osk-ex-dividend-date-scheduled-for-august-15-2018-cm1007250
2018-01-01,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0h8ZHlR6LYQ/company-news-for-aug-20-2018-cm1010067,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0h8ZHlR6LYQ/company-news-for-aug-20-2018-cm1010067
2018-01-01,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/d2vRziixAAo/company-news-for-aug-20-2018-cm1010067,2018	Nordstrom Inc JWN shares jumped 13 2 after the company reported second quarter 2018 adjusted earnings per share of 0 95 surpassing the Zacks Consensus Estimate of 0 84 Deere amp Company DE increased 2 4 after the company posted fiscal third quarter 2018 revenues of 9	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/d2vRziixAAo/company-news-for-aug-20-2018-cm1010067
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-111000412.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-111000412.html?.tsrc=rss
2018-01-01,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-111000442.html?.tsrc=rss,2018	Yahoo Finance's LIVE stock market coverage and analysis.	https://finance.yahoo.com/video/yahoo-finance-live-market-movers-111000442.html?.tsrc=rss
2018-01-01,2018	Federal Signal Corporation FSS will begin trading ex dividend on November 09 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on November 27 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/F4upjIvELBM/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-november-09-2018-cm1052572,2018	Federal Signal Corporation FSS will begin trading ex dividend on November 09 2018 A cash dividend payment of 0 08 per share is scheduled to be paid on November 27 2018 Shareholders who purchased FSS prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/F4upjIvELBM/federal-signal-corporation-fss-ex-dividend-date-scheduled-for-november-09-2018-cm1052572
