publishedAt,title,description
2018-01-01,2018	Curtiss Wright Corporation CW will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 15 per share is scheduled to be paid on December 07 2018 Shareholders who purchased CW prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MHt3wc0SEII/curtiss-wright-corporation-cw-ex-dividend-date-scheduled-for-november-29-2018-cm1061555,2018	Curtiss Wright Corporation CW will begin trading ex dividend on November 29 2018 A cash dividend payment of 0 15 per share is scheduled to be paid on December 07 2018 Shareholders who purchased CW prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/MHt3wc0SEII/curtiss-wright-corporation-cw-ex-dividend-date-scheduled-for-november-29-2018-cm1061555
2018-01-01,2018	Brunswick Corporation BC will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on September 14 2018 Shareholders who purchased BC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bw6JGPKLRd8/brunswick-corporation-bc-ex-dividend-date-scheduled-for-august-20-2018-cm1009177,2018	Brunswick Corporation BC will begin trading ex dividend on August 20 2018 A cash dividend payment of 0 19 per share is scheduled to be paid on September 14 2018 Shareholders who purchased BC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bw6JGPKLRd8/brunswick-corporation-bc-ex-dividend-date-scheduled-for-august-20-2018-cm1009177
2018-01-01,2018	Cummins Inc CMI will begin trading ex dividend on August 21 2018 A cash dividend payment of 1 14 per share is scheduled to be paid on September 04 2018 Shareholders who purchased CMI prior to the ex dividend date are eligible for the cash dividend payment This represents an 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uxiWxhM4Hmk/cummins-inc-cmi-ex-dividend-date-scheduled-for-august-21-2018-cm1009915,2018	Cummins Inc CMI will begin trading ex dividend on August 21 2018 A cash dividend payment of 1 14 per share is scheduled to be paid on September 04 2018 Shareholders who purchased CMI prior to the ex dividend date are eligible for the cash dividend payment This represents an 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uxiWxhM4Hmk/cummins-inc-cmi-ex-dividend-date-scheduled-for-august-21-2018-cm1009915
2018-01-01,2018	Cummins Inc CMI will begin trading ex dividend on August 21 2018 A cash dividend payment of 1 14 per share is scheduled to be paid on September 04 2018 Shareholders who purchased CMI prior to the ex dividend date are eligible for the cash dividend payment This represents an 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WvvkKLAackg/cummins-inc-cmi-ex-dividend-date-scheduled-for-august-21-2018-cm1009915,2018	Cummins Inc CMI will begin trading ex dividend on August 21 2018 A cash dividend payment of 1 14 per share is scheduled to be paid on September 04 2018 Shareholders who purchased CMI prior to the ex dividend date are eligible for the cash dividend payment This represents an 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WvvkKLAackg/cummins-inc-cmi-ex-dividend-date-scheduled-for-august-21-2018-cm1009915
2018-01-01,2018	Northrop Grumman Corporation NOC will begin trading ex dividend on August 24 2018 A cash dividend payment of 1 2 per share is scheduled to be paid on September 12 2018 Shareholders who purchased NOC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LA1uPkCzpGc/northrop-grumman-corporation-noc-ex-dividend-date-scheduled-for-august-24-2018-cm1011860,2018	Northrop Grumman Corporation NOC will begin trading ex dividend on August 24 2018 A cash dividend payment of 1 2 per share is scheduled to be paid on September 12 2018 Shareholders who purchased NOC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LA1uPkCzpGc/northrop-grumman-corporation-noc-ex-dividend-date-scheduled-for-august-24-2018-cm1011860
2018-01-01,2018	Northrop Grumman Corporation NOC will begin trading ex dividend on August 24 2018 A cash dividend payment of 1 2 per share is scheduled to be paid on September 12 2018 Shareholders who purchased NOC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LnE6M1G7VXA/northrop-grumman-corporation-noc-ex-dividend-date-scheduled-for-august-24-2018-cm1011860,2018	Northrop Grumman Corporation NOC will begin trading ex dividend on August 24 2018 A cash dividend payment of 1 2 per share is scheduled to be paid on September 12 2018 Shareholders who purchased NOC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LnE6M1G7VXA/northrop-grumman-corporation-noc-ex-dividend-date-scheduled-for-august-24-2018-cm1011860
2018-01-01,2018	Cubic Corporation CUB will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 135 per share is scheduled to be paid on September 10 2018 Shareholders who purchased CUB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8BkOCyNSKeM/cubic-corporation-cub-ex-dividend-date-scheduled-for-august-29-2018-cm1013909,2018	Cubic Corporation CUB will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 135 per share is scheduled to be paid on September 10 2018 Shareholders who purchased CUB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8BkOCyNSKeM/cubic-corporation-cub-ex-dividend-date-scheduled-for-august-29-2018-cm1013909
2018-01-01,2018	Cubic Corporation CUB will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 135 per share is scheduled to be paid on September 10 2018 Shareholders who purchased CUB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQ1pdJB5QqY/cubic-corporation-cub-ex-dividend-date-scheduled-for-august-29-2018-cm1013909,2018	Cubic Corporation CUB will begin trading ex dividend on August 29 2018 A cash dividend payment of 0 135 per share is scheduled to be paid on September 10 2018 Shareholders who purchased CUB prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQ1pdJB5QqY/cubic-corporation-cub-ex-dividend-date-scheduled-for-august-29-2018-cm1013909
2018-01-01,2018	Tennant Company TNC will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on September 14 2018 Shareholders who purchased TNC prior to the ex dividend date are eligible for the cash dividend payment This marks the 8th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/x3pthYTbhNc/tennant-company-tnc-ex-dividend-date-scheduled-for-august-30-2018-cm1014571,2018	Tennant Company TNC will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on September 14 2018 Shareholders who purchased TNC prior to the ex dividend date are eligible for the cash dividend payment This marks the 8th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/x3pthYTbhNc/tennant-company-tnc-ex-dividend-date-scheduled-for-august-30-2018-cm1014571
2018-01-01,2018	Tennant Company TNC will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on September 14 2018 Shareholders who purchased TNC prior to the ex dividend date are eligible for the cash dividend payment This marks the 8th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zergshW6NzQ/tennant-company-tnc-ex-dividend-date-scheduled-for-august-30-2018-cm1014571,2018	Tennant Company TNC will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on September 14 2018 Shareholders who purchased TNC prior to the ex dividend date are eligible for the cash dividend payment This marks the 8th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zergshW6NzQ/tennant-company-tnc-ex-dividend-date-scheduled-for-august-30-2018-cm1014571
