publishedAt,title,description
2018-01-02,"The year in energy was dominated by a rollback of Obama-era regulations, and a strong recovery in the oil sector",The 10 Energy Stories That Defined 2017
2018-01-03,"Of the 102 Norwegian Arctic oil blocks or parts of blocks auctioned in December, there was only one supermajor in the crowd",Can Norway Survive Without Big Oil?
2018-01-03,European Shares Inch Higher Amid Mifid Launch,European Shares Inch Higher Amid Mifid Launch
2018-01-03,In 2017 oil prices recovered significantly Posting its second annual gain in a row the commodity closed 2017 up more than 12 The U S oil benchmark ended the year at 60 42 per barrel its highest closing since June 2015 However this wasn t reflected in the budgeted,What 2018 May Bring for Oil & Gas Exploration
2018-01-04,Canadian Market Still In Festive Mood -- Canadian Commentary,Canadian Market Still In Festive Mood -- Canadian Commentary
2018-01-04,Petroleo Brasileiro S A aka 160 Petrobras PBR which has been reeling under severe graft and corruption charges recently agreed to pay 2 95 billion to settle class action lawsuits filed by investors The payout marks the biggest such payment in the United States by a foreign entity,Petrobras (PBR) to Pay $2.95B for Settling Investor Lawsuit
2018-01-04,Suncor Energy (SU) will now provide more funds for the Fort Hills Project.,Suncor Energy (SU) Increases Stake in Fort Hills Project
2018-01-04,Bay Street Steady Despite Bad Day For Stoners -- Canadian Commentary,Bay Street Steady Despite Bad Day For Stoners -- Canadian Commentary
2018-01-05,Chevron Corporation s CVX efforts to divest its stake in its South Africa business to China Petroleum amp Chemical Corporation SNP better known as Sinopec has been approved by the country s Competition Commission Notably Sinopec will acquire 75 stake in the assets through,Chevron & Sinopec's South Africa Deal Receives Green Signal
2018-01-07,"After a lackluster couple of years, the largest names in the oil and gas industry could be a good place to invest now.",This Is the Best Big Oil Stock to Buy in 2018
2018-01-08,"The Iranian oil tanker that collided with a Chinese vessel on Saturday continues to burn, endangering rescue operations",Iranian Oil Tanker Engulfed In Flames Following Collision
2018-01-08,"Target, Vale, and Total pay investors a higher dividend and are attractive income candidates today.",3 Dividend Stocks With Better Yields Than Chevron
2018-01-09,Where Is ExxonMobil Trending on the Surge in Oil Prices?ExxonMobil stock performance,How Has ExxonMobil Stock Performed Compared to SPY?
2018-01-09,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Vanguard FTSE Europe ETF Symbol VGK where we have detected an approximate 91 2 million dollar inflow that s a 0 5 increase week over week in outstanding,"VGK, BTI, BP, TOT: ETF Inflow Alert"
2018-01-10,MV Oil Trust MVO will begin trading ex dividend on January 11 2018 A cash dividend payment of 0 22 per share is scheduled to be paid on January 25 2018 Shareholders who purchased MVO prior to the ex dividend date are eligible for the cash dividend payment This represents an 76,"MV Oil Trust (MVO) Ex-Dividend Date Scheduled for January 11, 2018"
2018-01-10,How Prepared Is ExxonMobil for 2018?,Analyst Recommendations for ExxonMobil: Why ‘Hold’ and ‘Sell’?
2018-01-11,Sabine Royalty Trust SBR will begin trading ex dividend on January 12 2018 A cash dividend payment of 0 227 per share is scheduled to be paid on January 30 2018 Shareholders who purchased SBR prior to the ex dividend date are eligible for the cash dividend payment This represents,"Sabine Royalty Trust (SBR) Ex-Dividend Date Scheduled for January 12, 2018"
2018-01-11,RGC Resources Inc RGCO will begin trading ex dividend on January 12 2018 A cash dividend payment of 0 155 per share is scheduled to be paid on February 01 2018 Shareholders who purchased RGCO prior to the ex dividend date are eligible for the cash dividend payment This represents,"RGC Resources Inc. (RGCO) Ex-Dividend Date Scheduled for January 12, 2018"
2018-01-12,"XOM, CVX, Shell, and BP: Analysts’ Earnings Expectations","Chevron’s 4Q17 Estimates: Leads the List Compared to BP, Shell, and XOM"
2018-01-12,EOG Resources Inc EOG will begin trading ex dividend on January 16 2018 A cash dividend payment of 0 168 per share is scheduled to be paid on January 31 2018 Shareholders who purchased EOG prior to the ex dividend date are eligible for the cash dividend payment This marks the,"EOG Resources, Inc. (EOG) Ex-Dividend Date Scheduled for January 16, 2018"
2018-01-12,American depository receipts of European stocks were trading 0 68 higher at 147 49 on the Bank of New York Mellon Europe ADR Index on Friday American depository receipts of European stocks were trading 0 68 higher at 147 49 on the Bank of New York Mellon Europe ADR Index on Friday In,European ADRs Move Higher in Friday Trading
