publishedAt,title,description
2018-01-01,2018	Inter Parfums Inc IPAR will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on October 15 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SFY8HcxhgOQ/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-september-27-2018-cm1028131,2018	Inter Parfums Inc IPAR will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on October 15 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SFY8HcxhgOQ/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-september-27-2018-cm1028131
2018-01-01,2018	Inter Parfums Inc IPAR will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on October 15 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4oCw3YE8yxQ/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-september-27-2018-cm1028131,2018	Inter Parfums Inc IPAR will begin trading ex dividend on September 27 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on October 15 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4oCw3YE8yxQ/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-september-27-2018-cm1028131
2018-01-01,2018	Inter Parfums Inc IPAR will begin trading ex dividend on March 28 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on April 13 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This represents an 23	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SXx2i2pnkfs/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-march-28-2018-cm940217,2018	Inter Parfums Inc IPAR will begin trading ex dividend on March 28 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on April 13 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This represents an 23	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SXx2i2pnkfs/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-march-28-2018-cm940217
2018-01-01,2018	Inter Parfums Inc IPAR will begin trading ex dividend on March 28 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on April 13 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This represents an 23	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kl705MDymGA/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-march-28-2018-cm940217,2018	Inter Parfums Inc IPAR will begin trading ex dividend on March 28 2018 A cash dividend payment of 0 21 per share is scheduled to be paid on April 13 2018 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This represents an 23	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kl705MDymGA/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-march-28-2018-cm940217
2019-01-01,2019	Estee Lauder Companies Inc EL will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 43 per share is scheduled to be paid on September 16 2019 Shareholders who purchased EL prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dE48j1xz1_k/estee-lauder-companies-inc-el-ex-dividend-date-scheduled-for-august-29-2019-cm1204368,2019	Estee Lauder Companies Inc EL will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 43 per share is scheduled to be paid on September 16 2019 Shareholders who purchased EL prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/dE48j1xz1_k/estee-lauder-companies-inc-el-ex-dividend-date-scheduled-for-august-29-2019-cm1204368
2019-01-01,2019	Estee Lauder Companies Inc EL will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 43 per share is scheduled to be paid on September 16 2019 Shareholders who purchased EL prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/329SBe0jXQ0/estee-lauder-companies-inc-el-ex-dividend-date-scheduled-for-august-29-2019-cm1204368,2019	Estee Lauder Companies Inc EL will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 43 per share is scheduled to be paid on September 16 2019 Shareholders who purchased EL prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/329SBe0jXQ0/estee-lauder-companies-inc-el-ex-dividend-date-scheduled-for-august-29-2019-cm1204368
2019-01-01,2019	Church amp Dwight Company Inc CHD will begin trading ex dividend on August 14 2019 A cash dividend payment of 0 228 per share is scheduled to be paid on September 03 2019 Shareholders who purchased CHD prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JT8UE0rCrOQ/church-dwight-company-inc-chd-ex-dividend-date-scheduled-for-august-14-2019-cm1197248,2019	Church amp Dwight Company Inc CHD will begin trading ex dividend on August 14 2019 A cash dividend payment of 0 228 per share is scheduled to be paid on September 03 2019 Shareholders who purchased CHD prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JT8UE0rCrOQ/church-dwight-company-inc-chd-ex-dividend-date-scheduled-for-august-14-2019-cm1197248
2019-01-01,2019	Church amp Dwight Company Inc CHD will begin trading ex dividend on August 14 2019 A cash dividend payment of 0 228 per share is scheduled to be paid on September 03 2019 Shareholders who purchased CHD prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D6V90ptwQU4/church-dwight-company-inc-chd-ex-dividend-date-scheduled-for-august-14-2019-cm1197248,2019	Church amp Dwight Company Inc CHD will begin trading ex dividend on August 14 2019 A cash dividend payment of 0 228 per share is scheduled to be paid on September 03 2019 Shareholders who purchased CHD prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/D6V90ptwQU4/church-dwight-company-inc-chd-ex-dividend-date-scheduled-for-august-14-2019-cm1197248
2019-01-01,2019	Inter Parfums Inc IPAR will begin trading ex dividend on June 27 2019 A cash dividend payment of 0 275 per share is scheduled to be paid on July 15 2019 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-2LjNxde5aw/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-june-27-2019-cm1168681,2019	Inter Parfums Inc IPAR will begin trading ex dividend on June 27 2019 A cash dividend payment of 0 275 per share is scheduled to be paid on July 15 2019 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-2LjNxde5aw/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-june-27-2019-cm1168681
2019-01-01,2019	Inter Parfums Inc IPAR will begin trading ex dividend on June 27 2019 A cash dividend payment of 0 275 per share is scheduled to be paid on July 15 2019 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7WPuNyMSsB8/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-june-27-2019-cm1168681,2019	Inter Parfums Inc IPAR will begin trading ex dividend on June 27 2019 A cash dividend payment of 0 275 per share is scheduled to be paid on July 15 2019 Shareholders who purchased IPAR prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7WPuNyMSsB8/inter-parfums-inc-ipar-ex-dividend-date-scheduled-for-june-27-2019-cm1168681
