publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/unitedhealth-group-inc-unh-files-214806934.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/unitedhealth-group-inc-unh-files-214806934.html?.tsrc=rss
2017-01-01,2017.	https://finance.yahoo.com/m/e881e0cb-2329-373b-b30d-760d3e697012/unitedhealth-stock-hit.html?.tsrc=rss,2017.	https://finance.yahoo.com/m/e881e0cb-2329-373b-b30d-760d3e697012/unitedhealth-stock-hit.html?.tsrc=rss
2018-01-01,2018	Anthem Inc ANTM will begin trading ex dividend on December 04 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on December 21 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bop6M2M2mv4/anthem-inc-antm-ex-dividend-date-scheduled-for-december-04-2018-cm1063646,2018	Anthem Inc ANTM will begin trading ex dividend on December 04 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on December 21 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/bop6M2M2mv4/anthem-inc-antm-ex-dividend-date-scheduled-for-december-04-2018-cm1063646
2018-01-01,2018	Patterson Companies Inc PDCO will begin trading ex dividend on October 11 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 26 2018 Shareholders who purchased PDCO prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NAtzkTIMcNY/patterson-companies-inc-pdco-ex-dividend-date-scheduled-for-october-11-2018-cm1034660,2018	Patterson Companies Inc PDCO will begin trading ex dividend on October 11 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 26 2018 Shareholders who purchased PDCO prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NAtzkTIMcNY/patterson-companies-inc-pdco-ex-dividend-date-scheduled-for-october-11-2018-cm1034660
2018-01-01,2018	Patterson Companies Inc PDCO will begin trading ex dividend on October 11 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 26 2018 Shareholders who purchased PDCO prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FEekfGdaaQQ/patterson-companies-inc-pdco-ex-dividend-date-scheduled-for-october-11-2018-cm1034660,2018	Patterson Companies Inc PDCO will begin trading ex dividend on October 11 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 26 2018 Shareholders who purchased PDCO prior to the ex dividend date are eligible for the cash dividend payment This marks	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FEekfGdaaQQ/patterson-companies-inc-pdco-ex-dividend-date-scheduled-for-october-11-2018-cm1034660
2018-01-01,2018	Owens amp Minor Inc OMI will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 01 2018 Shareholders who purchased OMI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FLRejL28SjY/owens-minor-inc-omi-ex-dividend-date-scheduled-for-september-14-2018-cm1022283,2018	Owens amp Minor Inc OMI will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 01 2018 Shareholders who purchased OMI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/FLRejL28SjY/owens-minor-inc-omi-ex-dividend-date-scheduled-for-september-14-2018-cm1022283
2018-01-01,2018	Owens amp Minor Inc OMI will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 01 2018 Shareholders who purchased OMI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/oFJBaQ4POo4/owens-minor-inc-omi-ex-dividend-date-scheduled-for-september-14-2018-cm1022283,2018	Owens amp Minor Inc OMI will begin trading ex dividend on September 14 2018 A cash dividend payment of 0 26 per share is scheduled to be paid on October 01 2018 Shareholders who purchased OMI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/oFJBaQ4POo4/owens-minor-inc-omi-ex-dividend-date-scheduled-for-september-14-2018-cm1022283
2018-01-01,2018	Anthem Inc ANTM will begin trading ex dividend on September 07 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on September 25 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Eps-6ttn_5M/anthem-inc-antm-ex-dividend-date-scheduled-for-september-07-2018-cm1018473,2018	Anthem Inc ANTM will begin trading ex dividend on September 07 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on September 25 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Eps-6ttn_5M/anthem-inc-antm-ex-dividend-date-scheduled-for-september-07-2018-cm1018473
2018-01-01,2018	Anthem Inc ANTM will begin trading ex dividend on September 07 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on September 25 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JfkLT-8ImOI/anthem-inc-antm-ex-dividend-date-scheduled-for-september-07-2018-cm1018473,2018	Anthem Inc ANTM will begin trading ex dividend on September 07 2018 A cash dividend payment of 0 75 per share is scheduled to be paid on September 25 2018 Shareholders who purchased ANTM prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/JfkLT-8ImOI/anthem-inc-antm-ex-dividend-date-scheduled-for-september-07-2018-cm1018473
2018-01-01,2018 guidance pulled up.	https://finance.yahoo.com/news/unitedhealth-apos-unh-q2-earnings-132601437.html?.tsrc=rss,2018 guidance pulled up.	https://finance.yahoo.com/news/unitedhealth-apos-unh-q2-earnings-132601437.html?.tsrc=rss
