publishedAt,title,description
2017-01-01,2017.	https://finance.yahoo.com/news/union-pacific-corporation-unp-q4-175300307.html?.tsrc=rss,2017.	https://finance.yahoo.com/news/union-pacific-corporation-unp-q4-175300307.html?.tsrc=rss
2018-01-01,2018.	https://finance.yahoo.com/news/union-pacific-corporation-unp-q2-150600627.html?.tsrc=rss,2018.	https://finance.yahoo.com/news/union-pacific-corporation-unp-q2-150600627.html?.tsrc=rss
2018-01-01,2018	Norfolk Souther Corporation NSC will begin trading ex dividend on August 03 2018 A cash dividend payment of 0 8 per share is scheduled to be paid on September 10 2018 Shareholders who purchased NSC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BYOXSMOry2g/norfolk-souther-corporation-nsc-ex-dividend-date-scheduled-for-august-03-2018-cm1000911,2018	Norfolk Souther Corporation NSC will begin trading ex dividend on August 03 2018 A cash dividend payment of 0 8 per share is scheduled to be paid on September 10 2018 Shareholders who purchased NSC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BYOXSMOry2g/norfolk-souther-corporation-nsc-ex-dividend-date-scheduled-for-august-03-2018-cm1000911
2018-01-01,2018	Norfolk Souther Corporation NSC will begin trading ex dividend on August 03 2018 A cash dividend payment of 0 8 per share is scheduled to be paid on September 10 2018 Shareholders who purchased NSC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/I5pryfZ3fo8/norfolk-souther-corporation-nsc-ex-dividend-date-scheduled-for-august-03-2018-cm1000911,2018	Norfolk Souther Corporation NSC will begin trading ex dividend on August 03 2018 A cash dividend payment of 0 8 per share is scheduled to be paid on September 10 2018 Shareholders who purchased NSC prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/I5pryfZ3fo8/norfolk-souther-corporation-nsc-ex-dividend-date-scheduled-for-august-03-2018-cm1000911
2018-01-01,2018	USD Partners LP USDP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 355 per share is scheduled to be paid on August 14 2018 Shareholders who purchased USDP prior to the ex dividend date are eligible for the cash dividend payment This represents an 0	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xuNqIhDkGd8/usd-partners-lp-usdp-ex-dividend-date-scheduled-for-august-06-2018-cm1001791,2018	USD Partners LP USDP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 355 per share is scheduled to be paid on August 14 2018 Shareholders who purchased USDP prior to the ex dividend date are eligible for the cash dividend payment This represents an 0	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/xuNqIhDkGd8/usd-partners-lp-usdp-ex-dividend-date-scheduled-for-august-06-2018-cm1001791
2018-01-01,2018	USD Partners LP USDP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 355 per share is scheduled to be paid on August 14 2018 Shareholders who purchased USDP prior to the ex dividend date are eligible for the cash dividend payment This represents an 0	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KQL6EnR6KZI/usd-partners-lp-usdp-ex-dividend-date-scheduled-for-august-06-2018-cm1001791,2018	USD Partners LP USDP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 355 per share is scheduled to be paid on August 14 2018 Shareholders who purchased USDP prior to the ex dividend date are eligible for the cash dividend payment This represents an 0	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KQL6EnR6KZI/usd-partners-lp-usdp-ex-dividend-date-scheduled-for-august-06-2018-cm1001791
2018-01-01,2018	Westinghouse Air Brake Technologies Corporation WAB will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 24 2018 Shareholders who purchased WAB prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/oSBR-KMbhOk/westinghouse-air-brake-technologies-corporation-wab-ex-dividend-date-scheduled-for-august-09-2018-cm1004001,2018	Westinghouse Air Brake Technologies Corporation WAB will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 24 2018 Shareholders who purchased WAB prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/oSBR-KMbhOk/westinghouse-air-brake-technologies-corporation-wab-ex-dividend-date-scheduled-for-august-09-2018-cm1004001
2018-01-01,2018	Westinghouse Air Brake Technologies Corporation WAB will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 24 2018 Shareholders who purchased WAB prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9t3BPvIm7Hw/westinghouse-air-brake-technologies-corporation-wab-ex-dividend-date-scheduled-for-august-09-2018-cm1004001,2018	Westinghouse Air Brake Technologies Corporation WAB will begin trading ex dividend on August 09 2018 A cash dividend payment of 0 12 per share is scheduled to be paid on August 24 2018 Shareholders who purchased WAB prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9t3BPvIm7Hw/westinghouse-air-brake-technologies-corporation-wab-ex-dividend-date-scheduled-for-august-09-2018-cm1004001
2018-01-01,2018	CSX Corporation CSX will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 22 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CSX prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9sp2YG2HFUA/csx-corporation-csx-ex-dividend-date-scheduled-for-august-30-2018-cm1014576,2018	CSX Corporation CSX will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 22 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CSX prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9sp2YG2HFUA/csx-corporation-csx-ex-dividend-date-scheduled-for-august-30-2018-cm1014576
2018-01-01,2018	CSX Corporation CSX will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 22 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CSX prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8Cyeg5dyo4I/csx-corporation-csx-ex-dividend-date-scheduled-for-august-30-2018-cm1014576,2018	CSX Corporation CSX will begin trading ex dividend on August 30 2018 A cash dividend payment of 0 22 per share is scheduled to be paid on September 14 2018 Shareholders who purchased CSX prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8Cyeg5dyo4I/csx-corporation-csx-ex-dividend-date-scheduled-for-august-30-2018-cm1014576
