publishedAt,title,description
2018-01-02,2018-01-02	2018-01-02 12:17:00	V	Visa Inc.	Better Buy: Visa Inc. vs. Square	Which is the better way to invest in fintech?	https://finance.yahoo.com/news/better-buy-visa-inc-vs-121700887.html?.tsrc=rss,2018-01-02	2018-01-02 12:17:00	V	Visa Inc.	Better Buy: Visa Inc. vs. Square	Which is the better way to invest in fintech?	https://finance.yahoo.com/news/better-buy-visa-inc-vs-121700887.html?.tsrc=rss
2018-01-02,2018-01-02	2018-01-02 16:09:37	V	Visa Inc.	The Best 2018 New Year's Resolution You Can Make	There s no better time than the beginning of the year to make important changes to your finances You can find plenty of ambitious ways to make your money life a little more comfortable Yet when it comes right down to it there s one single resolution that you can make to	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/u9w_ZIQs_U8/the-best-2018-new-years-resolution-you-can-make-cm898989,2018-01-02	2018-01-02 16:09:37	V	Visa Inc.	The Best 2018 New Year's Resolution You Can Make	There s no better time than the beginning of the year to make important changes to your finances You can find plenty of ambitious ways to make your money life a little more comfortable Yet when it comes right down to it there s one single resolution that you can make to	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/u9w_ZIQs_U8/the-best-2018-new-years-resolution-you-can-make-cm898989
2018-01-02,2018-01-02	2018-01-02 14:10:07	V	Visa Inc.	Better Buy: Visa Inc. vs. Square	From a distance Visa NYSE V and Square NYSE SQ may seem like completely different companies but they are more similar than you might think Both are big beneficiaries of the trend toward a cashless society have phenomenal international opportunities and are leaders in	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kulai0U_p0Q/better-buy-visa-inc-vs-square-cm898877,2018-01-02	2018-01-02 14:10:07	V	Visa Inc.	Better Buy: Visa Inc. vs. Square	From a distance Visa NYSE V and Square NYSE SQ may seem like completely different companies but they are more similar than you might think Both are big beneficiaries of the trend toward a cashless society have phenomenal international opportunities and are leaders in	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kulai0U_p0Q/better-buy-visa-inc-vs-square-cm898877
2018-01-02,2018-01-02	2018-01-02 15:55:35	V	Visa Inc.	South Korea talks with North Korea over Winter Olympics	Leaders of South Korea will talk with North Korea about cooperating for next month’s Winter Olympics in Seoul. Yahoo Finance’s Alexis Christoforous and Editor-in-Chief Andy Serwer figure out if the United States should be concerned.	https://finance.yahoo.com/video/south-korea-talks-north-korea-155535693.html?.tsrc=rss,2018-01-02	2018-01-02 15:55:35	V	Visa Inc.	South Korea talks with North Korea over Winter Olympics	Leaders of South Korea will talk with North Korea about cooperating for next month’s Winter Olympics in Seoul. Yahoo Finance’s Alexis Christoforous and Editor-in-Chief Andy Serwer figure out if the United States should be concerned.	https://finance.yahoo.com/video/south-korea-talks-north-korea-155535693.html?.tsrc=rss
2018-01-03,2018-01-03	2018-01-03 11:00:00	V	Visa Inc.	3 Top Quality Stocks for 2017	Investors define quality stocks as those that offer more reliability and less risk.	http://finance.yahoo.com/r/a1f5643c-4fc9-393a-8543-27cc82d85c2c/3-top-quality-stocks?partner=YahooSA&yptr=yahoo&.tsrc=rss,2018-01-03	2018-01-03 11:00:00	V	Visa Inc.	3 Top Quality Stocks for 2017	Investors define quality stocks as those that offer more reliability and less risk.	http://finance.yahoo.com/r/a1f5643c-4fc9-393a-8543-27cc82d85c2c/3-top-quality-stocks?partner=YahooSA&yptr=yahoo&.tsrc=rss
2018-01-04,2018-01-04	2018-01-04 00:36:00	V	Visa Inc.	Dow's biggest winners & losers in 2017	Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.	https://finance.yahoo.com/video/dows-biggest-winners-losers-2017-003600791.html?.tsrc=rss,2018-01-04	2018-01-04 00:36:00	V	Visa Inc.	Dow's biggest winners & losers in 2017	Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.	https://finance.yahoo.com/video/dows-biggest-winners-losers-2017-003600791.html?.tsrc=rss
2018-01-04,2018-01-04	2018-01-04 00:01:00	V	Visa Inc.	Cramer reviews the Dow's biggest winners and losers for 2...	Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.	https://finance.yahoo.com/video/cramer-reviews-dows-biggest-winners-000100033.html?.tsrc=rss,2018-01-04	2018-01-04 00:01:00	V	Visa Inc.	Cramer reviews the Dow's biggest winners and losers for 2...	Jim Cramer reviewed the Dow Jones industrial average's best and worst performers for the 2017 calendar year.	https://finance.yahoo.com/video/cramer-reviews-dows-biggest-winners-000100033.html?.tsrc=rss
2018-01-05,2018-01-05	2018-01-05 01:09:21	V	Visa Inc.	Bitcoin’s Major Problem Is That It’s a Terrible Currency	InvestorPlace Stock Market News Stock Advice amp Trading Tips Set aside for a moment the argument about the Bitcoin price Ignore the short term movements both in the recent past and the near future Bitcoin as a trading vehicle no doubt is exhilarating and terrifying	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/116M6IV95AI/bitcoins-major-problem-is-that-its-a-terrible-currency-cm900684,2018-01-05	2018-01-05 01:09:21	V	Visa Inc.	Bitcoin’s Major Problem Is That It’s a Terrible Currency	InvestorPlace Stock Market News Stock Advice amp Trading Tips Set aside for a moment the argument about the Bitcoin price Ignore the short term movements both in the recent past and the near future Bitcoin as a trading vehicle no doubt is exhilarating and terrifying	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/116M6IV95AI/bitcoins-major-problem-is-that-its-a-terrible-currency-cm900684
2018-01-05,2018-01-05	2018-01-05 13:01:00	V	Visa Inc.	These 5 stocks could fuel market to new highs	CNBC's Dominic Chu takes a look at five stocks that could bring the market to the next record level if they hit their target price.	https://finance.yahoo.com/video/5-stocks-could-fuel-market-130100818.html?.tsrc=rss,2018-01-05	2018-01-05 13:01:00	V	Visa Inc.	These 5 stocks could fuel market to new highs	CNBC's Dominic Chu takes a look at five stocks that could bring the market to the next record level if they hit their target price.	https://finance.yahoo.com/video/5-stocks-could-fuel-market-130100818.html?.tsrc=rss
2018-01-05,2018-01-05	2018-01-05 21:20:17	V	Visa Inc.	CryptoWatch: Virtual assets near $1 trillion value; Bank of England crypto plans nixed	The inchoate cryptocurrency sector on Friday approach a total value of three-quarters of a trillion dollars	http://finance.yahoo.com/r/efebcaa6-ac42-31c2-9b50-2a78e989bd75/Story.aspx?guid=AF9B496A-F22F-11E7-805B-FD54EDBA88C0&siteid=yhoof2&yptr=yahoo&.tsrc=rss,2018-01-05	2018-01-05 21:20:17	V	Visa Inc.	CryptoWatch: Virtual assets near $1 trillion value; Bank of England crypto plans nixed	The inchoate cryptocurrency sector on Friday approach a total value of three-quarters of a trillion dollars	http://finance.yahoo.com/r/efebcaa6-ac42-31c2-9b50-2a78e989bd75/Story.aspx?guid=AF9B496A-F22F-11E7-805B-FD54EDBA88C0&siteid=yhoof2&yptr=yahoo&.tsrc=rss
