publishedAt,title,description
2018-01-01,2018 / Active-Investors.com has just released a free earnings report on Vale S.A. (NYSE: VALE ). If you want access ...	https://finance.yahoo.com/news/free-research-report-vale-reported-111000383.html?.tsrc=rss,2018 / Active-Investors.com has just released a free earnings report on Vale S.A. (NYSE: VALE ). If you want access ...	https://finance.yahoo.com/news/free-research-report-vale-reported-111000383.html?.tsrc=rss
2018-01-01,2018	Today's bell ringers are Vale S.A. with CEO Fabio Schvartsman at the NYSE and BNP Paribas with CEO Bob Hawley at the Nasdaq.	https://finance.yahoo.com/video/todays-bell-ringer-december-4-141500770.html?.tsrc=rss,2018	Today's bell ringers are Vale S.A. with CEO Fabio Schvartsman at the NYSE and BNP Paribas with CEO Bob Hawley at the Nasdaq.	https://finance.yahoo.com/video/todays-bell-ringer-december-4-141500770.html?.tsrc=rss
2018-01-01,2018	Ringing today's opening bells are Vale S.A. with CEO Fabio Schvartsman at the NYSE and BNP Paribas with CEO Bob Hawley at the Nasdaq.	https://finance.yahoo.com/video/opening-bell-december-4-2018-143000478.html?.tsrc=rss,2018	Ringing today's opening bells are Vale S.A. with CEO Fabio Schvartsman at the NYSE and BNP Paribas with CEO Bob Hawley at the Nasdaq.	https://finance.yahoo.com/video/opening-bell-december-4-2018-143000478.html?.tsrc=rss
2018-01-01,2018 / Iron-ore producer Cleveland-Cliffs was a big gainer in Friday trading after beating expectations in its first quarter report. Shares of Vale saw a modest loss ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000535.html?.tsrc=rss,2018 / Iron-ore producer Cleveland-Cliffs was a big gainer in Friday trading after beating expectations in its first quarter report. Shares of Vale saw a modest loss ...	https://finance.yahoo.com/news/today-research-reports-stocks-watch-121000535.html?.tsrc=rss
2019-01-01,2019 /PRNewswire/ -- Wolf Popper LLP is investigating potential securities fraud claims on behalf of purchasers of Vale S.A. (NYSE: VALE) securities from January 2018 through January ...	https://finance.yahoo.com/news/wolf-popper-llp-announces-investigation-182400150.html?.tsrc=rss,2019 /PRNewswire/ -- Wolf Popper LLP is investigating potential securities fraud claims on behalf of purchasers of Vale S.A. (NYSE: VALE) securities from January 2018 through January ...	https://finance.yahoo.com/news/wolf-popper-llp-announces-investigation-182400150.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-snap-atvi-gsm-204902858.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-snap-atvi-gsm-204902858.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-dbvt-mu-vale-010700076.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-dbvt-mu-vale-010700076.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-atvi-mu-vale-220700533.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-atvi-mu-vale-220700533.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-atvi-vale-tyme-004600546.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-atvi-vale-tyme-004600546.html?.tsrc=rss
2019-01-01,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE ). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-030000846.html?.tsrc=rss,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE ). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-030000846.html?.tsrc=rss
2019-01-01,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/shareholder-alert-pawar-law-group-154500304.html?.tsrc=rss,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/shareholder-alert-pawar-law-group-154500304.html?.tsrc=rss
2019-01-01,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-020000789.html?.tsrc=rss,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-020000789.html?.tsrc=rss
2019-01-01,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/shareholder-alert-pawar-law-group-210500064.html?.tsrc=rss,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/shareholder-alert-pawar-law-group-210500064.html?.tsrc=rss
2019-01-01,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/pawar-law-group-announces-securities-213000518.html?.tsrc=rss,2019 / Pawar Law Group announces that a class action lawsuit has been filed on behalf of shareholders who purchased shares of Vale S.A. (NYSE: VALE) from April ...	https://finance.yahoo.com/news/pawar-law-group-announces-securities-213000518.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-svxy-mhld-172938789.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-svxy-mhld-172938789.html?.tsrc=rss
2019-01-01,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you have ...	https://finance.yahoo.com/news/shareholder-alert-gsm-vale-ge-185000357.html?.tsrc=rss,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you have ...	https://finance.yahoo.com/news/shareholder-alert-gsm-vale-ge-185000357.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-arlo-vale-brs-150250524.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-arlo-vale-brs-150250524.html?.tsrc=rss
2019-01-01,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you have ...	https://finance.yahoo.com/news/shareholder-alert-sogo-maxr-vale-202500844.html?.tsrc=rss,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you have ...	https://finance.yahoo.com/news/shareholder-alert-sogo-maxr-vale-202500844.html?.tsrc=rss
2019-01-01,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you ...	https://finance.yahoo.com/news/shareholder-alert-vale-dplo-bpi-192000436.html?.tsrc=rss,2019 / The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a loss you ...	https://finance.yahoo.com/news/shareholder-alert-vale-dplo-bpi-192000436.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-dbvt-vale-svxy-152653803.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-dbvt-vale-svxy-152653803.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-wrcdf-nio-143216188.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-wrcdf-nio-143216188.html?.tsrc=rss
2019-01-01,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-tyme-uxin-205819351.html?.tsrc=rss,2019 -- The Law Offices of Vincent Wong announce that class actions have commenced on behalf of shareholders of the following companies. If you suffered a.	https://finance.yahoo.com/news/shareholder-alert-vale-tyme-uxin-205819351.html?.tsrc=rss
2019-01-01,2019-- Moody's America Latina Ltda. affirmed Vale S.A.' s Ba1 ...	https://finance.yahoo.com/m/ce4260bd-04f1-3b07-854f-8496fbc04d36/vale-s.a.-moody%27s-changes.html?.tsrc=rss,2019-- Moody's America Latina Ltda. affirmed Vale S.A.' s Ba1 ...	https://finance.yahoo.com/m/ce4260bd-04f1-3b07-854f-8496fbc04d36/vale-s.a.-moody%27s-changes.html?.tsrc=rss
2019-01-01,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-143100134.html?.tsrc=rss,2019 / Pomerantz LLP is investigating claims on behalf of investors of Vale S.A. (''Vale'' or the ''Company'') (NYSE: VALE). Investors are advised to contact Robert ...	https://finance.yahoo.com/news/shareholder-alert-pomerantz-law-firm-143100134.html?.tsrc=rss
2020-01-01,2020. […]	https://finance.yahoo.com/news/hedge-funds-nibbling-vale-sa-162406446.html?.tsrc=rss,2020. […]	https://finance.yahoo.com/news/hedge-funds-nibbling-vale-sa-162406446.html?.tsrc=rss
