publishedAt,title,description
2017-01-01,2017.  The telecommunications company’s debt level increased significantly mainly due to its acquisition of Time Warner in mid-June.	https://finance.yahoo.com/m/3b3a36a4-622e-3f8f-a18c-ccf94d7ecc05/can-at%26t%E2%80%99s-debt-repayment.html?.tsrc=rss,2017.  The telecommunications company’s debt level increased significantly mainly due to its acquisition of Time Warner in mid-June.	https://finance.yahoo.com/m/3b3a36a4-622e-3f8f-a18c-ccf94d7ecc05/can-at%26t%E2%80%99s-debt-repayment.html?.tsrc=rss
2018-01-01,2018	ADTRAN Inc ADTN will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 09 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ADTN prior to the ex dividend date are eligible for the cash dividend payment This marks the 54th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/c5JQqb1MMRk/adtran-inc-adtn-ex-dividend-date-scheduled-for-october-30-2018-cm1045023,2018	ADTRAN Inc ADTN will begin trading ex dividend on October 30 2018 A cash dividend payment of 0 09 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ADTN prior to the ex dividend date are eligible for the cash dividend payment This marks the 54th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/c5JQqb1MMRk/adtran-inc-adtn-ex-dividend-date-scheduled-for-october-30-2018-cm1045023
2018-01-01,2018	Chunghwa Telecom Co Ltd CHT will begin trading ex dividend on July 20 2018 A cash dividend payment of 1 236 per share is scheduled to be paid on August 31 2018 Shareholders who purchased CHT prior to the ex dividend date are eligible for the cash dividend payment Chunghwa Telecom	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/r-gQYGc3f0E/chunghwa-telecom-co-ltd-cht-ex-dividend-date-scheduled-for-july-20-2018-cm993368,2018	Chunghwa Telecom Co Ltd CHT will begin trading ex dividend on July 20 2018 A cash dividend payment of 1 236 per share is scheduled to be paid on August 31 2018 Shareholders who purchased CHT prior to the ex dividend date are eligible for the cash dividend payment Chunghwa Telecom	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/r-gQYGc3f0E/chunghwa-telecom-co-ltd-cht-ex-dividend-date-scheduled-for-july-20-2018-cm993368
2018-01-01,2018	Chunghwa Telecom Co Ltd CHT will begin trading ex dividend on July 20 2018 A cash dividend payment of 1 236 per share is scheduled to be paid on August 31 2018 Shareholders who purchased CHT prior to the ex dividend date are eligible for the cash dividend payment Chunghwa Telecom	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/q1pREHBu3K0/chunghwa-telecom-co-ltd-cht-ex-dividend-date-scheduled-for-july-20-2018-cm993368,2018	Chunghwa Telecom Co Ltd CHT will begin trading ex dividend on July 20 2018 A cash dividend payment of 1 236 per share is scheduled to be paid on August 31 2018 Shareholders who purchased CHT prior to the ex dividend date are eligible for the cash dividend payment Chunghwa Telecom	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/q1pREHBu3K0/chunghwa-telecom-co-ltd-cht-ex-dividend-date-scheduled-for-july-20-2018-cm993368
2018-01-01,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on August 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yNpNxYDc9TY/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-july-12-2018-cm989651,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on August 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yNpNxYDc9TY/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-july-12-2018-cm989651
2018-01-01,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on August 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQ3QzV9jEKM/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-july-12-2018-cm989651,2018	Consolidated Communications Holdings Inc CNSL will begin trading ex dividend on July 12 2018 A cash dividend payment of 0 387 per share is scheduled to be paid on August 01 2018 Shareholders who purchased CNSL prior to the ex dividend date are eligible for the cash dividend	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RQ3QzV9jEKM/consolidated-communications-holdings-inc-cnsl-ex-dividend-date-scheduled-for-july-12-2018-cm989651
2018-01-01,2018-- Military families can stay connected to the ones they love with even more savings with Verizon Unlimited and a new promotion– all designed to give our current and former service ...	https://finance.yahoo.com/news/now-military-families-save-even-140000482.html?.tsrc=rss,2018-- Military families can stay connected to the ones they love with even more savings with Verizon Unlimited and a new promotion– all designed to give our current and former service ...	https://finance.yahoo.com/news/now-military-families-save-even-140000482.html?.tsrc=rss
2018-01-01,2018	ATN International Inc ATNI will begin trading ex dividend on June 28 2018 A cash dividend payment of 0 17 per share is scheduled to be paid on July 10 2018 Shareholders who purchased ATNI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7lUqK6hqtzE/atn-international-inc-atni-ex-dividend-date-scheduled-for-june-28-2018-cm983908,2018	ATN International Inc ATNI will begin trading ex dividend on June 28 2018 A cash dividend payment of 0 17 per share is scheduled to be paid on July 10 2018 Shareholders who purchased ATNI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7lUqK6hqtzE/atn-international-inc-atni-ex-dividend-date-scheduled-for-june-28-2018-cm983908
2018-01-01,2018	ATN International Inc ATNI will begin trading ex dividend on June 28 2018 A cash dividend payment of 0 17 per share is scheduled to be paid on July 10 2018 Shareholders who purchased ATNI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KqnJItVoiLI/atn-international-inc-atni-ex-dividend-date-scheduled-for-june-28-2018-cm983908,2018	ATN International Inc ATNI will begin trading ex dividend on June 28 2018 A cash dividend payment of 0 17 per share is scheduled to be paid on July 10 2018 Shareholders who purchased ATNI prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KqnJItVoiLI/atn-international-inc-atni-ex-dividend-date-scheduled-for-june-28-2018-cm983908
2018-01-01,2018-- Verizon Communications Inc. today announced the final results of its two previously announced related transactions to repurchase 13 series of its outstanding notes.. The first ...	https://finance.yahoo.com/news/verizon-announces-final-results-private-185512988.html?.tsrc=rss,2018-- Verizon Communications Inc. today announced the final results of its two previously announced related transactions to repurchase 13 series of its outstanding notes.. The first ...	https://finance.yahoo.com/news/verizon-announces-final-results-private-185512988.html?.tsrc=rss
