publishedAt,title,description
2018-01-01,2018-01-01	2018-01-01 12:48:00	XOM	Exxon Mobil Corporation	The 3 Worst Dow Stocks in 2017	Find out what&apos;s behind the slumps for these blue chip companies.	https://finance.yahoo.com/news/3-worst-dow-stocks-2017-124800999.html?.tsrc=rss,2018-01-01	2018-01-01 12:48:00	XOM	Exxon Mobil Corporation	The 3 Worst Dow Stocks in 2017	Find out what&apos;s behind the slumps for these blue chip companies.	https://finance.yahoo.com/news/3-worst-dow-stocks-2017-124800999.html?.tsrc=rss
2018-01-01,2018-01-01	2018-01-01 14:08:34	XOM	Exxon Mobil Corporation	The 3 Worst Dow Stocks in 2017	The year 2017 gave investors in the Dow Jones Industrials DJINDICES DJI extraordinary returns lagging only behind 2013 in terms of total return over the course of the bull market that started right after the financial crisis However a handful of stocks managed to lose	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/77RZEGY5cSs/the-3-worst-dow-stocks-in-2017-cm898783,2018-01-01	2018-01-01 14:08:34	XOM	Exxon Mobil Corporation	The 3 Worst Dow Stocks in 2017	The year 2017 gave investors in the Dow Jones Industrials DJINDICES DJI extraordinary returns lagging only behind 2013 in terms of total return over the course of the bull market that started right after the financial crisis However a handful of stocks managed to lose	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/77RZEGY5cSs/the-3-worst-dow-stocks-in-2017-cm898783
2018-01-02,2018-01-02	2018-01-02 20:20:00	XOM	Exxon Mobil Corporation	Chevron Should Beat Exxon as Your Favorite Big Oil Stock in 2018	Chevron is a standout among the rest of the energy sector right now. And it's sending a clear buy signal as we head into January.	http://finance.yahoo.com/r/8fc25809-079a-3128-adb2-fa6a8ce73a49/chevron-should-beat-exxon-as-your-favorite-big-oil-stock-in-2018.html?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss,2018-01-02	2018-01-02 20:20:00	XOM	Exxon Mobil Corporation	Chevron Should Beat Exxon as Your Favorite Big Oil Stock in 2018	Chevron is a standout among the rest of the energy sector right now. And it's sending a clear buy signal as we head into January.	http://finance.yahoo.com/r/8fc25809-079a-3128-adb2-fa6a8ce73a49/chevron-should-beat-exxon-as-your-favorite-big-oil-stock-in-2018.html?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss
2018-01-02,2018-01-02	2018-01-02 19:09:24	XOM	Exxon Mobil Corporation	How Will BP's Shareholders Benefit From The New Tax Bill?	The year 2017 has ended on a good note for the US corporate sector with the passing of the new tax act in the country The new law not only entails the reduction of corporate tax from 35 to 21 it also includes a number of other provisions that will particularly favor the oil and gas industry	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8zzZLHOOMw8/how-will-bps-shareholders-benefit-from-the-new-tax-bill-cm899188,2018-01-02	2018-01-02 19:09:24	XOM	Exxon Mobil Corporation	How Will BP's Shareholders Benefit From The New Tax Bill?	The year 2017 has ended on a good note for the US corporate sector with the passing of the new tax act in the country The new law not only entails the reduction of corporate tax from 35 to 21 it also includes a number of other provisions that will particularly favor the oil and gas industry	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8zzZLHOOMw8/how-will-bps-shareholders-benefit-from-the-new-tax-bill-cm899188
2018-01-03,2018-01-03	2018-01-03 14:11:51	XOM	Exxon Mobil Corporation	Here's Why BP Finds US Corporate Tax Reform a Godsend	BP plc BP is expected to gain from the recently enacted changes to U S corporate taxes BP expects future after tax earnings to be favorably impacted owing to the cutback of the federal corporate income tax rate to 21 from 35 This is effective from Jan 1 2018 The change in	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/noM3RMVtrKw/heres-why-bp-finds-us-corporate-tax-reform-a-godsend-cm899452,2018-01-03	2018-01-03 14:11:51	XOM	Exxon Mobil Corporation	Here's Why BP Finds US Corporate Tax Reform a Godsend	BP plc BP is expected to gain from the recently enacted changes to U S corporate taxes BP expects future after tax earnings to be favorably impacted owing to the cutback of the federal corporate income tax rate to 21 from 35 This is effective from Jan 1 2018 The change in	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/noM3RMVtrKw/heres-why-bp-finds-us-corporate-tax-reform-a-godsend-cm899452
2018-01-03,2018-01-03	2018-01-03 19:06:50	XOM	Exxon Mobil Corporation	Option buyers bet on ExxonMobil to keep rising	Traders are betting Wednesday that the recent runup in ExxonMobil XOM will continue several strikes are seeing outsized trading today including the Jan 88 call where 1 699 contracts have moved against open interest of 393 Pricing has been in the high end of the bid ask spread all	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m-yTabYYKpo/option-buyers-bet-on-exxonmobil-to-keep-rising-cm899869,2018-01-03	2018-01-03 19:06:50	XOM	Exxon Mobil Corporation	Option buyers bet on ExxonMobil to keep rising	Traders are betting Wednesday that the recent runup in ExxonMobil XOM will continue several strikes are seeing outsized trading today including the Jan 88 call where 1 699 contracts have moved against open interest of 393 Pricing has been in the high end of the bid ask spread all	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/m-yTabYYKpo/option-buyers-bet-on-exxonmobil-to-keep-rising-cm899869
2018-01-04,2018-01-04	2018-01-04 00:01:00	XOM	Exxon Mobil Corporation	Cramer: There Are the Dogs of the Dow and Then There's GE	A rundown of the five worst performing stocks in the Dow Industrials.	http://finance.yahoo.com/r/081d52f1-de0b-3d52-a07c-f7712d06e100/cramer-there-are-dogs-dow-and-then-theres-ge?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss,2018-01-04	2018-01-04 00:01:00	XOM	Exxon Mobil Corporation	Cramer: There Are the Dogs of the Dow and Then There's GE	A rundown of the five worst performing stocks in the Dow Industrials.	http://finance.yahoo.com/r/081d52f1-de0b-3d52-a07c-f7712d06e100/cramer-there-are-dogs-dow-and-then-theres-ge?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss
2018-01-04,2018-01-04	2018-01-04 00:07:15	XOM	Exxon Mobil Corporation	5 Blue-Chip Stocks to Buy in January	InvestorPlace Stock Market News Stock Advice amp Trading Tips U S equities are showing no signs of slowing their incredible vertical ascent kicking off 2018 with a two day push to new record highs The Nasdaq Composite has risen above the 7 000 level for the first	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Z4qRefz87-U/5-blue-chip-stocks-to-buy-in-january-cm900045,2018-01-04	2018-01-04 00:07:15	XOM	Exxon Mobil Corporation	5 Blue-Chip Stocks to Buy in January	InvestorPlace Stock Market News Stock Advice amp Trading Tips U S equities are showing no signs of slowing their incredible vertical ascent kicking off 2018 with a two day push to new record highs The Nasdaq Composite has risen above the 7 000 level for the first	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Z4qRefz87-U/5-blue-chip-stocks-to-buy-in-january-cm900045
2018-01-04,2018-01-04	2018-01-04 06:07:40	XOM	Exxon Mobil Corporation	Q4 Earnings Season Gets Underway	Note The following is an excerpt from this week s Earnings Trends 160 report You can access the full report that contains detailed historical actual and estimates for the current and following periods 160 please click here gt gt gt Here are the key points 160	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZEy8Bx9yjKI/q4-earnings-season-gets-underway-cm900077,2018-01-04	2018-01-04 06:07:40	XOM	Exxon Mobil Corporation	Q4 Earnings Season Gets Underway	Note The following is an excerpt from this week s Earnings Trends 160 report You can access the full report that contains detailed historical actual and estimates for the current and following periods 160 please click here gt gt gt Here are the key points 160	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZEy8Bx9yjKI/q4-earnings-season-gets-underway-cm900077
2018-01-04,2018-01-04	2018-01-04 13:50:01	XOM	Exxon Mobil Corporation	Zacks Earnings Trends Highlights: ExxonMobil and Chevron	Zacks Earnings Trends Highlights: ExxonMobil and Chevron	https://finance.yahoo.com/news/zacks-earnings-trends-highlights-exxonmobil-135001314.html?.tsrc=rss,2018-01-04	2018-01-04 13:50:01	XOM	Exxon Mobil Corporation	Zacks Earnings Trends Highlights: ExxonMobil and Chevron	Zacks Earnings Trends Highlights: ExxonMobil and Chevron	https://finance.yahoo.com/news/zacks-earnings-trends-highlights-exxonmobil-135001314.html?.tsrc=rss
