date,open,high,low,close,volume
2018-01-02,174.139999,177.839996,173.979996,177.729996,818600
2018-01-03,177.729996,179.580002,177.679993,179.080002,1054200
2018-01-04,180.490005,181.770004,179.399994,180.75,915600
2018-01-05,180.839996,183.449997,180.75,182.869995,516100
2018-01-08,183.190002,184.460007,182.809998,183.830002,763900
2018-01-09,184.070007,184.169998,181.240005,182.839996,854300
2018-01-10,181.389999,181.550003,179.330002,180.710007,668700
2018-01-11,180.080002,180.229996,177.910004,178.550003,831900
2018-01-12,181.110001,181.470001,179.940002,180.869995,710300
2018-01-16,187.699997,188.5,185.259995,186.380005,1518900
2018-01-17,194.990005,201.199997,194.759995,199.179993,2653200
2018-01-18,202.179993,205.580002,201.809998,203.360001,3618500
2018-01-19,205.220001,206.029999,203.169998,205.520004,1122900
2018-01-22,204.5,205.539993,203.300003,205.539993,1002300
2018-01-23,204.419998,205.919998,204.050003,205.429993,559900
2018-01-24,203.509995,204.009995,200.470001,202.25,669800
2018-01-25,207.139999,208.580002,200.649994,200.830002,1380200
2018-01-26,204.039993,206.669998,203.729996,206.509995,1069200
2018-01-29,204.339996,204.589996,201.929993,204.020004,1064500
2018-01-30,202.860001,203.419998,200.029999,200.229996,744900
2018-01-31,202.389999,203.660004,202.0,202.960007,701800
2018-02-01,202.080002,203.399994,200.410004,201.419998,741500
2018-02-02,199.339996,199.5,194.470001,194.570007,917300
2018-02-05,193.339996,196.570007,186.559998,186.679993,912600
2018-02-06,186.690002,194.289993,185.839996,194.110001,2881200
2018-02-07,191.100006,191.600006,187.0,187.149994,1275500
2018-02-08,186.880005,187.369995,178.199997,179.899994,1767200
2018-02-09,182.070007,184.910004,175.880005,183.669998,2070900
2018-02-12,183.330002,187.389999,183.070007,186.339996,1563400
2018-02-13,185.279999,186.240005,183.830002,185.240005,496300
2018-02-14,183.710007,192.080002,183.550003,191.339996,930600
2018-02-15,193.210007,195.199997,190.970001,194.899994,1125900
2018-02-16,192.860001,195.300003,192.050003,192.229996,738800
2018-02-20,191.990005,197.389999,191.970001,195.520004,764000
2018-02-21,196.740005,197.979996,194.270004,194.410004,703400
2018-02-22,195.729996,196.029999,192.520004,193.289993,796500
2018-02-23,193.949997,197.089996,193.660004,196.820007,741700
2018-02-26,200.100006,201.0,198.360001,200.839996,1172200
2018-02-27,198.979996,200.529999,197.440002,197.440002,861100
2018-02-28,198.220001,198.740005,195.0,195.389999,623700
2018-03-01,193.160004,194.910004,189.029999,191.929993,901900
2018-03-02,190.5,193.880005,189.089996,193.570007,696000
2018-03-05,194.720001,199.589996,194.380005,198.350006,730700
2018-03-06,200.029999,203.389999,199.289993,202.839996,1538800
2018-03-07,204.380005,206.419998,202.839996,206.050003,1308300
2018-03-08,206.949997,207.229996,204.300003,205.020004,458100
2018-03-09,207.399994,209.889999,206.929993,209.410004,645100
2018-03-12,210.899994,212.75,210.320007,211.300003,788800
2018-03-13,212.770004,213.600006,207.119995,208.020004,656900
2018-03-14,212.350006,212.470001,209.289993,211.529999,733400
2018-03-15,214.300003,215.479996,212.75,214.440002,700500
2018-03-16,213.539993,214.580002,212.559998,214.059998,822000
2018-03-19,214.0,214.100006,210.029999,212.75,1063300
2018-03-20,210.550003,214.300003,210.479996,212.600006,790400
2018-03-21,213.089996,216.0,212.350006,213.729996,465400
2018-03-22,210.080002,212.020004,204.460007,204.720001,1008300
2018-03-23,205.520004,206.270004,199.029999,199.110001,1149000
2018-03-26,205.009995,207.529999,202.089996,207.449997,776800
2018-03-27,207.179993,207.919998,198.880005,200.289993,681900
2018-03-28,197.490005,199.160004,193.179993,194.529999,2776600
2018-03-29,195.850006,200.419998,194.830002,198.559998,1193200
2018-04-02,197.470001,199.160004,190.630005,193.050003,705200
2018-04-03,197.600006,200.089996,196.399994,199.429993,1165600
2018-04-04,191.660004,198.309998,191.490005,198.259995,1704900
2018-04-05,199.440002,200.929993,197.270004,198.679993,861200
2018-04-06,197.490005,199.279999,194.009995,194.630005,837900
2018-04-09,198.009995,202.570007,196.889999,198.529999,774100
2018-04-10,204.419998,207.070007,202.0,205.550003,885800
2018-04-11,204.139999,206.699997,203.880005,205.550003,855500
2018-04-12,205.869995,207.320007,205.070007,206.240005,1044500
2018-04-13,205.830002,207.149994,204.830002,205.649994,526000
2018-04-16,207.639999,207.970001,205.559998,206.699997,828600
2018-04-17,208.479996,213.350006,207.839996,212.699997,1233000
2018-04-18,208.75,208.75,203.0,206.320007,1700600
2018-04-19,203.509995,203.619995,194.190002,195.100006,2623900
2018-04-20,194.830002,195.990005,192.300003,193.020004,1729200
2018-04-23,194.440002,195.279999,190.649994,191.320007,808200
2018-04-24,196.020004,197.070007,191.669998,194.050003,1147600
2018-04-25,193.649994,193.830002,190.320007,191.660004,830300
2018-04-26,193.940002,195.979996,193.300003,195.679993,875600
2018-04-27,194.479996,194.649994,191.179993,191.75,1109600
2018-04-30,189.619995,190.210007,187.630005,188.449997,645900
2018-05-01,188.5,191.759995,187.979996,191.440002,484200
2018-05-02,191.210007,192.190002,189.970001,190.339996,509500
2018-05-03,192.520004,193.800003,189.949997,192.75,1588200
2018-05-04,191.25,196.300003,190.740005,195.509995,788000
2018-05-07,194.839996,195.550003,194.0,194.880005,570300
2018-05-08,192.75,194.380005,192.139999,193.869995,843800
2018-05-09,194.869995,198.089996,194.639999,197.949997,518200
2018-05-10,199.330002,201.119995,199.0,201.070007,414200
2018-05-11,199.880005,200.610001,198.289993,198.800003,405000
2018-05-14,201.419998,203.669998,201.300003,201.940002,406800
2018-05-15,201.089996,201.259995,197.639999,199.929993,569700
2018-05-16,200.960007,202.970001,200.820007,202.880005,490900
2018-05-17,203.490005,204.160004,201.220001,202.380005,524400
2018-05-18,200.789993,201.149994,196.679993,197.339996,1002100
2018-05-21,202.320007,202.889999,200.910004,202.509995,1089000
2018-05-22,202.990005,203.630005,201.550003,202.539993,463600
2018-05-23,198.119995,200.199997,197.649994,200.199997,719300
2018-05-24,200.360001,201.080002,198.630005,200.830002,325300
2018-05-25,199.460007,201.25,198.800003,201.100006,309800
2018-05-29,196.009995,198.580002,194.460007,195.600006,654000
2018-05-30,197.0,198.649994,196.110001,197.100006,583200
2018-05-31,198.369995,198.860001,194.809998,196.649994,785700
2018-06-01,200.389999,202.240005,198.800003,202.160004,518000
2018-06-04,203.559998,204.149994,202.339996,203.919998,441300
2018-06-05,208.630005,209.839996,207.470001,209.320007,611000
2018-06-06,210.100006,213.809998,209.190002,213.610001,569900
2018-06-07,211.050003,211.330002,205.910004,207.559998,923400
2018-06-08,207.399994,208.279999,205.289993,207.449997,837500
2018-06-11,209.759995,210.759995,209.229996,209.860001,528100
2018-06-12,208.679993,210.160004,207.330002,209.339996,363900
2018-06-13,213.320007,215.509995,212.610001,213.75,998900
2018-06-14,215.089996,216.899994,214.610001,215.889999,710700
2018-06-15,215.0,215.5,213.809998,214.820007,821300
2018-06-18,209.839996,211.289993,208.550003,211.100006,599700
2018-06-19,203.759995,206.440002,201.779999,206.179993,749300
2018-06-20,205.589996,206.559998,204.419998,205.5,542300
2018-06-21,206.839996,206.949997,203.520004,204.240005,893400
2018-06-22,207.029999,207.619995,204.100006,206.369995,730900
2018-06-25,201.360001,201.490005,195.789993,196.649994,1060000
2018-06-26,198.720001,199.289993,197.25,197.970001,1106500
2018-06-27,199.740005,200.389999,193.729996,193.899994,663000
2018-06-28,190.690002,193.660004,190.039993,193.580002,887500
2018-06-29,198.020004,199.539993,197.600006,197.970001,894300
2018-07-02,193.619995,195.380005,189.809998,195.25,1963200
2018-07-03,193.440002,194.899994,191.270004,191.470001,434600
2018-07-05,195.679993,196.669998,194.520004,195.990005,540800
2018-07-06,194.190002,197.839996,194.160004,197.320007,380300
2018-07-09,199.979996,200.220001,197.440002,199.110001,1242600
2018-07-10,200.470001,200.690002,198.550003,199.429993,977300
2018-07-11,196.699997,197.490005,193.330002,193.589996,842500
2018-07-12,196.800003,199.369995,196.270004,199.330002,625100
2018-07-13,200.320007,200.320007,198.570007,199.190002,422900
2018-07-16,199.860001,201.139999,199.369995,200.080002,1153300
2018-07-17,199.809998,204.880005,199.389999,204.339996,1383900
2018-07-18,213.089996,218.479996,212.75,217.899994,3615000
2018-07-19,215.75,216.699997,214.649994,215.259995,843000
2018-07-20,216.710007,221.460007,216.710007,219.809998,1371300
2018-07-23,219.570007,221.660004,217.0,220.779999,930500
2018-07-24,219.460007,219.869995,213.160004,213.699997,918500
2018-07-25,215.720001,219.070007,214.889999,218.970001,2240200
2018-07-26,216.070007,216.839996,214.229996,216.649994,1511000
2018-07-27,216.860001,217.509995,212.429993,213.300003,920600
2018-07-30,216.429993,216.600006,213.610001,214.5,692600
2018-07-31,215.149994,216.300003,213.960007,214.0,1162300
2018-08-01,214.009995,215.369995,212.740005,213.910004,802500
2018-08-02,212.669998,216.119995,212.199997,215.820007,613900
2018-08-03,214.059998,214.929993,212.350006,214.779999,456100
2018-08-06,212.990005,213.759995,212.380005,213.570007,501000
2018-08-07,214.539993,215.0,212.970001,213.559998,537600
2018-08-08,213.649994,214.369995,212.889999,213.0,491500
2018-08-09,213.220001,213.389999,209.029999,209.169998,1016800
2018-08-10,204.740005,205.600006,202.649994,203.889999,842500
2018-08-13,204.910004,206.039993,204.5,204.699997,914400
2018-08-14,207.139999,207.330002,204.929993,205.610001,408800
2018-08-15,201.270004,201.600006,195.820007,197.139999,1281400
2018-08-16,198.270004,199.600006,197.270004,197.860001,1250600
2018-08-17,194.740005,197.660004,193.899994,197.369995,730900
2018-08-20,198.830002,199.949997,197.520004,199.490005,538300
2018-08-21,199.809998,201.610001,199.490005,200.490005,699000
2018-08-22,200.139999,201.149994,199.210007,200.809998,385600
2018-08-23,201.830002,202.220001,199.360001,199.539993,374400
2018-08-24,201.690002,203.179993,201.520004,202.979996,301900
2018-08-27,206.160004,209.229996,205.479996,208.589996,546200
2018-08-28,207.619995,208.059998,204.940002,206.690002,437600
2018-08-29,205.580002,207.570007,205.509995,206.820007,401500
2018-08-30,205.380005,206.850006,204.729996,205.199997,352800
2018-08-31,204.300003,205.660004,203.699997,205.050003,388400
2018-09-04,199.050003,199.899994,197.330002,199.479996,693000
2018-09-05,197.800003,198.149994,194.199997,195.119995,633900
2018-09-06,191.559998,192.130005,183.429993,184.449997,2100300
2018-09-07,181.199997,184.429993,180.279999,180.869995,889600
2018-09-10,187.630005,187.710007,184.580002,185.669998,1003600
2018-09-11,182.460007,183.850006,181.279999,183.369995,610500
2018-09-12,177.380005,177.479996,172.690002,175.369995,3094700
2018-09-13,182.309998,184.630005,181.149994,182.0,2444700
2018-09-14,183.440002,185.009995,182.270004,184.350006,1095400
2018-09-17,184.050003,185.039993,182.75,183.089996,574900
2018-09-18,184.710007,187.610001,184.710007,186.570007,687000
2018-09-19,186.679993,189.279999,186.279999,189.050003,1053800
2018-09-20,191.190002,192.059998,189.839996,191.490005,561200
2018-09-21,189.440002,190.100006,187.960007,188.429993,1116700
2018-09-24,190.759995,191.580002,189.440002,191.470001,509400
2018-09-25,192.119995,192.350006,189.160004,190.210007,515600
2018-09-26,186.800003,191.300003,186.589996,188.800003,701000
2018-09-27,188.110001,189.839996,187.740005,188.740005,298700
2018-09-28,185.529999,188.270004,185.460007,188.020004,609800
2018-10-01,190.869995,192.520004,189.509995,190.080002,513900
2018-10-02,188.270004,192.339996,188.270004,190.160004,421000
2018-10-03,191.259995,192.339996,189.940002,191.809998,826600
2018-10-04,190.940002,191.080002,184.899994,187.460007,610400
2018-10-05,185.899994,186.979996,181.589996,183.789993,691200
2018-10-08,181.0,182.880005,179.690002,181.679993,603900
2018-10-09,180.679993,183.960007,180.389999,182.949997,596000
2018-10-10,174.610001,176.520004,171.850006,171.919998,1515900
2018-10-11,176.089996,180.179993,169.589996,171.779999,1665300
2018-10-12,175.460007,176.339996,171.350006,174.279999,906100
2018-10-15,173.419998,175.119995,172.830002,173.350006,672600
2018-10-16,178.380005,182.240005,177.779999,181.720001,823600
2018-10-17,187.580002,189.25,183.309998,185.009995,1709500
2018-10-18,182.380005,182.800003,175.850006,176.440002,847700
2018-10-19,176.190002,178.240005,173.710007,175.759995,740400
2018-10-22,176.460007,177.020004,174.259995,176.330002,518600
2018-10-23,167.529999,174.419998,167.259995,172.949997,1260800
2018-10-24,167.300003,167.699997,157.949997,158.160004,1942800
2018-10-25,165.149994,170.289993,163.690002,169.039993,1067700
2018-10-26,164.399994,169.160004,162.259995,166.210007,876000
2018-10-29,168.520004,169.699997,160.380005,163.369995,745500
2018-10-30,166.100006,169.410004,165.660004,168.740005,1307500
2018-10-31,170.960007,173.089996,169.979996,172.360001,731400
2018-11-01,171.029999,176.059998,169.649994,175.720001,1352600
2018-11-02,178.070007,178.679993,172.820007,174.990005,948400
2018-11-05,172.490005,173.5,169.710007,172.860001,567400
2018-11-06,174.309998,177.669998,174.050003,177.429993,1493800
2018-11-07,178.259995,178.520004,176.089996,177.419998,1039400
2018-11-08,175.330002,177.360001,174.199997,174.990005,1891400
2018-11-09,172.550003,175.860001,171.75,175.5,1748000
2018-11-12,170.130005,170.279999,167.050003,169.0,2888200
2018-11-13,169.830002,173.690002,169.490005,170.889999,1433100
2018-11-14,173.589996,174.580002,172.029999,172.729996,1166700
2018-11-15,169.460007,176.800003,168.960007,176.789993,2028800
2018-11-16,170.089996,171.039993,167.889999,168.990005,3096800
2018-11-19,168.25,168.539993,163.389999,163.589996,1476500
2018-11-20,157.039993,163.089996,156.580002,161.330002,2125600
2018-11-21,164.300003,166.5,163.899994,163.910004,1074000
2018-11-23,162.119995,164.529999,162.119995,163.660004,742800
2018-11-26,165.139999,167.660004,164.289993,167.429993,1056800
2018-11-27,166.729996,168.169998,165.630005,167.410004,544300
2018-11-28,170.279999,174.419998,167.75,174.309998,613300
2018-11-29,172.529999,173.25,170.960007,171.520004,1079700
2018-11-30,168.960007,171.449997,168.360001,171.350006,1360900
2018-12-03,173.860001,178.199997,173.130005,177.660004,2413300
2018-12-04,175.589996,176.309998,169.380005,169.639999,1625300
2018-12-06,164.529999,166.5,162.259995,166.350006,1097300
2018-12-07,164.850006,165.919998,158.899994,159.529999,1412200
2018-12-10,161.520004,163.080002,158.809998,161.410004,915800
2018-12-11,163.820007,164.850006,160.460007,161.470001,1475500
2018-12-12,166.350006,167.339996,164.740005,165.220001,917700
2018-12-13,165.020004,165.610001,163.710007,164.089996,698200
2018-12-14,162.410004,164.179993,160.820007,161.029999,692500
2018-12-17,161.0,164.199997,159.619995,160.600006,686500
2018-12-18,163.179993,164.729996,161.770004,162.580002,710200
2018-12-19,159.949997,162.979996,153.339996,153.880005,1580600
2018-12-20,156.210007,156.759995,151.690002,152.679993,2719400
2018-12-21,151.770004,152.589996,148.0,148.449997,1805700
2018-12-24,149.139999,150.490005,144.809998,145.009995,321500
2018-12-26,146.490005,153.009995,144.5,152.919998,634500
2018-12-27,149.839996,154.410004,149.570007,154.389999,725800
2018-12-28,157.539993,157.690002,154.759995,155.089996,676500
2018-12-31,156.039993,157.029999,153.949997,155.619995,356500
2019-01-02,154.279999,157.25,153.839996,156.300003,602500
2019-01-03,151.190002,152.220001,147.380005,147.679993,1078600
2019-01-04,150.649994,154.960007,150.039993,154.070007,589500
2019-01-07,156.5,159.259995,155.820007,157.589996,971900
2019-01-08,158.5,158.770004,155.550003,156.429993,531700
2019-01-09,161.899994,163.630005,160.970001,162.919998,779900
2019-01-10,161.289993,163.050003,160.509995,162.610001,1028100
2019-01-11,161.5,163.369995,160.869995,162.020004,639600
2019-01-14,160.100006,160.350006,158.259995,158.690002,680200
2019-01-15,158.919998,160.889999,158.279999,159.229996,482700
2019-01-16,159.169998,159.389999,157.190002,157.279999,537600
2019-01-17,155.779999,158.630005,155.220001,157.539993,953000
2019-01-18,159.179993,164.009995,158.860001,162.699997,1664700
2019-01-22,160.899994,161.0,157.970001,159.5,968500
2019-01-23,163.330002,164.050003,160.660004,162.119995,1458900
2019-01-24,167.529999,169.539993,167.289993,168.899994,1385700
2019-01-25,173.210007,176.839996,172.630005,176.660004,1352900
