date,open,high,low,close,volume
2018-01-02,91.0,91.480003,88.589996,89.080002,1139600
2018-01-03,88.510002,89.43,87.910004,88.449997,946800
2018-01-04,88.269997,88.82,87.349998,87.610001,931300
2018-01-05,87.779999,88.029999,86.360001,86.75,1140900
2018-01-08,87.0,87.519997,86.800003,87.5,1284300
2018-01-09,87.5,87.540001,85.870003,86.709999,864400
2018-01-10,86.510002,86.510002,85.360001,85.699997,829000
2018-01-11,84.860001,84.989998,84.019997,84.739998,1394200
2018-01-12,84.410004,84.620003,80.57,80.830002,4003600
2018-01-16,81.25,83.599998,80.959999,82.220001,3111500
2018-01-17,82.089996,82.800003,81.980003,82.510002,1482100
2018-01-18,82.470001,83.129997,81.830002,82.410004,1561100
2018-01-19,82.839996,83.529999,82.379997,83.010002,1323900
2018-01-22,83.449997,83.75,82.660004,82.959999,1317800
2018-01-23,82.860001,84.699997,82.830002,84.199997,1114000
2018-01-24,84.199997,84.489998,83.629997,83.75,853500
2018-01-25,83.970001,84.610001,83.199997,84.529999,764800
2018-01-26,84.650002,85.0,83.830002,84.940002,869500
2018-01-29,84.650002,84.650002,83.199997,83.739998,829800
2018-01-30,82.93,84.029999,82.839996,83.110001,1030600
2018-01-31,83.269997,83.269997,82.519997,83.169998,1175200
2018-02-01,83.279999,83.510002,81.529999,81.839996,1334000
2018-02-02,81.709999,82.290001,81.0,81.220001,1101800
2018-02-05,81.0,81.540001,78.610001,78.82,1883700
2018-02-06,78.019997,79.260002,76.790001,78.959999,2169600
2018-02-07,79.0,79.739998,77.959999,77.959999,1268700
2018-02-08,77.769997,78.459999,76.040001,76.059998,1572000
2018-02-09,76.610001,78.68,76.389999,77.940002,1775400
2018-02-12,78.209999,78.339996,77.07,77.919998,1016900
2018-02-13,77.830002,78.93,77.309998,78.769997,921200
2018-02-14,78.099998,78.82,77.68,78.330002,725600
2018-02-15,78.43,79.720001,78.349998,79.709999,718100
2018-02-16,79.690002,81.059998,79.43,80.5,1012700
2018-02-20,80.25,80.830002,79.57,79.849998,1026000
2018-02-21,79.040001,81.059998,78.82,78.849998,1250400
2018-02-22,78.870003,79.550003,78.260002,78.739998,988200
2018-02-23,78.809998,80.800003,78.809998,80.629997,655800
2018-02-26,81.5,81.639999,80.580002,80.800003,804200
2018-02-27,80.989998,81.940002,79.730003,79.959999,986700
2018-02-28,79.879997,80.760002,79.360001,79.360001,1069300
2018-03-01,79.279999,80.370003,78.389999,79.150002,1233900
2018-03-02,78.959999,80.139999,78.150002,78.879997,1373800
2018-03-05,78.730003,80.879997,78.660004,80.190002,1992400
2018-03-06,80.150002,80.370003,79.510002,79.690002,1122500
2018-03-07,79.43,80.519997,79.150002,80.18,1061800
2018-03-08,80.5,81.080002,80.25,80.800003,948000
2018-03-09,80.93,81.379997,80.459999,81.360001,665900
2018-03-12,81.349998,82.389999,81.32,82.199997,959300
2018-03-13,82.489998,82.669998,80.629997,80.75,916500
2018-03-14,81.040001,81.830002,80.559998,81.199997,904400
2018-03-15,81.309998,82.230003,81.199997,81.470001,785300
2018-03-16,81.68,82.400002,81.480003,82.160004,1952200
2018-03-19,82.160004,82.589996,80.919998,81.519997,1002800
2018-03-20,81.510002,81.970001,81.199997,81.419998,645400
2018-03-21,81.43,82.040001,80.589996,80.849998,570600
2018-03-22,80.900002,82.07,80.099998,80.150002,791200
2018-03-23,80.760002,81.620003,79.019997,79.230003,784700
2018-03-26,79.410004,80.010002,78.889999,79.870003,742400
2018-03-27,80.0,81.690002,79.25,80.690002,1111400
2018-03-28,80.809998,81.43,80.57,81.190002,846700
2018-03-29,81.339996,82.540001,81.339996,82.129997,1069600
2018-04-02,82.290001,82.32,80.459999,81.199997,927700
2018-04-03,81.099998,81.550003,80.510002,81.160004,1058100
2018-04-04,80.82,81.449997,80.260002,81.199997,763400
2018-04-05,81.32,82.209999,80.209999,82.110001,734100
2018-04-06,82.230003,82.739998,81.82,81.919998,1216400
2018-04-09,81.870003,82.720001,81.449997,82.139999,728400
2018-04-10,82.419998,82.650002,81.669998,81.800003,657300
2018-04-11,81.580002,82.239998,81.330002,81.809998,794300
2018-04-12,80.900002,81.470001,80.25,80.650002,2152500
2018-04-13,81.040001,81.580002,80.650002,80.860001,934700
2018-04-16,82.0,83.0,81.849998,82.620003,1254200
2018-04-17,83.029999,84.449997,82.800003,84.07,1032200
2018-04-18,84.129997,84.580002,83.68,83.68,959400
2018-04-19,83.529999,83.900002,83.150002,83.660004,896800
2018-04-20,83.690002,83.879997,83.169998,83.669998,834600
2018-04-23,83.639999,84.290001,83.18,84.279999,575500
2018-04-24,84.529999,85.239998,84.029999,84.769997,828200
2018-04-25,84.540001,85.230003,84.010002,84.75,504300
2018-04-26,85.120003,86.029999,84.32,85.889999,679900
2018-04-27,85.870003,86.989998,85.809998,86.779999,936500
2018-04-30,86.910004,87.190002,86.370003,86.580002,745400
2018-05-01,86.379997,86.800003,86.110001,86.629997,571400
2018-05-02,86.459999,86.699997,85.559998,86.230003,916600
2018-05-03,86.019997,86.449997,84.110001,85.290001,1107400
2018-05-04,85.199997,85.949997,84.610001,85.720001,555700
2018-05-07,85.800003,85.800003,84.519997,84.800003,647600
2018-05-08,84.209999,84.620003,82.830002,83.010002,629800
2018-05-09,83.190002,83.370003,82.449997,83.230003,853400
2018-05-10,83.400002,83.82,82.900002,83.739998,607400
2018-05-11,83.900002,83.900002,83.040001,83.480003,480800
2018-05-14,83.480003,83.830002,82.489998,82.669998,838100
2018-05-15,82.400002,82.559998,81.029999,81.480003,806500
2018-05-16,81.529999,81.75,80.32,80.519997,691800
2018-05-17,80.099998,80.599998,79.949997,80.339996,723400
2018-05-18,80.610001,80.879997,79.93,80.449997,765700
2018-05-21,80.519997,80.870003,80.050003,80.529999,753500
2018-05-22,80.809998,81.129997,80.400002,80.510002,630400
2018-05-23,80.639999,81.150002,80.559998,80.940002,644700
2018-05-24,81.169998,82.160004,80.830002,82.050003,1016200
2018-05-25,82.050003,83.209999,81.879997,82.989998,1033100
2018-05-29,82.970001,84.519997,82.779999,83.919998,1052500
2018-05-30,83.75,84.68,83.529999,84.209999,621600
2018-05-31,83.910004,84.629997,83.07,83.139999,872600
2018-06-01,83.400002,83.639999,82.0,82.129997,742400
