date,open,high,low,close,volume
2018-01-02,109.779999,109.779999,108.610001,109.0,1491
2018-01-03,109.042397,109.300003,108.5,108.5,1032
2018-01-04,109.219902,109.219902,109.219902,109.219902,226
2018-01-05,109.988297,109.988297,109.2071,109.924698,1074
2018-01-08,108.785202,108.788002,108.7696,108.788002,1042
2018-01-09,109.0,109.0,108.5,108.5,1491
2018-01-10,109.254501,109.254501,109.254501,109.254501,483
2018-01-11,108.858498,108.858498,108.858498,108.858498,183
2018-01-12,108.5,109.217201,108.5,109.217201,626
2018-01-16,108.599998,110.0,108.599998,108.999901,1455
2018-01-17,108.717003,108.717003,108.717003,108.717003,135
2018-01-18,108.717003,108.717003,108.717003,108.717003,0
2018-01-19,108.5,109.019997,108.5,109.019997,436
2018-01-22,108.0,108.0,107.370003,107.370003,925
2018-01-23,107.160004,108.0,107.160004,107.776001,1308
2018-01-24,107.099998,107.5662,107.099998,107.5662,832
2018-01-25,107.099998,107.5,107.099998,107.5,853
2018-01-26,107.497803,107.497803,107.233498,107.291199,1032
2018-01-29,107.019997,107.019997,105.75,105.75,6267
2018-01-30,105.25,105.25,103.6101,104.134598,1910
2018-01-31,104.0,104.2117,103.010002,103.383904,3962
2018-02-01,102.999901,103.699997,102.999901,103.449997,2571
2018-02-02,102.0,103.300003,102.0,103.25,14285
2018-02-05,102.0,102.300003,100.0,100.699997,5772
2018-02-06,101.0,101.5,101.0,101.25,1701
2018-02-07,101.660004,102.540001,100.825996,102.0,2726
2018-02-08,102.0,102.0,102.0,102.0,0
2018-02-09,102.204002,104.550201,102.204002,103.75,982
2018-02-12,102.5,102.5,100.0,101.699997,18653
2018-02-13,105.949997,105.949997,105.949997,105.949997,389
2018-02-14,105.949997,105.949997,105.949997,105.949997,0
2018-02-15,103.68,104.0,102.0,102.202599,1944
2018-02-16,101.349998,102.0,101.0,102.0,1013
2018-02-20,101.25,103.089897,101.25,102.5,867
2018-02-21,101.650002,102.370003,101.5,102.370003,3676
2018-02-22,101.507004,103.25,101.507004,103.25,625
2018-02-23,101.109001,101.5,101.109001,101.5,265
2018-02-26,102.365402,102.365402,102.365402,102.365402,259
2018-02-27,102.994598,102.994598,102.994598,102.994598,351
2018-02-28,102.75,103.0,102.739998,103.0,7457
2018-03-01,102.963799,102.963799,102.963799,102.963799,253
2018-03-02,103.43,103.43,103.43,103.43,220
2018-03-05,103.0,103.0,102.75,102.75,277
2018-03-06,103.046799,103.046799,102.75,102.977699,801
2018-03-07,102.977699,102.977699,102.977699,102.977699,0
2018-03-08,102.977699,102.977699,102.977699,102.977699,0
2018-03-09,102.977699,102.977699,102.977699,102.977699,0
2018-03-12,102.474701,102.474701,102.474701,102.474701,428
2018-03-13,103.264999,103.264999,103.264999,103.264999,407
2018-03-14,103.084999,103.084999,103.084999,103.084999,265
2018-03-15,103.162598,103.162598,103.162598,103.162598,154
2018-03-16,102.480003,102.5,101.5,102.5,1298
2018-03-19,102.5,102.5,102.5,102.5,0
2018-03-20,101.601898,101.863297,101.449997,101.449997,2641
2018-03-21,101.480003,102.489998,101.480003,102.25,7530
2018-03-22,102.0,102.479897,102.0,102.479897,406
2018-03-23,101.300003,102.5,101.300003,101.528,940
2018-03-26,102.737999,102.737999,102.737999,102.737999,211
2018-03-27,101.510002,102.017601,101.510002,102.017601,368
2018-03-28,102.25,102.75,102.0,102.75,702
2018-03-29,102.599998,102.599998,102.599998,102.599998,220
2018-04-02,102.75,102.800003,102.75,102.800003,232
2018-04-03,102.800003,102.800003,102.800003,102.800003,0
2018-04-04,102.0,102.0,102.0,102.0,642
2018-04-05,103.0,103.0,103.0,103.0,300
2018-04-06,103.0,103.0,103.0,103.0,0
2018-04-09,102.989998,103.0,102.0,102.449997,2043
2018-04-10,101.599998,102.797203,101.599998,102.050003,922
2018-04-11,101.75,102.449997,101.75,102.1772,1859
2018-04-12,102.107002,102.0,101.75,101.75,481
2018-04-13,101.813004,102.075302,101.813004,102.075302,393
2018-04-16,103.0,102.989998,102.989998,102.989998,101
2018-04-17,102.989998,102.989998,102.989998,102.989998,0
2018-04-18,101.786003,101.852402,101.786003,101.852402,280
2018-04-19,101.550003,101.599998,101.550003,101.599998,559
2018-04-20,101.599998,101.599998,101.599998,101.599998,0
2018-04-23,101.900002,102.650002,101.900002,102.650002,4139
2018-04-24,102.5,102.5,102.5,102.5,182
2018-04-25,102.5,102.5,102.5,102.5,0
2018-04-26,102.75,102.75,101.75,102.75,893
2018-04-27,102.010002,102.660004,102.010002,102.338997,684
2018-04-30,101.939301,102.459999,101.599998,101.599998,2086
2018-05-01,101.510002,102.57,101.510002,102.57,1833
2018-05-02,102.57,102.57,102.57,102.57,0
2018-05-03,102.57,102.57,102.57,102.57,0
2018-05-04,101.0,101.170097,100.970001,101.170097,1010
2018-05-07,101.449997,101.5,100.774696,101.0,1662
2018-05-08,101.0,101.449898,100.510002,100.959999,1632
2018-05-09,100.949997,101.949997,100.940002,101.5,6101
2018-05-10,102.0,102.739998,101.849998,102.739998,671
2018-05-11,100.260002,100.260002,100.260002,100.260002,130
2018-05-14,102.690002,102.690002,102.690002,102.690002,119
2018-05-15,102.0,102.25,101.870003,101.870003,1810
2018-05-16,102.0,102.0,102.0,102.0,315
2018-05-17,100.703201,101.800003,100.703201,101.800003,818
2018-05-18,100.559998,102.25,100.559998,102.25,2310
2018-05-21,101.203003,102.25,101.1996,102.25,667
2018-05-22,101.970001,102.0,101.029999,101.648399,3521
2018-05-23,101.535004,101.535004,101.535004,101.535004,633
2018-05-24,101.575302,101.989998,101.575302,101.989998,417
2018-05-25,101.570099,101.989998,101.550003,101.550003,855
2018-05-29,101.260002,102.0,101.260002,102.0,1498
2018-05-30,102.279999,102.599998,101.720001,102.596703,1518
2018-05-31,101.959999,102.0,101.887497,102.0,727
2018-06-01,101.82,102.120003,101.059998,101.639999,1583
2018-06-04,102.449997,102.449997,100.565002,101.379997,525
2018-06-05,102.0,102.489998,102.0,102.059998,2112
2018-06-06,102.059998,102.059998,102.059998,102.059998,0
2018-06-07,102.477997,102.477997,100.629997,101.1325,1474
2018-06-08,102.193001,102.193001,102.193001,102.193001,635
2018-06-11,102.193001,102.193001,102.193001,102.193001,0
2018-06-12,102.550003,102.550003,102.550003,102.550003,212
2018-06-13,101.220001,101.733299,101.220001,101.733299,224
2018-06-14,101.25,101.25,101.25,101.25,206
2018-06-15,101.110001,102.982498,101.110001,102.199997,2160
2018-06-18,102.150002,102.151001,102.150002,102.150002,619
2018-06-19,102.900002,102.900002,102.6175,102.6175,385
2018-06-20,103.0,103.0,102.287102,103.0,1055
2018-06-21,101.910004,101.918999,101.910004,101.918999,306
2018-06-22,101.900002,102.550003,101.900002,102.550003,396
2018-06-25,101.559998,102.0,101.559998,102.0,1074
2018-06-26,101.480003,102.239998,101.480003,102.239998,501
2018-06-27,102.239998,102.239998,102.239998,102.239998,0
2018-06-28,102.970001,102.970001,102.970001,102.970001,315
2018-06-29,102.970001,102.970001,102.970001,102.970001,0
2018-07-02,102.5,102.5,102.5,102.5,1474
2018-07-03,102.5,102.900002,102.5,102.900002,462
2018-07-05,104.019997,104.019997,102.889999,103.25,1994
2018-07-06,104.5,104.5,104.5,104.5,336
2018-07-09,104.129997,104.540001,104.129997,104.449997,2259
2018-07-10,102.0,103.0,102.0,103.0,3133
2018-07-11,103.0,103.0,103.0,103.0,0
2018-07-12,102.959999,102.959999,102.959999,102.959999,353
2018-07-13,102.5,102.5,101.434998,101.463898,871
2018-07-16,103.5,103.5,102.75,103.400002,1395
2018-07-17,102.5,102.5,102.5,102.5,164
2018-07-18,101.519997,101.519997,101.519997,101.519997,1760
2018-07-19,102.040001,102.059998,102.019997,102.019997,391
2018-07-20,103.25,103.25,103.25,103.25,235
2018-07-23,102.099998,102.75,102.050003,102.75,1164
2018-07-24,102.040001,106.596001,101.260002,101.260002,490
2018-07-25,101.746002,103.5,101.746002,102.213997,1336
2018-07-26,103.257004,103.257004,103.257004,103.257004,241
2018-07-27,102.0,103.0,102.0,103.0,719
2018-07-30,101.82,102.023598,101.769997,101.973602,1261
2018-07-31,102.0,102.0,102.0,102.0,439
2018-08-01,102.0,102.0,102.0,102.0,0
2018-08-02,102.0,102.0,102.0,102.0,0
2018-08-03,102.0,102.0,102.0,102.0,0
2018-08-06,102.0,102.0,102.0,102.0,0
2018-08-07,102.5,103.0,102.5,102.5,851
2018-08-08,102.5,102.5,102.5,102.5,0
2018-08-09,102.160004,102.189003,102.050003,102.050003,1168
