date,open,high,low,close,volume
2018-01-02,147.059998,147.059998,145.009995,145.130005,889500
2018-01-03,144.949997,145.690002,144.679993,145.559998,640600
2018-01-04,145.259995,145.619995,144.550003,144.720001,409400
2018-01-05,145.080002,145.229996,144.490005,144.929993,241700
2018-01-08,145.0,145.199997,144.440002,144.949997,293700
2018-01-09,144.399994,144.580002,143.789993,144.380005,440200
2018-01-10,143.429993,144.009995,142.630005,143.860001,388500
2018-01-11,144.089996,144.809998,143.820007,143.990005,381000
2018-01-12,145.229996,145.389999,144.360001,144.720001,414200
2018-01-16,143.440002,144.050003,143.080002,143.139999,399200
2018-01-17,144.410004,146.0,144.300003,145.089996,346200
2018-01-18,145.080002,145.660004,144.570007,145.149994,421300
2018-01-19,145.660004,146.210007,145.119995,145.240005,364600
2018-01-22,145.110001,145.399994,144.610001,145.309998,435200
2018-01-23,145.839996,146.389999,145.300003,146.119995,333200
2018-01-24,145.470001,145.910004,144.320007,144.679993,452400
2018-01-25,147.460007,147.619995,144.710007,144.929993,555800
2018-01-26,145.800003,146.270004,144.360001,145.020004,421900
2018-01-29,142.710007,143.800003,141.809998,141.850006,671000
2018-01-30,142.830002,143.149994,142.410004,142.529999,409000
2018-01-31,143.259995,144.229996,143.119995,143.960007,472300
2018-02-01,143.0,143.940002,142.75,143.399994,411200
2018-02-02,142.970001,143.009995,141.539993,141.679993,358000
2018-02-05,139.300003,139.5,135.070007,135.130005,585000
2018-02-06,134.839996,137.119995,134.199997,137.029999,720500
2018-02-07,136.440002,138.070007,135.809998,135.880005,482200
2018-02-08,137.820007,137.839996,134.699997,134.729996,502600
2018-02-09,135.779999,136.020004,132.889999,135.220001,508000
2018-02-12,136.360001,137.25,135.929993,136.639999,393600
2018-02-13,137.309998,137.460007,136.600006,137.070007,460300
2018-02-14,137.460007,138.580002,137.139999,138.539993,520300
2018-02-15,139.300003,140.360001,138.759995,140.360001,340400
2018-02-16,140.080002,141.139999,140.029999,140.5,255500
2018-02-20,139.339996,140.039993,138.830002,139.029999,351100
2018-02-21,139.25,140.229996,138.070007,138.100006,346800
2018-02-22,137.330002,137.779999,136.529999,136.729996,429800
2018-02-23,138.279999,139.119995,137.960007,139.080002,322200
2018-02-26,139.550003,139.820007,138.699997,139.410004,217700
2018-02-27,138.809998,138.809998,137.009995,137.029999,436100
2018-02-28,137.0,137.039993,135.589996,135.639999,425400
2018-03-01,134.339996,134.630005,132.729996,133.779999,687100
2018-03-02,132.039993,132.850006,131.220001,132.789993,682600
2018-03-05,131.919998,134.009995,131.669998,133.929993,472900
2018-03-06,133.899994,133.899994,132.779999,133.429993,372200
2018-03-07,132.809998,133.080002,132.25,132.929993,348600
2018-03-08,134.479996,135.800003,134.240005,135.759995,428200
2018-03-09,135.600006,136.270004,135.279999,136.270004,226100
2018-03-12,136.550003,137.470001,136.380005,136.630005,395200
2018-03-13,136.240005,136.509995,135.149994,135.210007,252200
2018-03-14,136.619995,136.809998,134.929993,135.720001,248400
2018-03-15,135.919998,136.690002,135.570007,135.699997,214100
2018-03-16,135.729996,136.080002,135.509995,135.889999,224100
2018-03-19,135.220001,136.009995,135.020004,135.199997,252700
2018-03-20,135.550003,135.770004,135.059998,135.229996,366600
2018-03-21,134.649994,134.929993,133.300003,133.660004,379900
2018-03-22,133.399994,134.169998,132.919998,132.949997,442600
2018-03-23,133.649994,134.320007,132.039993,132.080002,502400
2018-03-26,134.339996,134.710007,133.649994,134.649994,362400
2018-03-27,133.779999,134.279999,132.740005,133.020004,362300
2018-03-28,135.089996,135.860001,134.529999,135.110001,302900
2018-03-29,135.690002,136.300003,135.259995,135.419998,718200
2018-04-02,135.229996,135.369995,133.279999,133.669998,194200
2018-04-03,135.119995,135.149994,133.949997,134.630005,301100
2018-04-04,135.160004,137.869995,135.080002,137.800003,667700
2018-04-05,138.259995,139.990005,138.110001,139.690002,384100
2018-04-06,140.0,140.830002,138.919998,139.169998,452300
2018-04-09,142.199997,142.199997,140.910004,140.919998,663500
2018-04-10,143.300003,143.529999,142.460007,142.929993,917100
2018-04-11,143.050003,143.199997,141.259995,141.369995,385000
2018-04-12,141.869995,141.869995,141.139999,141.449997,304600
2018-04-13,142.169998,142.449997,141.630005,142.0,370400
2018-04-16,140.789993,141.360001,139.880005,141.089996,1143500
2018-04-17,139.970001,140.449997,139.339996,139.770004,1664300
2018-04-18,139.990005,140.479996,139.580002,139.779999,867200
2018-04-19,140.860001,140.860001,138.770004,139.289993,497100
2018-04-20,138.149994,138.389999,137.539993,137.789993,734200
2018-04-23,136.619995,137.360001,136.5,137.25,281500
2018-04-24,138.389999,138.509995,136.789993,137.240005,243100
2018-04-25,137.240005,137.839996,136.770004,137.610001,244700
2018-04-26,139.330002,139.710007,138.679993,139.149994,268500
2018-04-27,140.139999,141.160004,139.779999,140.850006,361500
2018-04-30,141.679993,142.460007,141.669998,141.960007,429200
2018-05-01,141.850006,141.880005,141.190002,141.809998,437500
2018-05-02,142.110001,142.169998,140.169998,140.479996,471500
2018-05-03,141.320007,141.800003,140.789993,141.509995,421400
2018-05-04,143.210007,144.0,143.080002,143.550003,653900
2018-05-07,143.520004,143.699997,143.050003,143.610001,325100
2018-05-08,143.289993,143.960007,142.820007,143.899994,392500
2018-05-09,143.729996,144.550003,143.410004,144.059998,376200
2018-05-10,144.559998,144.619995,143.539993,144.100006,365600
2018-05-11,145.070007,145.199997,144.570007,144.690002,232900
2018-05-14,144.759995,144.929993,144.220001,144.490005,197800
2018-05-15,144.330002,144.679993,143.479996,144.410004,241400
2018-05-16,145.610001,146.339996,145.309998,145.789993,514900
2018-05-17,146.470001,146.580002,145.960007,146.279999,396700
2018-05-18,145.779999,145.869995,145.220001,145.460007,245900
2018-05-21,145.610001,145.979996,145.479996,145.720001,272100
