date,open,high,low,close,volume
2018-01-02,55.251938,55.290699,54.670544,54.864342,1672872
2018-01-03,54.94186,55.067829,54.573643,54.71899,1593408
2018-01-04,54.534885,54.583332,53.536823,53.536823,1939334
2018-01-05,53.58527,53.653103,53.207363,53.498062,1471219
2018-01-08,53.536823,53.672482,53.313953,53.565891,1133342
2018-01-09,53.498062,53.556202,52.509689,52.567829,1985258
2018-01-10,52.325581,52.364342,51.162792,51.41473,3772682
2018-01-11,51.598839,52.083332,51.501938,51.627907,2310958
2018-01-12,51.550388,51.569767,50.998062,51.08527,2132525
2018-01-16,51.35659,51.850777,51.279072,51.29845,2066477
2018-01-17,51.550388,51.841084,51.30814,51.589146,1718590
2018-01-18,51.405041,51.540699,50.988373,51.114342,1982988
2018-01-19,51.240311,51.501938,50.96899,51.492249,2040780
2018-01-22,51.521317,52.228683,51.521317,52.189922,1760076
2018-01-23,52.27713,52.868217,52.27713,52.839146,1692274
2018-01-24,52.732559,52.887596,52.189922,52.33527,1719931
2018-01-25,52.33527,52.771317,52.257751,52.751938,1690829
2018-01-26,52.810078,52.839146,52.306202,52.529072,1726123
2018-01-29,52.325581,52.490311,51.017441,51.405041,2185879
2018-01-30,51.30814,51.35659,50.658916,50.833332,2155332
2018-01-31,50.707363,51.792637,50.591084,51.540699,3748534
2018-02-01,51.443798,51.560078,49.815891,49.990311,3291048
2018-02-02,49.515503,49.854652,48.85659,49.660854,2595067
2018-02-05,49.312016,50.184109,48.498062,48.546513,3214474
2018-02-06,48.217052,49.089146,47.490311,48.517441,3945542
2018-02-07,48.546513,49.370155,47.374031,47.403103,6054847
2018-02-08,47.325581,47.800388,46.065891,46.08527,4539149
2018-02-09,46.385658,47.751938,45.949612,47.38372,3337075
2018-02-12,47.538761,47.703487,45.784885,47.170544,4427899
2018-02-13,47.141472,47.655041,46.47287,47.470928,2945122
2018-02-14,47.044575,47.141472,46.29845,46.608528,2815812
2018-02-15,46.773254,47.839146,46.647285,47.751938,3099509
2018-02-16,47.800388,48.478683,47.78101,48.410854,3000437
2018-02-20,48.352715,48.69186,47.858528,47.868217,3075360
2018-02-21,47.751938,48.032948,46.841084,46.889534,3612310
2018-02-22,47.054264,48.207363,46.763565,47.771317,3034596
2018-02-23,47.926357,48.682171,47.810078,48.64341,2451619
2018-02-26,48.817829,49.205425,48.604652,49.03101,2905802
2018-02-27,49.108528,49.263565,47.819767,47.839146,3318912
2018-02-28,47.965115,48.255814,47.625969,47.655041,3509006
2018-03-01,47.645348,48.304264,47.325581,48.071705,2577833
2018-03-02,47.916668,48.236435,47.625969,48.187984,2082163
2018-03-05,48.042637,49.069767,48.042637,48.75,1864308
2018-03-06,48.594959,49.001938,48.362404,48.97287,1872770
2018-03-07,48.837208,49.321705,48.575581,49.273254,1491343
2018-03-08,49.302326,49.563953,48.769379,49.011627,1643563
2018-03-09,49.021317,49.292637,48.546513,49.292637,1530353
2018-03-12,49.321705,49.786823,49.127907,49.660854,1746970
2018-03-13,49.854652,50.397285,49.738373,49.854652,1493407
2018-03-14,49.854652,50.184109,49.699612,49.796513,1762553
2018-03-15,49.95155,50.04845,49.331394,49.554264,1435202
2018-03-16,49.554264,50.11628,49.282948,49.874031,2727060
2018-03-19,49.854652,49.990311,49.011627,49.321705,1796299
2018-03-20,49.370155,49.689922,48.653103,48.91473,1784741
2018-03-21,48.982559,49.069767,48.042637,48.352715,2388667
2018-03-22,48.275192,49.118217,48.275192,48.323643,1957085
2018-03-23,48.381783,48.536823,47.596897,47.800388,2054196
