date,open,high,low,close,volume
2018-01-02,105.82,106.169998,104.160004,104.389999,5126800
2018-01-03,104.360001,104.860001,103.849998,104.260002,3589600
2018-01-04,104.239998,104.489998,103.470001,103.470001,4170100
2018-01-05,103.269997,104.599998,103.269997,104.300003,4641400
2018-01-08,103.980003,104.669998,103.849998,104.139999,4911600
2018-01-09,104.75,105.440002,104.239998,104.889999,3939200
2018-01-10,105.019997,106.040001,103.879997,105.629997,3696500
2018-01-11,106.32,106.620003,104.410004,104.860001,4109300
2018-01-12,105.57,105.639999,103.910004,104.5,5513700
2018-01-16,104.550003,104.980003,103.769997,104.870003,5855600
2018-01-17,105.080002,106.25,105.080002,105.790001,4009400
2018-01-18,105.459999,105.709999,104.800003,105.07,4134600
2018-01-19,105.580002,109.110001,105.540001,108.919998,5818900
2018-01-22,109.150002,109.68,108.459999,108.809998,4762300
2018-01-23,108.5,109.779999,108.400002,109.529999,3778100
2018-01-24,109.559998,110.889999,109.559998,110.599998,4404100
2018-01-25,110.43,111.25,103.019997,107.489998,11823700
2018-01-26,107.360001,110.459999,107.309998,110.190002,6000700
2018-01-29,109.629997,109.699997,108.410004,108.610001,3952500
2018-01-30,108.199997,109.370003,107.75,107.940002,4069700
2018-01-31,108.230003,108.470001,106.739998,107.230003,5041600
2018-02-01,107.040001,107.580002,104.93,105.169998,7612900
2018-02-02,105.0,105.529999,103.190002,103.440002,6421800
2018-02-05,102.93,103.480003,98.510002,98.690002,7901200
2018-02-06,97.309998,100.639999,96.660004,100.330002,9591600
2018-02-07,99.900002,101.610001,98.5,98.879997,5916800
2018-02-08,99.519997,102.379997,99.0,100.389999,11214300
2018-02-09,100.900002,101.599998,98.550003,99.940002,9899900
2018-02-12,100.269997,103.07,99.790001,102.400002,6468900
2018-02-13,101.739998,103.160004,100.980003,103.050003,5182300
2018-02-14,102.75,103.5,101.739998,102.540001,4253800
2018-02-15,102.559998,103.709999,102.059998,103.690002,4361100
2018-02-16,103.309998,105.129997,103.050003,104.309998,5209400
2018-02-20,103.699997,103.889999,102.330002,102.849998,3974900
2018-02-21,103.099998,105.050003,102.980003,103.720001,5661100
2018-02-22,103.660004,105.510002,102.889999,102.980003,4072900
2018-02-23,103.650002,106.360001,103.43,106.110001,4824700
2018-02-26,106.230003,106.790001,105.18,106.68,5654700
2018-02-27,106.389999,106.470001,104.080002,104.080002,4414500
2018-02-28,105.400002,105.629997,103.5,103.550003,5346000
2018-03-01,103.669998,105.050003,102.93,104.68,6683300
2018-03-02,104.309998,107.080002,104.309998,106.809998,6229100
2018-03-05,106.040001,107.839996,105.769997,107.699997,5557500
2018-03-06,107.760002,108.0,106.620003,107.980003,6041000
2018-03-07,106.970001,107.849998,106.330002,106.889999,3271400
2018-03-08,107.160004,109.059998,106.940002,109.0,4053800
2018-03-09,109.459999,109.900002,107.980003,108.300003,4398000
2018-03-12,107.989998,108.57,107.139999,107.139999,5081300
2018-03-13,107.580002,107.75,106.830002,107.239998,3847100
2018-03-14,107.510002,107.75,105.360001,105.610001,3287300
2018-03-15,105.290001,105.790001,104.779999,104.989998,3620800
2018-03-16,105.0,105.800003,103.169998,103.459999,8277000
2018-03-19,103.129997,103.449997,101.699997,101.739998,4968100
2018-03-20,101.879997,102.18,100.120003,100.269997,5194600
2018-03-21,99.080002,99.459999,97.059998,97.75,5917500
2018-03-22,97.559998,99.25,97.300003,97.669998,9655800
2018-03-23,98.300003,98.720001,95.510002,95.629997,5709200
2018-03-26,96.489998,97.110001,95.980003,96.349998,5239200
2018-03-27,96.360001,97.669998,95.970001,96.730003,7207000
2018-03-28,97.449997,100.18,97.220001,99.790001,7571000
2018-03-29,100.279999,101.010002,99.220001,99.400002,3489300
2018-04-02,99.589996,99.93,97.309998,97.540001,4673600
2018-04-03,98.290001,100.07,97.5,99.849998,5735000
2018-04-04,99.190002,101.360001,98.900002,100.919998,5150600
2018-04-05,101.389999,102.209999,100.209999,101.699997,4507900
2018-04-06,101.620003,102.410004,100.540001,101.019997,5049200
2018-04-09,101.480003,102.040001,100.43,100.699997,4198100
2018-04-10,101.25,101.779999,100.519997,101.099998,2860100
2018-04-11,100.910004,102.290001,100.629997,100.720001,3623600
2018-04-12,101.330002,101.93,100.029999,100.25,3518500
2018-04-13,100.790001,102.330002,100.25,101.849998,3985900
2018-04-16,102.260002,103.349998,101.730003,102.949997,3971200
2018-04-17,103.199997,103.550003,102.260002,103.300003,6145300
2018-04-18,102.889999,103.110001,100.599998,101.440002,5523700
2018-04-19,93.519997,94.260002,83.5,85.639999,45570300
2018-04-20,85.709999,86.300003,83.82,84.269997,17814200
2018-04-23,84.110001,84.589996,83.089996,83.669998,11783300
2018-04-24,83.150002,83.589996,80.639999,82.489998,13897700
2018-04-25,82.599998,82.940002,81.43,81.809998,8361000
2018-04-26,82.220001,82.300003,80.470001,81.489998,9191300
2018-04-27,81.559998,83.550003,81.349998,82.559998,6591600
2018-04-30,82.75,83.309998,81.870003,82.0,6497600
2018-05-01,81.400002,81.699997,80.790001,81.199997,4553800
2018-05-02,81.019997,81.18,79.830002,80.099998,6460700
2018-05-03,80.120003,81.339996,79.709999,80.440002,5784400
2018-05-04,80.540001,82.510002,80.5,81.870003,5561200
2018-05-07,81.900002,82.080002,81.160004,81.510002,4519300
2018-05-08,81.339996,81.389999,80.32,80.809998,5108500
2018-05-09,81.0,82.790001,80.970001,81.989998,5021900
2018-05-10,81.940002,83.040001,81.900002,83.0,4632600
2018-05-11,82.709999,83.019997,81.019997,81.199997,6557200
2018-05-14,81.25,81.720001,80.730003,80.860001,5298300
2018-05-15,80.419998,80.57,79.400002,79.93,8023300
