date,open,high,low,close,volume
2018-01-02,163.080002,164.580002,160.410004,160.630005,931600
2018-01-03,159.770004,163.0,159.350006,162.639999,773300
2018-01-04,162.830002,163.809998,161.070007,161.75,1055800
2018-01-05,162.529999,163.639999,162.070007,162.869995,826800
2018-01-08,163.240005,163.940002,162.570007,162.889999,827900
2018-01-09,162.919998,164.240005,162.660004,163.550003,684200
2018-01-10,163.029999,163.619995,157.75,160.889999,915000
2018-01-11,161.389999,161.389999,156.270004,157.5,959800
2018-01-12,157.009995,157.740005,154.949997,155.940002,877600
2018-01-16,157.479996,162.789993,157.0,159.850006,1412800
2018-01-17,159.720001,162.979996,159.699997,161.470001,751100
2018-01-18,160.889999,162.509995,159.869995,161.649994,1441200
2018-01-19,161.800003,165.979996,161.149994,165.789993,1618000
2018-01-22,165.550003,167.889999,164.820007,167.649994,1027700
2018-01-23,168.160004,169.149994,166.580002,168.25,834700
2018-01-24,168.25,169.679993,167.860001,168.949997,627500
2018-01-25,168.889999,170.710007,168.699997,170.289993,1038100
2018-01-26,171.149994,172.630005,169.779999,172.279999,802500
2018-01-29,171.830002,173.0,169.289993,169.520004,789700
2018-01-30,169.029999,170.169998,166.970001,169.710007,1159800
2018-01-31,170.270004,176.0,169.75,174.5,1399200
2018-02-01,174.410004,177.669998,170.009995,174.729996,1340900
2018-02-02,173.270004,174.910004,171.429993,173.210007,777700
2018-02-05,173.25,174.210007,168.169998,168.270004,1336000
2018-02-06,166.839996,168.539993,162.630005,166.0,2522700
2018-02-07,165.149994,168.600006,165.149994,166.509995,1075500
2018-02-08,166.589996,168.490005,159.75,159.850006,1271700
2018-02-09,160.600006,162.789993,154.360001,159.729996,1305800
2018-02-12,160.25,161.720001,157.259995,159.630005,1271700
2018-02-13,159.100006,162.110001,158.729996,161.419998,1249100
2018-02-14,159.580002,163.380005,157.440002,162.559998,1392100
2018-02-15,162.889999,167.639999,160.080002,167.100006,1146400
2018-02-16,166.75,170.169998,165.089996,169.119995,1438200
2018-02-20,168.070007,170.729996,168.070007,169.720001,819000
2018-02-21,169.429993,172.529999,168.960007,169.5,1210200
2018-02-22,170.429993,173.539993,170.0,171.119995,1011600
2018-02-23,172.080002,173.559998,171.309998,172.929993,887500
2018-02-26,172.919998,174.220001,171.809998,172.729996,1298300
2018-02-27,161.820007,170.0,160.509995,163.199997,2728600
2018-02-28,163.880005,165.039993,157.139999,157.270004,1996500
2018-03-01,157.570007,157.570007,153.880005,154.960007,1396000
2018-03-02,153.509995,155.119995,151.979996,152.910004,1627000
2018-03-05,152.139999,156.990005,151.429993,156.679993,1335900
2018-03-06,157.330002,158.149994,155.449997,156.5,1078400
2018-03-07,156.009995,159.389999,156.009995,158.770004,1347200
2018-03-08,158.830002,164.380005,156.270004,164.210007,1129000
2018-03-09,164.460007,166.589996,163.580002,166.490005,1120900
2018-03-12,166.919998,169.259995,166.160004,168.910004,784400
2018-03-13,169.779999,170.580002,168.649994,170.339996,1039500
2018-03-14,170.25,170.600006,168.699997,170.229996,999400
2018-03-15,170.75,171.380005,167.960007,169.800003,909000
2018-03-16,169.660004,170.669998,167.289993,168.690002,1168700
2018-03-19,168.699997,169.710007,167.460007,168.960007,1176900
2018-03-20,169.029999,171.110001,168.979996,169.330002,1368700
2018-03-21,169.929993,171.039993,166.729996,167.089996,1103100
2018-03-22,166.179993,171.860001,165.490005,169.410004,1316900
2018-03-23,169.389999,172.570007,167.979996,168.869995,1312800
2018-03-26,170.449997,173.580002,168.539993,173.429993,802400
2018-03-27,173.300003,175.0,169.490005,170.100006,1296400
2018-03-28,170.550003,172.119995,168.570007,170.460007,868000
2018-03-29,170.830002,172.649994,169.240005,170.919998,1144400
2018-04-02,171.149994,172.770004,167.809998,169.119995,972400
2018-04-03,169.970001,170.509995,166.259995,168.669998,1047600
2018-04-04,167.449997,171.25,167.160004,170.339996,672600
2018-04-05,170.889999,173.139999,170.179993,171.690002,690400
2018-04-06,171.160004,172.990005,168.660004,169.729996,849600
2018-04-09,170.100006,172.830002,169.990005,171.580002,810900
2018-04-10,172.839996,173.850006,156.419998,163.070007,5422600
2018-04-11,161.910004,166.869995,160.0,164.389999,1557300
2018-04-12,165.350006,166.979996,161.419998,164.449997,1461000
2018-04-13,165.149994,165.160004,163.25,164.539993,1067600
2018-04-16,165.110001,167.699997,163.139999,166.149994,692500
2018-04-17,166.520004,169.570007,165.449997,167.770004,880500
2018-04-18,167.259995,168.5,166.539993,167.839996,640600
2018-04-19,167.0,167.0,163.369995,165.610001,1031300
2018-04-20,166.059998,168.929993,165.020004,165.690002,765100
2018-04-23,165.570007,166.949997,164.979996,165.820007,780800
2018-04-24,166.850006,169.009995,164.369995,164.929993,1112000
2018-04-25,163.949997,165.259995,163.419998,164.490005,1138600
2018-04-26,165.509995,166.639999,164.5,165.220001,1031100
2018-04-27,161.910004,162.899994,156.580002,158.949997,1825500
2018-04-30,158.649994,161.940002,157.809998,160.229996,1846000
2018-05-01,161.839996,161.839996,153.759995,157.5,1880000
2018-05-02,155.800003,156.889999,151.240005,155.850006,1592700
