date,open,high,low,close,volume
2018-01-02,57.950001,58.209999,57.48,57.630001,7216000
2018-01-03,57.93,58.959999,57.799999,58.709999,7478400
2018-01-04,58.990002,59.41,58.73,58.93,5775900
2018-01-05,59.25,59.689999,59.07,59.610001,6047700
2018-01-08,59.48,59.669998,58.560001,59.310001,6335800
2018-01-09,59.200001,59.470001,58.860001,59.18,5233400
2018-01-10,60.0,60.130001,58.860001,59.82,8656500
2018-01-11,59.52,60.02,59.450001,60.0,5806300
2018-01-12,60.400002,60.509998,59.650002,60.400002,6989100
2018-01-16,60.330002,61.099998,60.299999,60.560001,8040700
2018-01-17,61.0,61.330002,60.52,60.66,8433800
2018-01-18,61.43,61.439999,60.740002,61.09,9170900
2018-01-19,61.209999,61.459999,60.950001,61.259998,8361900
2018-01-22,61.040001,61.470001,60.77,61.41,11945800
2018-01-23,61.32,61.91,61.139999,61.689999,10806800
2018-01-24,61.509998,61.939999,60.23,60.830002,11911900
2018-01-25,61.029999,61.200001,60.400002,60.549999,16225600
2018-01-26,57.939999,58.169998,56.549999,57.990002,51851700
2018-01-29,57.549999,58.349998,56.91,57.02,18899900
2018-01-30,56.959999,57.540001,56.740002,57.189999,14341200
2018-01-31,57.23,57.450001,56.700001,56.810001,13118400
2018-02-01,56.279999,56.419998,55.889999,56.0,14690100
2018-02-02,55.900002,56.32,55.700001,55.77,15358900
2018-02-05,55.529999,56.259998,54.57,54.689999,16060000
2018-02-06,53.689999,56.060001,53.560001,55.610001,17415100
2018-02-07,55.080002,55.43,54.439999,54.459999,13927000
2018-02-08,54.5,54.790001,53.75,53.77,17736700
2018-02-09,54.200001,55.060001,53.650002,54.580002,19382000
2018-02-12,54.860001,55.73,54.549999,55.380001,10969000
2018-02-13,55.25,55.720001,55.02,55.669998,10416400
2018-02-14,55.470001,56.700001,55.290001,55.990002,14190300
2018-02-15,56.360001,56.830002,55.900002,56.580002,10294900
2018-02-16,56.650002,57.049999,56.34,56.48,10151300
2018-02-20,56.290001,56.540001,55.830002,55.970001,9450900
2018-02-21,55.93,56.740002,55.860001,56.099998,7851000
2018-02-22,55.950001,56.139999,55.259998,55.400002,10172400
2018-02-23,55.650002,56.150002,54.799999,56.139999,11394400
2018-02-26,56.419998,57.349998,56.32,57.169998,8713800
2018-02-27,57.290001,57.639999,56.560001,56.57,8821400
2018-02-28,56.84,57.919998,56.830002,57.099998,11541100
2018-03-01,57.0,57.560001,55.830002,56.169998,11127600
2018-03-02,55.720001,57.200001,55.68,56.93,11555100
2018-03-05,56.830002,57.419998,56.68,56.990002,7835400
2018-03-06,57.25,57.25,56.540001,57.029999,8046800
2018-03-07,56.619999,57.169998,56.619999,57.029999,7044100
2018-03-08,57.290001,57.799999,57.130001,57.470001,7434700
2018-03-09,57.669998,58.630001,57.669998,58.459999,9539600
2018-03-12,58.669998,59.68,58.48,59.400002,10550300
2018-03-13,59.700001,60.700001,58.889999,59.049999,10411400
2018-03-14,59.279999,59.720001,58.709999,58.830002,6488500
2018-03-15,58.93,60.07,58.82,59.369999,7377000
2018-03-16,59.380001,59.650002,58.939999,59.0,13030900
2018-03-19,58.700001,58.849998,57.799999,58.299999,9350600
2018-03-20,58.450001,58.98,58.450001,58.66,5888400
2018-03-21,58.75,59.549999,58.389999,58.470001,6569100
2018-03-22,58.029999,58.720001,57.75,57.77,6846500
2018-03-23,57.779999,57.93,56.310001,56.310001,9476800
2018-03-26,56.959999,58.0,56.549999,57.799999,8444900
2018-03-27,58.099998,58.5,57.139999,57.459999,7562900
2018-03-28,57.5,58.099998,57.220001,57.900002,9301900
2018-03-29,57.259998,58.139999,56.830002,57.889999,12015200
2018-04-02,57.52,57.73,55.380001,56.240002,16778300
2018-04-03,56.549999,58.049999,56.450001,58.0,10908200
2018-04-04,57.25,58.970001,57.209999,58.830002,7893100
2018-04-05,59.0,59.27,58.860001,59.139999,6305100
2018-04-06,58.779999,59.139999,58.09,58.34,8264500
2018-04-09,58.540001,59.369999,58.419998,58.700001,8023800
2018-04-10,59.110001,59.490002,58.869999,59.41,6545000
2018-04-11,59.189999,59.709999,59.0,59.419998,5508000
2018-04-12,59.66,60.119999,59.419998,59.43,6088200
2018-04-13,59.0,59.549999,58.959999,59.240002,6689800
2018-04-16,59.130001,59.689999,58.84,59.43,6119200
2018-04-17,59.75,60.0,59.400002,59.830002,6139600
2018-04-18,59.73,59.830002,59.439999,59.5,5914200
2018-04-19,59.419998,59.490002,58.73,59.220001,6280100
2018-04-20,59.029999,59.18,57.799999,58.0,12037600
2018-04-23,58.009998,58.73,57.689999,58.16,8444400
2018-04-24,58.48,58.66,57.650002,57.810001,7793600
2018-04-25,58.27,58.27,57.290001,57.709999,8367400
2018-04-26,58.110001,60.18,57.849998,59.380001,14516600
2018-04-27,58.07,58.98,57.5,58.360001,11975200
2018-04-30,58.389999,58.509998,57.459999,57.57,7854600
2018-05-01,57.669998,58.25,57.439999,58.130001,7257500
2018-05-02,58.060001,58.09,56.529999,56.700001,7299100
2018-05-03,56.52,56.57,55.540001,56.130001,7152400
2018-05-04,56.540001,57.93,56.490002,57.68,9279200
2018-05-07,58.990002,59.040001,57.27,57.450001,10630600
2018-05-08,57.450001,57.709999,57.0,57.669998,7234000
2018-05-09,57.43,57.619999,56.790001,57.040001,7015300
2018-05-10,57.18,57.700001,57.02,57.650002,6565800
2018-05-11,57.720001,57.860001,57.07,57.27,5843400
2018-05-14,57.360001,57.509998,56.990002,57.130001,5871800
2018-05-15,57.0,57.099998,56.349998,56.639999,7415800
2018-05-16,56.830002,57.330002,56.790001,57.150002,4843900
2018-05-17,57.200001,57.349998,56.98,57.200001,6110100
2018-05-18,57.27,57.389999,56.860001,57.16,7786000
2018-05-21,57.400002,57.82,57.259998,57.34,5379300
2018-05-22,57.5,57.619999,56.91,56.959999,5355600
2018-05-23,56.799999,57.57,56.759998,57.490002,5339900
2018-05-24,57.439999,57.740002,57.119999,57.68,5681600
2018-05-25,57.68,58.380001,57.580002,57.919998,6783800
2018-05-29,57.700001,57.880001,57.009998,57.23,6475900
2018-05-30,57.43,57.66,57.150002,57.48,5762400
2018-05-31,57.18,57.470001,56.549999,56.669998,9433000
2018-06-01,56.84,57.029999,56.610001,56.91,4967700
2018-06-04,57.099998,57.200001,56.799999,57.07,7484100
2018-06-05,56.689999,56.700001,55.279999,55.68,18278800
2018-06-06,55.84,57.18,55.619999,57.169998,13709800
2018-06-07,57.290001,57.939999,57.09,57.139999,7919800
2018-06-08,56.919998,57.060001,56.52,56.599998,8433500
2018-06-11,56.610001,56.740002,56.27,56.48,7181700
2018-06-12,56.599998,56.900002,56.299999,56.48,8249700
2018-06-13,56.509998,56.700001,56.18,56.209999,8283200
2018-06-14,56.459999,57.07,56.310001,57.02,11049700
2018-06-15,57.040001,57.209999,56.459999,57.110001,12408300
2018-06-18,56.77,57.32,56.110001,57.220001,9676900
2018-06-19,56.650002,57.5,56.34,57.43,9965500
2018-06-20,54.830002,55.009998,51.580002,52.220001,62091100
2018-06-21,52.290001,52.630001,50.360001,50.619999,30723000
2018-06-22,51.0,51.720001,50.82,51.240002,24429600
2018-06-25,51.16,51.439999,50.209999,50.66,15578600
2018-06-26,50.509998,50.630001,50.110001,50.380001,12930600
2018-06-27,50.52,50.529999,49.84,49.84,14576900
2018-06-28,49.450001,49.48,47.369999,48.540001,33210100
2018-06-29,48.080002,49.259998,48.080002,48.849998,17413000
2018-07-02,48.639999,49.099998,48.549999,49.060001,9870900
2018-07-03,49.150002,49.299999,48.759998,48.77,7517500
2018-07-05,48.919998,49.029999,48.400002,48.610001,9630500
2018-07-06,48.900002,49.189999,48.580002,48.98,10712000
2018-07-09,49.209999,50.049999,49.209999,49.900002,12811700
2018-07-10,50.080002,50.509998,49.959999,50.419998,9038000
2018-07-11,50.220001,50.48,50.02,50.139999,9542400
2018-07-12,50.360001,50.66,50.200001,50.25,9339200
2018-07-13,50.259998,51.650002,50.259998,51.619999,21718400
2018-07-16,51.549999,51.549999,50.689999,50.939999,16974900
2018-07-17,50.66,51.299999,50.599998,51.279999,11421300
2018-07-18,51.34,51.619999,51.0,51.150002,13549500
2018-07-19,51.110001,51.490002,51.0,51.34,11415600
2018-07-20,51.060001,51.240002,50.75,50.91,11024100
2018-07-23,50.759998,51.27,50.759998,51.189999,8406800
2018-07-24,51.299999,51.720001,51.060001,51.169998,9921500
2018-07-25,51.009998,51.720001,51.009998,51.619999,11368000
2018-07-26,51.68,51.84,51.34,51.450001,11114800
2018-07-27,51.5,52.599998,50.209999,52.150002,15770300
2018-07-30,52.200001,52.849998,51.759998,51.900002,14448400
2018-07-31,52.029999,52.689999,51.849998,52.389999,9228200
2018-08-01,52.240002,52.240002,51.25,51.93,11952400
2018-08-02,52.099998,52.349998,51.43,51.68,13636400
2018-08-03,51.700001,52.450001,51.580002,52.23,8246100
2018-08-06,52.099998,52.27,51.799999,52.07,6505800
2018-08-07,52.080002,52.209999,51.799999,52.07,5869400
