date,open,high,low,close,volume
2018-01-02,73.220001,73.220001,73.220001,73.220001,243
2018-01-03,71.449997,71.449997,71.449997,71.449997,273
2018-01-04,71.75,71.75,71.75,71.75,360
2018-01-05,74.784897,74.784897,74.784897,74.784897,117
2018-01-08,72.699997,72.699997,71.7938,71.807999,1092
2018-01-09,71.879601,71.879601,71.300003,71.471703,876
2018-01-10,71.300003,71.5,71.300003,71.400002,415
2018-01-11,70.959999,71.420502,70.959999,71.214104,851
2018-01-12,71.848297,71.848297,71.848297,71.848297,100
2018-01-16,71.848297,71.848297,71.848297,71.848297,0
2018-01-17,71.848297,71.848297,71.848297,71.848297,0
2018-01-18,71.812798,71.812798,71.802803,71.802803,201
2018-01-19,71.802803,71.802803,71.802803,71.802803,0
2018-01-22,70.870003,70.870003,70.870003,70.870003,152
2018-01-23,71.876999,71.876999,71.876999,71.876999,351
2018-01-24,71.876999,71.876999,71.876999,71.876999,0
2018-01-25,70.849998,71.875999,70.849998,71.875999,279
2018-01-26,70.480003,70.633797,70.228897,70.633797,1626
2018-01-29,70.507004,70.507004,70.290001,70.290001,266
2018-01-30,70.099998,70.099998,69.599998,69.905998,611
2018-01-31,70.639999,70.639999,67.900002,69.010002,2270
2018-02-01,68.459999,69.5345,68.459999,69.5345,575
2018-02-02,69.629997,70.650002,69.629997,70.542397,1463
2018-02-05,70.522003,70.522003,68.139999,68.139999,811
2018-02-06,69.745903,69.745903,69.745903,69.745903,101
2018-02-07,68.269997,68.269997,68.269997,68.269997,127
2018-02-08,68.800003,68.937599,68.800003,68.900101,501
2018-02-09,70.0,70.0,70.0,70.0,404
2018-02-12,70.0,70.0,70.0,70.0,400
2018-02-13,70.0,70.0,70.0,70.0,0
2018-02-14,71.0,71.0,71.0,71.0,100
2018-02-15,71.365402,71.365402,71.365402,71.365402,135
2018-02-16,69.0,69.0,68.278198,68.278198,500
2018-02-20,68.705498,69.250298,68.705498,69.199898,997
2018-02-21,68.75,68.75,68.75,68.75,152
2018-02-22,69.25,69.25,69.25,69.25,1329
2018-02-23,67.510002,67.510002,67.5,67.5,541
2018-02-26,67.949997,69.725197,67.949997,69.414001,400
2018-02-27,68.0,68.25,68.0,68.0,486
2018-02-28,69.949997,69.980003,69.000099,69.000099,1311
2018-03-01,69.000099,69.000099,69.000099,69.000099,0
2018-03-02,71.580002,72.0,71.580002,71.816597,1121
2018-03-05,72.701401,72.701401,72.701401,72.701401,590
2018-03-06,72.701401,72.701401,72.701401,72.701401,0
2018-03-07,72.690002,72.690002,69.599998,69.599998,650
2018-03-08,69.599998,69.599998,69.599998,69.599998,0
2018-03-09,69.599998,69.599998,69.599998,69.599998,0
2018-03-12,72.650002,72.839897,70.250099,70.250099,555
2018-03-13,72.349998,72.349998,72.349998,72.349998,200
2018-03-14,69.663399,69.663399,69.663399,69.663399,471
2018-03-15,69.663399,69.663399,69.663399,69.663399,0
2018-03-16,69.708504,69.708504,69.5,69.5,410
2018-03-19,69.264198,69.264198,69.264198,69.264198,197
2018-03-20,70.0,70.419998,69.550003,69.550003,700
2018-03-21,69.510002,69.510002,69.510002,69.510002,226
2018-03-22,69.510002,69.510002,69.510002,69.510002,0
2018-03-23,70.559998,70.559998,69.649002,69.650002,880
2018-03-26,69.5,71.0,68.510002,68.510002,436
2018-03-27,68.209999,69.889999,68.019997,69.6791,2645
2018-03-28,69.550003,71.614601,69.550003,71.614601,418
2018-03-29,71.614601,71.614601,71.614601,71.614601,0
2018-04-02,69.540001,72.880898,69.540001,69.589996,1397
2018-04-03,71.753998,71.753998,69.540001,69.540001,1571
2018-04-04,69.540001,69.540001,69.540001,69.540001,0
2018-04-05,69.540001,69.540001,69.540001,69.540001,0
2018-04-06,69.540001,69.540001,69.540001,69.540001,0
2018-04-09,69.540001,69.540001,69.540001,69.540001,0
2018-04-10,69.25,69.25,68.139999,68.889999,1189
2018-04-11,68.099998,68.236099,68.050003,68.050003,1010
2018-04-12,68.480003,68.480003,68.400002,68.400002,512
2018-04-13,68.260002,68.260002,68.110001,68.110001,271
2018-04-16,68.209999,68.209999,67.900002,67.900002,1170
2018-04-17,67.900002,67.900002,67.900002,67.900002,0
2018-04-18,67.5,67.5,67.360001,67.5,1485
2018-04-19,67.5,67.5,67.5,67.5,375
2018-04-20,67.5,67.5,67.5,67.5,0
2018-04-23,67.550003,67.550003,67.550003,67.550003,598
2018-04-24,67.550003,67.550003,67.550003,67.550003,0
2018-04-25,67.550003,67.550003,67.550003,67.550003,0
2018-04-26,68.050003,68.050003,68.050003,68.050003,303
2018-04-27,68.050003,68.050003,68.050003,68.050003,0
2018-04-30,68.989998,68.989998,68.147301,68.147301,711
2018-05-01,68.147301,68.147301,68.147301,68.147301,0
2018-05-02,67.660004,67.660004,67.599998,67.599998,426
2018-05-03,67.510002,68.0,67.510002,67.889999,612
2018-05-04,67.889999,68.199898,67.889999,68.199898,795
2018-05-07,67.5,67.761803,67.5,67.5,870
2018-05-08,68.0,68.099899,68.0,68.094704,700
2018-05-09,68.099998,70.300003,68.099998,69.480003,1000
2018-05-10,69.480003,69.487099,68.190002,68.825302,1245
2018-05-11,68.949997,68.949997,68.949997,68.949997,517
2018-05-14,69.313202,69.400002,68.341003,69.379997,1877
2018-05-15,68.444702,68.444702,68.444702,68.444702,100
2018-05-16,68.099998,69.25,68.099998,68.770302,1535
2018-05-17,68.099998,68.599998,68.099998,68.599998,405
2018-05-18,68.940002,68.940002,68.940002,68.940002,250
2018-05-21,68.800003,68.800003,68.800003,68.800003,350
2018-05-22,69.449997,69.449997,68.660004,68.797302,478
2018-05-23,69.244202,69.311996,68.919998,69.311996,400
2018-05-24,69.0,69.242996,69.0,69.242996,440
2018-05-25,69.449997,70.0,69.449997,70.0,1367
2018-05-29,70.0,70.0,69.050003,69.050003,600
2018-05-30,69.019997,69.8526,68.650002,68.849998,3470
2018-05-31,68.849998,68.849998,68.849998,68.849998,225
2018-06-01,68.599998,68.599998,68.599998,68.599998,199
2018-06-04,67.910004,67.910004,67.910004,67.910004,391
2018-06-05,68.699997,68.699997,68.134697,68.162102,862
2018-06-06,67.949997,68.25,67.830299,68.25,3855
2018-06-07,68.449997,68.699997,68.449997,68.699997,1265
2018-06-08,68.5,68.5,68.152,68.349998,1180
2018-06-11,68.849998,68.849998,67.75,68.0,1697
2018-06-12,67.999901,68.68,67.999901,68.68,706
2018-06-13,68.599998,69.000999,68.589996,69.000999,3447
2018-06-14,67.5,67.949997,67.5,67.949997,867
2018-06-15,67.949997,67.949997,67.949997,67.949997,0
2018-06-18,67.800003,67.949997,67.200996,67.200996,908
2018-06-19,67.440002,67.440002,66.502502,66.502502,540
2018-06-20,67.5,67.5,67.5,67.5,473
2018-06-21,67.130997,67.130997,67.130997,67.130997,273
2018-06-22,67.449997,67.5,67.449997,67.449997,653
2018-06-25,68.699997,70.6073,68.699997,70.112,679
2018-06-26,70.110001,70.209702,70.110001,70.110001,1375
2018-06-27,72.5,72.5,71.302597,72.046898,422
2018-06-28,71.695297,71.695297,71.110199,71.110199,638
2018-06-29,71.110199,71.110199,71.110199,71.110199,0
2018-07-02,72.0,72.0,70.900002,70.900002,974
2018-07-03,72.269997,72.400002,71.8377,72.400002,1215
2018-07-05,71.980003,71.980003,71.980003,71.980003,100
2018-07-06,71.980003,71.980003,71.980003,71.980003,0
2018-07-09,72.150002,72.150002,72.0,72.0,405
2018-07-10,70.6008,72.249001,70.6008,72.108803,950
2018-07-11,72.108803,72.108803,72.108803,72.108803,0
2018-07-12,71.5,71.5,71.054497,71.413597,650
2018-07-13,71.069702,71.551399,71.0047,71.503304,3450
2018-07-16,71.0597,71.6446,71.0597,71.6446,1836
2018-07-17,70.929703,71.718399,70.929703,71.040001,1900
2018-07-18,70.794998,70.983498,70.209999,70.519997,2462
2018-07-19,70.973099,70.973099,70.57,70.805496,1961
2018-07-20,70.805496,70.805496,70.805496,70.805496,0
2018-07-23,71.357399,71.790298,71.005096,71.005096,768
2018-07-24,70.800003,70.830002,70.099998,70.099998,1203
2018-07-25,70.279701,70.449997,70.099998,70.449997,850
2018-07-26,70.449997,71.232002,70.435402,71.232002,1217
2018-07-27,71.232002,71.232002,71.232002,71.232002,0
2018-07-30,70.861603,70.861603,70.861603,70.861603,252
2018-07-31,69.854698,70.256203,69.854698,70.247398,735
2018-08-01,70.410004,70.410004,70.410004,70.410004,250
2018-08-02,70.410004,70.410004,70.410004,70.410004,0
2018-08-03,70.25,70.949997,70.089699,70.089699,1400
2018-08-06,70.948997,70.948997,70.948997,70.948997,100
2018-08-07,70.300003,71.369499,70.300003,71.208099,1446
2018-08-08,70.82,70.900002,70.679901,70.849998,1665
2018-08-09,70.429703,70.836502,70.429703,70.671097,823
2018-08-10,70.671097,70.671097,70.671097,70.671097,0
2018-08-13,70.669998,71.125298,70.669998,70.997597,1000
2018-08-14,70.997597,70.997597,70.997597,70.997597,0
2018-08-15,71.085197,71.085197,71.085197,71.085197,300
2018-08-16,71.480003,71.480003,71.301003,71.301003,923
2018-08-17,71.168999,71.232803,71.168999,71.232803,362
2018-08-20,71.232803,71.232803,71.232803,71.232803,0
2018-08-21,71.040001,71.040001,71.040001,71.040001,113
2018-08-22,71.440002,71.440002,71.440002,71.440002,119
2018-08-23,71.449997,71.449997,71.449997,71.449997,486
2018-08-24,71.449997,71.449997,71.449997,71.449997,0
2018-08-27,71.099503,71.099503,71.099503,71.099503,130
2018-08-28,71.099998,71.099998,71.099998,71.099998,208
2018-08-29,71.099998,71.099998,71.099998,71.099998,0
2018-08-30,71.339996,71.339996,71.339996,71.339996,656
2018-08-31,71.337502,71.480003,71.337502,71.480003,360
2018-09-04,71.0,71.0,71.0,71.0,245
2018-09-05,70.830002,70.830002,70.830002,70.830002,150
2018-09-06,70.970001,70.970001,70.830002,70.860001,400
2018-09-07,70.640999,70.6446,66.550003,70.580002,2769
2018-09-10,70.989998,70.989998,70.0,70.809998,754
2018-09-11,70.897301,70.897301,70.897301,70.897301,243
2018-09-12,70.5746,70.5746,70.5746,70.5746,501
2018-09-13,69.559998,69.559998,69.459999,69.499001,748
2018-09-14,70.178398,70.228996,70.178398,70.179001,753
2018-09-17,70.179001,70.179001,70.179001,70.179001,0
2018-09-18,70.179001,70.179001,70.179001,70.179001,0
2018-09-19,70.179001,70.179001,70.179001,70.179001,0
2018-09-20,70.8097,70.949898,69.746002,70.218399,905
2018-09-21,70.218399,70.218399,70.218399,70.218399,0
2018-09-24,70.218399,70.218399,70.218399,70.218399,0
2018-09-25,70.218399,70.218399,70.218399,70.218399,0
2018-09-26,71.0,71.0,70.210701,70.210701,616
2018-09-27,70.949997,70.949997,70.949997,70.949997,246
2018-09-28,70.949997,70.949997,70.949997,70.949997,0
2018-10-01,69.449997,69.598198,69.449997,69.598198,644
2018-10-02,69.733002,69.8554,69.650002,69.8554,719
2018-10-03,69.599998,70.25,69.599998,70.25,744
2018-10-04,69.767197,69.836304,66.5,66.632103,2841
2018-10-05,67.110001,67.753899,66.5,67.753899,1865
