date,open,high,low,close,volume
2018-01-02,65.949997,68.129997,65.949997,67.629997,8509000
2018-01-03,68.629997,68.839996,67.099998,67.169998,6057500
2018-01-04,67.230003,67.82,65.059998,65.849998,7124500
2018-01-05,66.379997,66.739998,65.949997,66.550003,5549700
2018-01-08,67.199997,68.32,66.25,67.18,8337200
2018-01-09,69.519997,70.019997,68.5,69.139999,18160800
2018-01-10,69.410004,71.760002,69.300003,70.730003,10985200
2018-01-11,70.900002,74.059998,70.5,74.0,12186000
2018-01-12,74.540001,77.0,74.449997,76.800003,14846000
2018-01-16,76.879997,77.580002,74.639999,74.959999,10167900
2018-01-17,74.989998,77.25,74.830002,76.82,7083700
2018-01-18,76.860001,77.910004,76.260002,77.900002,7668600
2018-01-19,78.169998,78.169998,76.889999,78.099998,7808100
2018-01-22,78.110001,78.639999,77.57,78.580002,5621600
2018-01-23,78.580002,78.699997,77.839996,78.120003,5372700
2018-01-24,78.290001,78.290001,76.370003,76.889999,9765100
2018-01-25,77.550003,77.559998,75.760002,76.300003,6347700
2018-01-26,76.620003,77.019997,75.82,76.949997,4981200
2018-01-29,76.669998,77.139999,76.379997,76.800003,3489400
2018-01-30,76.389999,76.699997,74.82,75.099998,5626300
2018-01-31,75.389999,75.75,74.599998,75.220001,8706300
2018-02-01,74.629997,75.650002,74.150002,74.970001,4649100
2018-02-02,74.279999,74.489998,72.720001,72.949997,6807800
2018-02-05,72.449997,74.169998,70.510002,70.769997,6518200
2018-02-06,69.540001,73.059998,68.389999,72.709999,8051600
2018-02-07,72.529999,74.150002,72.339996,73.25,6521900
2018-02-08,73.510002,73.889999,71.07,71.110001,5705500
2018-02-09,71.809998,72.970001,68.910004,72.449997,7733200
2018-02-12,73.129997,73.230003,71.529999,71.879997,4624500
2018-02-13,71.860001,73.949997,71.68,73.879997,4417500
2018-02-14,74.290001,76.620003,74.059998,75.349998,7388700
2018-02-15,75.720001,76.209999,75.120003,76.040001,3428600
2018-02-16,76.139999,76.809998,75.309998,75.699997,4279000
2018-02-20,72.839996,73.839996,71.68,72.860001,7086000
2018-02-21,73.220001,74.68,72.919998,72.959999,8645200
2018-02-22,73.489998,75.959999,73.470001,75.029999,6987100
2018-02-23,75.519997,76.300003,74.290001,75.410004,5475600
2018-02-26,76.25,76.989998,75.18,76.900002,5779300
2018-02-27,77.739998,78.43,75.269997,75.57,6234300
2018-02-28,76.059998,76.68,75.410004,75.410004,5520500
2018-03-01,75.510002,75.550003,73.0,74.129997,7084400
2018-03-02,73.629997,75.480003,73.300003,75.150002,4956200
2018-03-05,74.769997,75.75,73.949997,75.139999,7654800
2018-03-06,74.25,74.639999,69.940002,71.790001,20019700
2018-03-07,71.059998,72.139999,70.580002,71.43,7684600
2018-03-08,71.43,71.580002,69.150002,69.75,8753900
2018-03-09,70.379997,70.82,69.330002,70.489998,6813000
2018-03-12,70.050003,70.989998,69.809998,70.669998,3665100
2018-03-13,71.0,72.099998,70.879997,71.169998,4485800
2018-03-14,71.440002,71.720001,70.379997,70.650002,4683700
2018-03-15,71.279999,71.5,70.279999,70.629997,6528600
2018-03-16,70.550003,71.43,70.410004,70.989998,7297000
2018-03-19,70.919998,71.32,70.110001,70.339996,3214900
2018-03-20,70.599998,71.769997,70.510002,71.559998,5015000
2018-03-21,71.18,71.5,70.139999,70.139999,3792600
2018-03-22,69.849998,70.480003,68.809998,68.889999,6614000
2018-03-23,69.720001,69.940002,67.769997,67.879997,5261000
2018-03-26,68.669998,70.629997,68.650002,70.279999,4893900
2018-03-27,70.790001,70.900002,68.230003,68.510002,6896500
2018-03-28,68.739998,71.769997,68.739998,69.18,8052400
2018-03-29,69.230003,69.870003,68.860001,69.43,7594300
2018-04-02,69.029999,69.379997,67.440002,68.980003,5903000
2018-04-03,69.389999,69.940002,69.010002,69.529999,3484200
2018-04-04,68.879997,71.93,68.849998,71.860001,5200200
2018-04-05,71.959999,72.580002,70.739998,72.440002,4525100
2018-04-06,71.769997,73.419998,71.519997,72.290001,6360100
2018-04-09,72.449997,72.720001,71.410004,71.480003,3093300
2018-04-10,72.860001,73.010002,71.830002,72.790001,4653900
2018-04-11,72.480003,73.510002,72.139999,72.82,3545700
2018-04-12,73.129997,73.589996,72.110001,72.43,3020200
2018-04-13,72.779999,72.790001,71.139999,71.519997,3824400
2018-04-16,71.940002,72.43,71.470001,72.0,4837600
2018-04-17,72.809998,72.940002,72.389999,72.449997,3066500
2018-04-18,72.730003,73.459999,72.419998,72.529999,3211100
2018-04-19,72.309998,72.309998,70.18,70.980003,5816500
2018-04-20,71.129997,71.639999,70.120003,70.32,4110000
2018-04-23,70.75,71.080002,69.760002,70.949997,3346000
2018-04-24,70.970001,71.959999,70.199997,70.529999,3946100
2018-04-25,70.25,71.669998,69.900002,71.139999,2590900
2018-04-26,71.32,72.139999,71.089996,71.879997,3112700
2018-04-27,71.510002,73.080002,71.389999,72.849998,3711800
2018-04-30,72.800003,73.690002,72.489998,72.599998,4810200
2018-05-01,71.870003,72.300003,71.07,71.07,5619600
2018-05-02,70.610001,71.519997,69.440002,71.449997,4603400
2018-05-03,71.43,71.629997,70.57,71.150002,3217300
2018-05-04,70.650002,71.389999,69.93,71.050003,2609500
2018-05-07,70.919998,70.940002,68.900002,69.330002,5927700
2018-05-08,69.309998,70.010002,69.040001,69.419998,3852300
2018-05-09,68.68,70.120003,68.330002,69.93,4122900
2018-05-10,69.75,70.5,69.169998,70.239998,3574200
2018-05-11,69.940002,70.330002,69.300003,70.25,3032200
2018-05-14,70.639999,73.129997,70.589996,72.900002,7312700
2018-05-15,72.330002,73.449997,72.209999,73.080002,5000000
2018-05-16,73.980003,75.690002,73.940002,75.230003,8596200
2018-05-17,75.18,76.379997,75.099998,75.830002,5476000
2018-05-18,76.190002,76.550003,75.599998,75.940002,4317600
2018-05-21,76.629997,77.190002,76.300003,76.870003,5073900
2018-05-22,77.0,77.629997,75.190002,75.470001,7550100
2018-05-23,71.470001,72.959999,70.860001,71.169998,17346600
2018-05-24,71.25,71.529999,70.080002,70.940002,8246300
2018-05-25,71.18,71.959999,70.93,71.209999,5984000
2018-05-29,71.0,71.760002,70.699997,71.699997,6711000
2018-05-30,72.0,74.050003,71.610001,73.470001,7652200
2018-05-31,73.150002,73.599998,72.370003,72.889999,6418900
2018-06-01,72.93,73.639999,72.580002,72.800003,4017300
2018-06-04,73.25,76.82,73.239998,76.349998,7619000
2018-06-05,76.32,78.839996,75.769997,78.5,8824700
2018-06-06,78.599998,78.790001,77.639999,77.900002,4396700
2018-06-07,78.699997,79.360001,78.080002,78.349998,5668000
2018-06-08,78.190002,78.940002,77.860001,78.019997,4815200
2018-06-11,78.269997,79.360001,77.879997,79.059998,4291400
2018-06-12,79.480003,79.589996,78.360001,79.07,4251900
2018-06-13,79.43,79.510002,78.0,78.019997,3502700
2018-06-14,78.220001,78.82,77.019997,77.220001,4246800
2018-06-15,77.279999,77.400002,76.339996,77.25,6780000
2018-06-18,76.330002,77.919998,76.190002,77.120003,3341000
2018-06-19,76.629997,76.959999,75.919998,76.57,3926700
2018-06-20,77.160004,77.239998,74.5,75.389999,5147600
2018-06-21,75.389999,77.230003,75.239998,76.139999,4261000
2018-06-22,76.730003,76.870003,75.580002,76.040001,3254500
2018-06-25,76.120003,77.150002,76.089996,76.839996,6191500
2018-06-26,76.650002,77.080002,76.239998,76.330002,3575900
2018-06-27,76.360001,78.5,76.360001,76.870003,4328100
2018-06-28,76.739998,77.110001,75.0,75.599998,4670700
2018-06-29,76.330002,76.970001,76.040001,76.120003,3438400
2018-07-02,75.75,76.150002,74.779999,75.769997,3518800
2018-07-03,75.980003,77.5,75.959999,76.629997,1993300
2018-07-05,76.730003,76.879997,75.589996,76.550003,2772100
2018-07-06,76.199997,77.129997,75.449997,76.790001,2380600
2018-07-09,77.150002,78.260002,77.099998,77.760002,3397100
2018-07-10,78.029999,78.480003,77.75,78.300003,3831400
2018-07-11,77.889999,78.209999,76.959999,77.580002,3001100
2018-07-12,78.18,78.18,75.980003,76.5,3472600
2018-07-13,76.959999,78.370003,76.959999,77.720001,2958900
2018-07-16,77.5,77.720001,76.190002,77.209999,3405600
2018-07-17,77.029999,78.190002,76.870003,77.269997,3179100
2018-07-18,77.419998,77.809998,76.620003,76.849998,4161000
2018-07-19,77.089996,78.839996,77.040001,78.459999,5180200
2018-07-20,78.279999,78.639999,77.629997,77.760002,2896300
2018-07-23,77.949997,78.93,77.879997,78.690002,3415900
2018-07-24,78.949997,80.059998,78.849998,79.360001,5504400
2018-07-25,79.599998,80.18,79.160004,79.989998,3655700
2018-07-26,79.959999,81.290001,79.540001,79.860001,4409300
2018-07-27,80.449997,81.0,79.660004,80.129997,3361600
2018-07-30,80.190002,81.290001,80.190002,81.209999,3781800
2018-07-31,81.019997,81.290001,80.529999,80.68,3959500
2018-08-01,80.599998,80.910004,78.339996,78.949997,4204800
2018-08-02,78.93,80.940002,78.809998,80.760002,4180100
2018-08-03,81.040001,81.949997,81.010002,81.449997,3142400
2018-08-06,81.190002,81.779999,81.080002,81.610001,2467200
2018-08-07,81.959999,82.800003,81.800003,82.239998,2910700
2018-08-08,82.239998,82.510002,81.68,82.389999,2674100
2018-08-09,82.510002,83.059998,82.230003,82.620003,3025200
2018-08-10,82.300003,83.169998,82.230003,82.709999,2343300
2018-08-13,82.989998,83.190002,81.650002,82.059998,3895600
2018-08-14,82.099998,82.889999,82.010002,82.68,4680400
2018-08-15,82.010002,82.110001,79.370003,80.690002,6191700
2018-08-16,82.089996,82.410004,81.110001,82.07,6603600
2018-08-17,82.449997,84.139999,82.349998,83.040001,7431500
2018-08-20,83.199997,83.470001,82.529999,83.32,5699300
2018-08-21,83.379997,83.720001,82.440002,83.269997,8030000
2018-08-22,88.050003,88.889999,84.480003,85.940002,19633800
2018-08-23,86.25,87.190002,85.849998,86.709999,7409600
2018-08-24,86.440002,87.730003,86.139999,87.309998,4505200
2018-08-27,87.379997,87.589996,86.220001,86.599998,3940300
