date,open,high,low,close,volume
2018-01-02,63.91,64.5,63.669998,64.029999,1997300
2018-01-03,64.300003,64.68,63.950001,64.139999,1832600
2018-01-04,64.110001,64.150002,62.73,62.759998,1993500
2018-01-05,62.84,62.98,62.209999,62.369999,2003300
2018-01-08,62.400002,62.84,62.330002,62.59,1623200
2018-01-09,62.5,62.619999,61.299999,61.369999,2032800
2018-01-10,61.080002,61.200001,60.700001,60.709999,3072900
2018-01-11,61.040001,61.43,60.139999,60.169998,2414300
2018-01-12,60.310001,60.310001,58.98,59.16,2686600
2018-01-16,59.299999,60.720001,59.200001,59.259998,3144800
2018-01-17,59.580002,60.189999,59.009998,60.110001,4696000
2018-01-18,59.900002,59.900002,58.959999,59.290001,3496400
2018-01-19,59.290001,59.32,58.240002,59.290001,3011000
2018-01-22,59.259998,59.709999,59.009998,59.330002,2817900
2018-01-23,59.669998,60.509998,59.279999,60.32,2759300
2018-01-24,60.27,60.939999,60.150002,60.540001,2368100
2018-01-25,60.529999,60.91,60.41,60.84,2134400
2018-01-26,60.970001,60.990002,60.09,60.59,2206400
2018-01-29,60.150002,60.23,58.990002,59.52,2085500
2018-01-30,59.439999,59.889999,58.529999,58.529999,2444700
2018-01-31,58.650002,60.009998,58.599998,59.970001,4265600
2018-02-01,60.0,60.290001,57.939999,58.040001,2609300
2018-02-02,57.57,58.82,56.889999,58.450001,2827500
2018-02-05,58.369999,58.860001,56.41,56.529999,3525100
2018-02-06,55.91,57.279999,55.290001,57.209999,3943300
2018-02-07,57.110001,58.099998,56.43,56.549999,3239700
2018-02-08,56.360001,57.209999,54.66,54.669998,3956600
2018-02-09,54.630001,56.0,53.66,55.48,4303900
2018-02-12,54.830002,54.970001,53.0,54.27,4115600
2018-02-13,54.360001,55.32,53.630001,55.080002,3839200
2018-02-14,54.540001,54.720001,53.43,54.150002,3249000
2018-02-15,54.369999,55.580002,54.200001,55.169998,2908500
2018-02-16,55.299999,56.439999,55.25,55.790001,4051100
2018-02-20,55.509998,56.099998,54.790001,54.799999,2639200
2018-02-21,54.900002,55.049999,53.849998,53.990002,3418200
2018-02-22,53.82,55.060001,53.110001,53.740002,3324100
2018-02-23,53.91,54.41,53.060001,54.41,2661200
2018-02-26,54.610001,54.669998,53.419998,54.400002,2582200
2018-02-27,54.349998,54.709999,52.220001,52.220001,3189600
2018-02-28,54.900002,54.900002,51.849998,52.5,3342600
2018-03-01,52.049999,53.439999,51.630001,52.650002,2684600
2018-03-02,52.48,53.009998,52.099998,52.93,2385600
2018-03-05,52.650002,54.209999,52.650002,54.07,3113700
2018-03-06,53.630001,53.919998,52.279999,52.860001,3070500
2018-03-07,52.779999,54.07,52.650002,53.970001,2579900
2018-03-08,53.93,54.09,53.34,53.57,2215000
2018-03-09,53.709999,53.709999,53.060001,53.560001,2122400
2018-03-12,53.509998,54.82,53.299999,54.73,3202500
2018-03-13,55.130001,55.240002,53.650002,53.759998,2994500
2018-03-14,53.790001,54.110001,53.119999,53.529999,1845700
2018-03-15,53.639999,53.950001,53.5,53.75,2170400
2018-03-16,53.619999,54.18,53.389999,54.0,3609600
2018-03-19,53.880001,54.09,52.84,53.25,1832800
2018-03-20,53.290001,53.84,52.990002,53.150002,2306800
2018-03-21,52.939999,53.200001,51.869999,52.450001,3058200
2018-03-22,52.419998,54.150002,52.330002,52.75,2715300
2018-03-23,52.849998,53.060001,51.869999,52.029999,2434400
2018-03-26,52.380001,52.5,51.900002,52.139999,1662800
2018-03-27,52.139999,53.950001,51.720001,53.279999,2099500
2018-03-28,53.459999,55.419998,53.41,54.860001,3770600
2018-03-29,54.849998,54.860001,54.029999,54.43,2897400
2018-04-02,54.369999,54.540001,53.650002,53.970001,2312000
2018-04-03,54.16,54.16,52.799999,53.75,2906400
2018-04-04,53.57,55.509998,53.389999,55.16,2637300
2018-04-05,55.009998,55.009998,53.91,54.73,2565700
2018-04-06,54.970001,55.869999,54.720001,55.009998,2814100
2018-04-09,55.009998,55.009998,53.959999,54.490002,2129000
2018-04-10,54.619999,54.709999,53.880001,54.0,2027700
2018-04-11,53.709999,54.860001,53.709999,53.990002,1658900
2018-04-12,53.950001,53.950001,52.27,52.540001,3191900
2018-04-13,52.349998,52.630001,51.82,52.630001,2014700
2018-04-16,52.66,52.77,51.93,52.540001,2629400
2018-04-17,52.75,53.66,52.57,53.380001,2345900
2018-04-18,53.400002,53.580002,52.700001,52.84,1587600
2018-04-19,52.709999,53.0,51.27,51.919998,2066700
2018-04-20,52.09,52.27,51.09,51.18,2146400
2018-04-23,51.110001,51.240002,50.369999,50.68,2071800
2018-04-24,50.75,51.57,50.130001,51.02,2514800
2018-04-25,50.75,51.02,49.580002,50.52,2709200
2018-04-26,50.66,51.060001,49.599998,50.009998,4997200
2018-04-27,50.939999,53.23,50.299999,52.880001,4565600
2018-04-30,53.049999,53.509998,52.369999,53.439999,3894700
2018-05-01,53.560001,55.330002,53.360001,54.860001,4965900
2018-05-02,54.610001,55.220001,53.599998,55.049999,4050000
2018-05-03,55.139999,56.0,54.720001,55.490002,2365200
2018-05-04,55.419998,56.279999,55.400002,56.18,2354500
2018-05-07,55.380001,55.759998,55.099998,55.709999,2491600
2018-05-08,55.5,55.52,54.810001,55.139999,2927700
2018-05-09,54.869999,55.459999,54.580002,55.380001,2091900
2018-05-10,55.66,56.139999,55.560001,56.139999,1371900
2018-05-11,56.200001,56.5,55.77,56.25,1725800
2018-05-14,56.029999,56.07,55.150002,55.509998,1805600
2018-05-15,55.099998,55.5,54.639999,54.84,2834200
2018-05-16,55.099998,55.25,54.580002,54.84,2141600
2018-05-17,54.82,54.82,53.779999,53.93,1836800
2018-05-18,53.529999,54.77,53.529999,54.27,4423600
2018-05-21,54.880001,55.470001,53.759998,55.18,1862300
2018-05-22,55.18,56.060001,54.549999,55.68,2055600
2018-05-23,55.91,56.970001,55.849998,56.779999,2562900
2018-05-24,56.810001,56.900002,55.82,56.25,1737000
2018-05-25,56.110001,56.900002,56.110001,56.869999,1460300
2018-05-29,56.799999,57.310001,56.490002,57.029999,1988900
2018-05-30,56.880001,57.799999,56.490002,57.540001,1613800
2018-05-31,57.380001,57.740002,57.18,57.650002,2165600
2018-06-01,57.540001,58.419998,57.540001,58.02,1473500
2018-06-04,58.16,58.330002,57.32,57.77,1641000
2018-06-05,57.98,58.200001,57.389999,57.41,2038200
2018-06-06,57.5,57.810001,56.860001,57.529999,1377400
2018-06-07,57.52,57.950001,57.150002,57.59,1603500
2018-06-08,57.779999,58.060001,57.509998,57.990002,977800
2018-06-11,58.0,58.400002,57.68,58.299999,1308400
2018-06-12,58.009998,58.599998,57.91,58.310001,2353700
2018-06-13,58.25,58.639999,56.799999,56.830002,2362500
2018-06-14,57.0,57.939999,57.0,57.639999,1636400
2018-06-15,57.75,58.060001,57.400002,57.5,2888000
2018-06-18,57.400002,57.759998,56.599998,57.0,1370300
2018-06-19,56.950001,57.919998,56.91,57.209999,1861100
2018-06-20,57.139999,58.5,57.029999,58.380001,1403500
2018-06-21,58.48,58.98,58.029999,58.799999,1576700
2018-06-22,58.799999,59.209999,58.380001,59.049999,2000200
2018-06-25,59.07,59.59,58.330002,59.299999,1716500
2018-06-26,59.580002,59.889999,59.25,59.439999,2174400
2018-06-27,59.669998,60.209999,59.25,59.91,1751500
2018-06-28,60.02,63.450001,59.560001,62.360001,3803700
2018-06-29,62.049999,63.02,61.73,62.689999,2995400
2018-07-02,62.509998,62.869999,61.119999,62.080002,2630600
2018-07-03,61.669998,63.73,61.639999,62.900002,1328800
2018-07-05,62.799999,63.93,62.119999,63.830002,1984300
2018-07-06,63.93,64.459999,63.84,64.400002,2047500
2018-07-09,64.370003,64.419998,62.689999,63.220001,1876800
2018-07-10,63.32,63.650002,62.919998,63.25,1723300
2018-07-11,63.27,63.57,62.849998,63.09,1132500
2018-07-12,63.279999,63.380001,62.84,63.16,879100
2018-07-13,63.380001,63.52,62.400002,62.68,1172400
2018-07-16,62.610001,62.82,61.740002,62.59,1465000
2018-07-17,62.880001,62.900002,62.009998,62.139999,1639700
2018-07-18,62.040001,62.380001,61.32,61.799999,1199400
2018-07-19,61.75,63.009998,61.59,62.77,1405700
2018-07-20,62.799999,63.59,62.41,63.490002,2424400
2018-07-23,63.389999,64.0,63.099998,63.73,3333300
2018-07-24,63.650002,63.650002,62.459999,63.240002,3362400
2018-07-25,63.419998,64.419998,63.299999,63.970001,1620900
2018-07-26,64.160004,64.559998,63.740002,64.309998,1815600
2018-07-27,62.27,64.129997,61.119999,61.810001,3390200
2018-07-30,61.779999,61.799999,60.740002,61.700001,2137600
2018-07-31,61.990002,62.990002,61.82,62.599998,3830300
2018-08-01,62.299999,63.09,61.549999,62.959999,1988200
2018-08-02,62.970001,63.259998,62.5,63.169998,2288200
2018-08-03,63.290001,64.709999,63.16,64.32,2129300
2018-08-06,63.529999,63.84,62.919998,63.380001,1480000
2018-08-07,63.25,63.889999,63.07,63.830002,2151900
2018-08-08,63.75,64.160004,63.290001,63.490002,1630600
2018-08-09,63.610001,63.939999,63.360001,63.459999,2465200
2018-08-10,63.369999,63.799999,62.900002,63.139999,1933200
2018-08-13,62.990002,63.380001,62.52,63.349998,1453400
2018-08-14,63.400002,64.440002,63.349998,63.98,1823100
2018-08-15,64.040001,65.610001,64.040001,65.339996,2162300
2018-08-16,65.0,65.860001,64.68,65.68,1949100
2018-08-17,65.839996,66.720001,65.669998,66.699997,2311900
2018-08-20,66.980003,67.349998,66.43,66.629997,3840700
2018-08-21,66.599998,66.68,65.959999,66.389999,1989100
2018-08-22,66.449997,66.559998,65.919998,66.260002,1323700
2018-08-23,66.360001,66.43,65.809998,65.910004,1799600
2018-08-24,65.669998,66.059998,65.019997,65.940002,1236300
2018-08-27,65.940002,65.989998,65.339996,65.910004,1634500
2018-08-28,65.849998,66.830002,65.650002,66.809998,1477800
2018-08-29,66.889999,67.019997,66.68,66.68,1578200
2018-08-30,66.849998,66.900002,66.43,66.580002,1431700
2018-08-31,66.650002,67.160004,66.360001,66.709999,2080200
2018-09-04,66.550003,66.970001,65.949997,66.230003,2825900
2018-09-05,65.980003,67.510002,65.580002,67.269997,1898500
2018-09-06,67.330002,67.699997,67.160004,67.459999,1745900
2018-09-07,66.889999,67.019997,66.279999,66.389999,1330900
2018-09-10,66.959999,67.360001,66.690002,66.860001,1809400
2018-09-11,66.589996,67.040001,66.290001,66.849998,1090000
2018-09-12,66.860001,67.110001,66.610001,66.669998,1198200
2018-09-13,66.989998,67.330002,66.550003,67.150002,1897800
2018-09-14,66.949997,66.949997,65.629997,66.410004,1778100
2018-09-17,66.379997,66.959999,65.970001,66.809998,2210700
2018-09-18,66.860001,66.989998,66.050003,66.440002,1768000
2018-09-19,66.489998,66.489998,65.370003,65.489998,2714800
2018-09-20,65.419998,65.699997,64.779999,65.57,2465500
2018-09-21,65.029999,65.660004,64.870003,65.5,3686900
2018-09-24,65.389999,65.489998,63.57,63.959999,2205200
2018-09-25,64.150002,65.07,64.0,64.550003,2437400
2018-09-26,64.449997,64.580002,62.919998,62.959999,2025700
2018-09-27,63.209999,63.759998,63.029999,63.049999,1303900
2018-09-28,63.099998,64.349998,63.0,64.32,2040200
2018-10-01,64.099998,64.230003,63.290001,63.299999,1590100
2018-10-02,63.5,63.73,63.0,63.009998,1419800
